sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300418:bin_000001	1521621	1939	1349	3102	1789	2885	2291	2316	3695	422749	452	1842	7018	1094	780	2976	1931	2548	3236	896	2545	1465439	3303	2837	2634	1148	340	2253	1780	2668	1949	1798	2371	3167	1691	2032	2012	1846	3579	3692	284177	1616	2029	3095	2153	1358	2763	1660	1523	586776	4368	3466	4179	1282	1928	1497	1837	1108059	1343	2650	333678	1395	2507	3492	1138	2565	311689	3266	670	2072	1997	1308	334751	1148	943	1223	2734	995541	991424	1868	2068	2388	1410	1126	1957	3423	416544	1196	1586	2064	1194	1007	1504	1178	212975	1947	901	1145	969	604	1268	530438	2896	1259	1803	3565	2168	2571	1734	437362	597	865	1	0
D300418:bin_000013	361131	1241	151	416	182	684	430	519	947	2777	499	634	5634	585	630	398	488	589	554	156	444	897	1166	478	1013	170	257	349	617	687	721	719	683	1012	1474	1012	517	616	734	350	2529	881	298	782	41	1319	525	649	459	440	656	465	410	221	454	767	529	934	416	917	3262	223	740	610	1368	837	789	579	428	341	667	605	1950	269	77	174	499	11075	370	378	503	316	314	581	403	473	872	78	806	366	281	1112	202	238	642	185	273	208	716	281	762	622	231	284	92	1064	240	509	291	535	418	184	0	0
D300428:bin_000008	20896	856	1253	3503	136049	8228	2369	2267	85105	5746	513922	5017	373	7649	5601	5806	2977	4758	5428	113827	3191	16252	22210	8632	2593	1225	9098	16309	856	62010	2412	729	1640	4652	3167	154943	3952	1965	3677	8250	11024	12906	2561	53748	1350	5311	1401	60928	3904	17784	5467	1747	6578	1150	1772	9999	3096	33731	5157	4994	12057	8198	75945	8366	10069	1783	8090	57431	1995	14283	6255	3522	3352	1033	1555	599	7080	14597	8762	2331	4185	987	989	1214	978	861	6699	502	5710	1601	1680	362173	2025	2458	9752	2349	1761	1423	6040	87520	1606	18736	1496	2024	751	125832	821	3719	1934	8663	3235	5460	0	0
D300430:bin_000010	117448	125842	1483452	195150	21837	29450	9374	28798	32328	24386	352077	84401	4713539	29741	9338	101408	35895	49196	284970	33735	289080	188143	27712	51167	23118	55791	4595	38815	49989	25763	195370	286630	15667	47496	360650	28475	24651	45170	13759	8786	33643	97969	69791	24493	545374	61824	250620	38913	138703	51120	35110	336899	40517	242471	80624	19604	247993	153994	98127	20104	34432	124941	96425	19764	33138	151399	22444	26624	57232	126771	426520	208119	163688	79064	30226	155244	35494	26834	56010	30918	28480	258630	193245	11849	149500	114637	74853	204739	85020	131202	63097	205915	91967	126108	33309	119246	261321	105965	204495	65763	280845	25235	468955	64548	31199	28175	152724	44737	115693	38593	12293	52175	0	0
D300432:bin_000001	653	155	526	330	441	1949	386	7356	1044	378	643	916	129	528	2228223	1569	2168	50682	2929	336	1214	1223	1347	17715	2012	675	50802	1214	794	1025	1330	747	735	347	1196	643	208	1526	677	109310	576	53260	1728	851	432	1528	2503	1191	385	1732	410	2589	1849	781	1859	576	578	973	118675	1002	647	1079	455	502	3382337	548	296	637	360	30196	268	1048	610	694	450	1996	26267	621	838	3706	161	2288	1814	606286	760	5501	701	971	1157	1513	472	396	416	575	469	2556	456	1048	565	429	1698	729	3388	762	826	885	1787	3054	563	483	404	177	0	0
D300435:bin_000001	198713	103630	538639	271976	389142	1497674	336640	318910	820412	74998	594739	456571	24874	512355	1463	234635	889151	1187211	660809	235983	540331	363884	658750	1132312	562783	16989	190	835455	823561	313286	717535	733048	552594	295725	918111	466084	181795	804193	557666	825240	290041	471374	758552	531124	385419	1605504	48041	707332	108626	197074	395101	463432	387878	147621	57958	165645	24561	126061	239952	563781	252075	879739	482774	606031	2035	439550	67781	491401	82820	344055	627	488865	200378	314131	297872	31374	1232394	75015	122670	73686	186328	104819	187990	2031	374646	132946	172872	211657	7859	526348	192658	208925	433189	177486	94957	423661	445	13136	451998	279398	377677	148158	316219	263078	17809	589613	180242	110550	1203	29071	227925	97274	0	3
D300442:bin_000001	769	2	0	0	2	2	0	0	0	727	0	0	0	0	1	214934	1332	0	213764	2	0	79	1	0	924271	13	0	84488	35	0	4	0	0	0	0	0	0	146968	2	0	30134	0	137	0	0	0	0	9	0	148	0	21	224407	0	0	18	10	1125	0	241776	148	175357	0	0	1	1	443	0	11	0	19	385	105	1090	0	32	0	9	197	1	1	0	0	0	0	5	37	19	10	3800	819	1	0	0	72	17	1	6	0	0	1	35	84	1	4	2	8	1	0	6	19	1	0	0
D300442:bin_000015	37957	4026	48555	64942	20070	71510	51281	33054	53361	17180	5572	42489	162094	88786	141938	65959	29486	98052	29303	20958	164731	49459	46917	58150	688153	62476	18799	350097	125212	29554	106494	5389	29301	58282	199332	24101	27474	21532	35762	55413	33557	44979	93596	44984	37984	533456	242071	32676	31336	36300	93017	97110	22936	115387	73031	47000	161832	57484	61883	8640	20862	149357	6323	67342	88516	38959	12998	35304	40316	33457	74537	89702	22828	40839	2362	254712	62208	38351	17540	78579	20138	212917	101103	57324	91871	180392	28805	35866	66124	23591	61209	74745	23089	75429	30588	26225	94335	54171	98733	11988	75018	36151	169235	55398	129869	11982	29311	33731	89176	24784	49963	7394	0	0
D300443:bin_000002	13008	236	3926	4217	2142	2352	6587	20766	6879	11990	193	4049	2796	590	2	10960	4347	5135	11440	1839	18019	9989	6903	4460	9524	1140696	0	7918	273	7012	19473	361	6259	5929	2973	3353	5945	3325	12818	4165	13123	2547	4767	7037	7775	1832	28658	2822	3122	5345	4806	5549	15889	30632	30633	68	164043	8825	2891	9208	26815	4051	2336	7779	2	3096	12004	6530	114	2168	9744	8810	2560	14091	106	5106	2832	5542	7600	206169	3758	14175	15913	2129	11026	88312	3943	4208	198	3998	23658	1616	1364	10175	1438	3827	20675	19810	690	368	16105	205	10985	78425	21433	6254	7539	6195	215113	72	82	1032	0	0
D300443:bin_000003	8248	20	101	63019	73858	2	68	318	34781	3175	80075	5196	36	3511	95	159	80	400	47	59059	47978	9367	8939	79	82	1340398	0	126	21	26157	3458	39	161	7563	8028	109171	26076	391	300	39	6590	748	1003	21833	40	3165	166291	62052	46354	15455	9082	495808	77	1862	8728	13483	663103	18088	368	49	15850	44	21454	199	72	28611	16998	24854	2697	6361	220729	77062	9079	186290	11	219507	103	54002	46077	79197	3471	599001	2378	89	3526	24873	21504	102651	13899	139	109029	74535	36249	149647	57910	661	206980	94637	43389	51698	376675	76872	293768	933831	6879	111150	1490141	4947	746864	6849	3697	27407	0	0
