sample,treatment,day,individual
D300418,TG3,28,G069
D300419,TG4,14,G084
D300420,TG5,14,G105
D300421,TG4,28,G094
D300422,TG2,21,G036
D300423,TG3,7,G051
D300424,TG2,35,G047
D300425,TG2,35,G046
D300426,TG2,21,G040
D300427,TG3,21,G064
D300428,TG4,21,G088
D300429,TG2,7,G027
D300430,TG5,14,G106
D300431,TG2,14,G030
D300432,TG3,14,G055
D300433,TG1,7,G004
D300434,TG5,21,G111
D300435,TG3,7,G053
D300436,TG1,14,G006
D300437,TG2,21,G037
D300438,TG1,35,G020
D300439,TG3,35,G073
D300440,TG2,28,G041
D300441,TG3,7,G052
D300442,TG5,14,G108
D300443,TG1,21,G010
D300444,TG3,14,G056
D300445,TG1,14,G007
D300446,TG4,14,G082
D300447,TG2,28,G043
D300448,TG1,35,G021
D300449,TG4,14,G080
D300450,TG2,35,G048
D300451,TG4,35,G098
D300452,TG2,14,G032
D300453,TG2,14,G033
D300454,TG4,35,G095
D300455,TG5,21,G114
D300456,TG2,28,G045
D300457,TG3,7,G054
D300458,TG3,21,G063
D300459,TG5,7,G104
D300460,TG5,21,G112
D300461,TG2,28,G044
D300462,TG5,14,G107
D300463,TG2,14,G031
D300464,TG5,35,G123
D300465,TG2,21,G035
D300466,TG4,28,G093
D300467,TG3,28,G067
D300468,TG4,35,G097
D300469,TG5,28,G116
D300470,TG1,7,G002
D300471,TG2,7,G029
D300472,TG2,7,G028
D300473,TG4,7,G076
D300474,TG1,21,G012
D300475,TG3,35,G074
D300476,TG5,7,G101
D300477,TG1,7,G003
D300478,TG3,21,G062
D300479,TG1,14,G005
D300480,TG4,21,G086
D300481,TG2,35,G049
D300482,TG3,14,G057
D300483,TG4,28,G092
D300484,TG3,21,G060
D300485,TG2,28,G042
D300486,TG4,7,G077
D300487,TG5,14,G103
D300488,TG1,28,G017
D300489,TG1,28,G014
D300490,TG3,28,G065
D300491,TG1,28,G016
D300492,TG4,14,G081
D300493,TG5,28,G120
D300494,TG2,35,G050
D300495,TG3,21,G061
D300496,TG3,28,G066
D300497,TG5,35,G125
D300498,TG4,35,G099
D300499,TG5,35,G121
D300500,TG1,35,G024
D300501,TG3,14,G058
D300502,TG1,35,G019
D300503,TG5,35,G122
D300504,TG3,35,G071
D300505,TG5,28,G119
D300506,TG3,35,G075
D300507,TG5,21,G110
D300508,TG1,28,G018
D300509,TG4,21,G089
D300510,TG4,28,G091
D300511,TG1,28,G013
D300512,TG3,14,G059
D300513,TG5,21,G113
D300514,TG1,21,G009
D300515,TG5,35,G124
D300516,TG4,28,G090
D300517,TG4,21,G087
D300518,TG1,35,G023
D300519,TG3,28,G070
D300520,TG5,28,G118
D300521,TG1,21,G008
D300522,TG2,7,G026
D300523,TG2,21,G039
D300524,TG5,28,G115
D300525,TG4,35,G096
D300526,TG1,21,G011
D300527,TG3,35,G072
D300528,TG4,7,G079
D300529,TG4,21,G085
D300530,TG0,,G000
D300531,TG0,,G000
