sample	D300418	D300419	D300420	D300421	D300422	D300423	D300424	D300425	D300426	D300427	D300428	D300429	D300430	D300431	D300432	D300433	D300434	D300435	D300436	D300437	D300438	D300439	D300440	D300441	D300442	D300443	D300444	D300445	D300446	D300447	D300448	D300449	D300450	D300451	D300452	D300453	D300454	D300455	D300456	D300457	D300458	D300459	D300460	D300461	D300462	D300463	D300464	D300465	D300466	D300467	D300468	D300469	D300470	D300471	D300472	D300473	D300474	D300475	D300476	D300478	D300479	D300480	D300481	D300482	D300483	D300484	D300485	D300486	D300487	D300488	D300489	D300490	D300491	D300492	D300493	D300494	D300495	D300496	D300497	D300498	D300499	D300500	D300501	D300502	D300503	D300504	D300505	D300506	D300507	D300508	D300509	D300510	D300511	D300512	D300513	D300514	D300515	D300516	D300517	D300518	D300519	D300520	D300521	D300522	D300523	D300524	D300525	D300526	D300527	D300528	D300529
treatment	TG2	TG2	TG1	TG1	TG3	TG3	TG3	TG3	TG3	TG2	TG1	TG4	TG1	TG4	TG3	TG5	TG5	TG3	TG5	TG3	TG4	TG2	TG3	TG3	TG5	TG4	TG3	TG5	TG2	TG3	TG4	TG2	TG3	TG1	TG4	TG3	TG1	TG5	TG3	TG3	TG2	TG1	TG5	TG3	TG1	TG4	TG5	TG3	TG1	TG2	TG1	TG5	TG5	TG4	TG4	TG2	TG4	TG2	TG1	TG2	TG5	TG1	TG3	TG3	TG1	TG2	TG3	TG2	TG1	TG4	TG4	TG2	TG4	TG2	TG5	TG3	TG2	TG2	TG5	TG1	TG5	TG4	TG3	TG4	TG5	TG2	TG5	TG2	TG5	TG4	TG1	TG1	TG4	TG2	TG5	TG4	TG5	TG1	TG1	TG4	TG2	TG5	TG4	TG4	TG3	TG5	TG1	TG4	TG2	TG2	TG1
day	28	7	7	28	35	14	21	21	28	28	35	14	7	7	7	14	21	14	14	35	21	21	28	14	14	35	7	7	7	28	21	7	21	21	7	35	21	21	21	14	35	14	21	28	7	7	35	35	28	28	21	28	14	14	14	14	35	21	14	35	7	35	21	7	28	35	28	14	14	28	28	28	28	7	28	14	35	28	35	21	35	21	7	21	35	21	28	14	21	28	35	28	28	35	21	35	35	28	35	21	21	28	35	14	35	28	21	35	21	14	35
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes
synbiotic_water	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	No	No	Yes	No	Yes	Yes	Yes
synbiotic_feed	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	Yes
individual	G069	G084	G105	G094	G036	G051	G047	G046	G040	G064	G088	G027	G106	G030	G055	G004	G111	G053	G006	G037	G020	G073	G041	G052	G108	G010	G056	G007	G082	G043	G021	G080	G048	G098	G032	G033	G095	G114	G045	G054	G063	G104	G112	G044	G107	G031	G123	G035	G093	G067	G097	G116	G002	G029	G028	G076	G012	G074	G101	G062	G005	G086	G049	G057	G092	G060	G042	G077	G103	G017	G014	G065	G016	G081	G120	G050	G061	G066	G125	G099	G121	G024	G058	G019	G122	G071	G119	G075	G110	G018	G089	G091	G013	G059	G113	G009	G124	G090	G087	G023	G070	G118	G008	G026	G039	G115	G096	G011	G072	G079	G085
L-Tyrosine	  931320.66	 1096362.7	 1994692.434	 1910604.44	 1005025.24	  532863.31	 3199054.37	 1110661.51	  805607.77	 1486118.73	 3080580.61	 4103839.654	 1415201.54	 1070405.430	 2330699.729	3.763742e+05	 1546472.77	 3078266.297	  526227.28	  397442.55	  632785.72	  814685.07	  737906.12	 4424738.872	 1699028.733	  463288.43	  979775.98	  672153.31	 3399992.63	 1208050.32	  923467.44	  647789.53	  656204.24	 3189859.34	  471502.748	  536540.63	 4255809.69	 1588435.764	  828704.9	 1454378.456	 2317379.061	 1906259.570	 2283037.82	 1439298.83	 1615632.22	  601438.7	  799052.75	  374557.46	 1915255.03	 1013797.14	 5099280.10	 1341896.49	  359246.998	  462266.472	  368581.657	 2465049.391	  427363.05	  974864.40	 3629058.290	  631047.39	  374898.276	 3761603.59	 2544805.23	  979970.340	 2946196.44	  701756.169	  692634.92	 1177923.479	 1522819.764	  328951.77	  452328.51	  891119.82	  605079.28	 5420918.31	 2308551.44	 1961502.89	 1882659.758	  723382.14	 1293202.32	 5214644.22	 1533389.56	  573342.87	 4331901.22	  428142.43	 1534082.75	 1470215.38	 1783028.21	  881282.86	 5251982.40	  392844.87	 3892372.05	 1709515.04	  407624.37	 2121601.984	 1157299.323	  676358.32	 1154861.91	 4441167.00	 5205201.00	  945328.50	  792102.60	 1125861.83	  341450.40	 2938962.84	  918253.99	 1143189.70	 4757633.96	  519878.36	  978882.06	  265559.605	 1330194.07
L-Phenylalanine	 2197242.94	 3482310.9	 2050994.732	 2377164.47	 1623982.28	 1260059.08	 5060518.38	 1871747.41	 1415680.08	 2875225.65	 8482253.89	26192959.119	 2673541.36	 1647480.638	 3153075.023	8.176808e+05	 2574471.48	 4774521.240	 1753630.51	 1151120.46	  681458.31	  716413.97	 1066576.89	 9801878.953	 1873840.009	 1332456.80	 1977082.75	 2686876.17	11510642.75	 2101855.67	  968064.80	 1338805.67	  753097.48	 7882331.11	  955339.135	 1419908.27	13487627.11	 2637413.561	 2019043.5	 6741073.347	 5563986.581	 1816818.598	 2274354.52	 2071580.82	 2356668.23	 1862486.1	 1112565.44	  767847.28	 3600457.70	 1691630.75	14245490.22	 1433684.92	  555864.684	  727284.940	  798089.410	 9746621.614	 1005837.47	 1684092.91	 7310025.602	 1480611.43	  480322.134	13124521.90	 4139621.78	 1975836.277	 6492338.74	 1058103.505	 1225876.36	 2940726.326	 2216250.807	  525748.26	  646761.51	  716831.67	  835750.54	21447506.64	 4234876.16	 2386788.85	 3475704.227	 1049883.77	 1361944.28	13175244.21	 1623591.14	  926076.79	10365258.15	  608551.39	  819601.66	 1909468.08	 3969178.65	 1079236.08	11604854.48	  577127.71	12038492.03	 7132264.92	  528435.04	 4068227.779	 2325329.262	 1883922.10	 1233173.65	13417966.52	18075241.51	 1339175.85	 1150153.27	 1744189.10	  985032.67	21991965.22	 1553725.38	  606643.19	16225612.85	 1537512.07	 1421902.03	  765026.569	 3950385.79
L-Tryptophan	  889525.28	 1014373.7	 1712794.662	 1179691.31	  795496.87	  185741.68	 1002834.33	  737592.62	  968307.76	 1042826.00	 1949337.14	 1367088.022	 1140742.65	  732086.452	  800717.607	8.384089e+05	 1378426.93	 1164654.278	  676495.75	  491432.85	  584057.22	  753847.03	  724290.36	  602887.573	  841761.606	  603873.95	  730805.38	  836231.78	  898179.42	 1102213.26	  899659.13	  169438.68	  595405.47	 1082314.13	  731037.558	  875890.78	 1431215.61	 1130461.241	  943710.8	 1005799.715	  960210.494	 1088099.028	  978629.01	  679165.31	 1000530.39	  946341.8	  624959.32	  531961.90	 1061073.47	  873599.97	 1470704.78	  710300.82	  650422.520	  470066.763	  485479.098	  760897.759	  518074.66	  726538.08	 2763316.136	  781583.66	  734133.771	 2319915.72	  874416.98	  747443.240	 1029570.58	  557446.117	 1045592.64	 1028292.814	 1606673.249	  483945.58	  827324.78	  444983.35	  824952.99	  791227.79	 1648267.30	  660873.93	 1008217.582	  521827.68	  539703.72	 1389787.65	  677719.53	 1153875.92	 1235323.33	  527565.27	  527840.95	 1200992.41	 1458030.17	  541107.20	  908265.00	  387045.59	 1324227.42	  616716.16	  516201.87	 1472358.493	 1266711.507	  700905.21	  685302.37	 1145962.74	 1337547.75	  920573.98	  553500.89	 1151889.73	  731815.28	 1782147.96	 1137060.10	  795969.03	  993144.96	  628647.41	  966851.36	  434022.435	 1518710.29
L-Aspartic Acid	  736739.35	 1940835.7	  854494.104	 1103257.27	  710156.49	 1347202.36	 1688896.59	 1381482.12	  575725.87	  896681.23	 1218806.07	 1282400.235	  550323.55	  866244.710	  608045.156	6.124773e+05	 1111258.48	  536010.625	  368827.75	  410067.83	  761322.92	 1005058.86	  579965.54	  696680.184	  760435.670	  867933.61	 1039527.78	  689361.41	  828336.53	  768397.58	  917199.67	 1570898.95	  637805.73	 1064627.94	  492425.260	  668459.52	 1327979.30	 1202762.846	  690798.1	  447217.296	  929587.093	  642109.211	 1118623.04	  861621.07	  930715.38	  734443.7	 1958121.59	  528177.85	 1010656.56	  690048.96	 1954659.74	 1145907.44	  458010.023	  412218.584	  271420.661	  963523.738	  650725.51	  527487.49	 1114128.062	  779320.91	  454350.239	 1069136.06	 1434982.85	  615821.399	  912309.21	  544970.959	  463720.70	  304606.311	  688805.217	  512413.88	  594169.18	 1107785.18	 1095803.72	 1210625.79	 1798951.99	  705707.32	  874316.835	  771148.33	  797955.31	 1689467.76	 1687953.69	  481365.62	  661653.27	  420826.77	  822080.66	  951064.05	 1453514.43	  647521.83	 1213160.58	  598512.78	  552881.75	  846429.01	  466091.03	  625954.593	  968274.477	  948715.73	 1544765.75	 1334918.49	  553254.89	  807637.13	  920048.29	  958569.09	  535298.50	 1276834.57	  519771.64	  875043.61	 1254822.24	  741824.64	  971768.20	  359043.436	  886590.00
