,occurrences_across_networks,interaction_types,networks_with_the_edge
L-Isoleucine-L-Leucine,11,{'co-occurrence'},"{'TG4', 'TG3', 'overall', 'TG1', 'day07', 'day14', 'TG5', 'day28', 'day21', 'day35', 'TG2'}"
Eisenbergiella intestinigallinarum-Eisenbergiella sp904392525,9,"{'competition', 'co-occurrence'}","{'TG3', 'overall', 'TG1', 'day07', 'TG5', 'day28', 'day21', 'day35', 'TG2'}"
L-Phenylalanine-L-Tyrosine,9,{'co-occurrence'},"{'TG4', 'TG3', 'overall', 'day14', 'TG5', 'day28', 'day21', 'day35', 'TG2'}"
Lawsonibacter sp900545895-Lawsonibacter pullicola,7,"{'competition', 'co-occurrence'}","{'TG4', 'TG3', 'overall', 'day07', 'day14', 'TG5', 'day21'}"
L-Alanine-L-Glutamine,6,{'co-occurrence'},"{'TG4', 'overall', 'TG1', 'day14', 'day21', 'day35'}"
L-Threonine-L-Glutamine,6,{'co-occurrence'},"{'TG4', 'TG3', 'overall', 'TG5', 'day28', 'day21'}"
L-Leucine-L-Tryptophan,6,{'co-occurrence'},"{'TG4', 'TG3', 'overall', 'TG5', 'day21', 'TG2'}"
L-Lysine-L-Arginine,5,{'co-occurrence'},"{'overall', 'TG1', 'TG5', 'day35', 'TG2'}"
L-Leucine-L-Methionine,5,{'co-occurrence'},"{'TG3', 'overall', 'day14', 'TG5', 'day21'}"
An181 sp002160325-treatment_TG3,4,{'co-occurrence'},"{'overall', 'day07', 'day14', 'day21'}"
Eisenbergiella merdigallinarum-Lactobacillus johnsonii,4,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'overall', 'day28', 'day21'}"
Gallacutalibacter pullicola-Choladocola avistercoris,4,"{'competition', 'co-exclusion'}","{'overall', 'day28', 'day14', 'day21'}"
Escherichia coli-Flavonifractor plautii,4,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'overall', 'TG5', 'TG2'}"
Intestinimonas pullistercoris-Copromonas faecavium,4,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'day28', 'day14', 'day21'}"
Dysosmobacter pullicola-Enterocloster excrementigallinarum,4,"{'competition', 'co-occurrence', 'cooperation'}","{'TG4', 'overall', 'TG5', 'day35'}"
Flavonifractor avicola-Merdisoma faecalis,4,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'overall', 'day28', 'day14'}"
L-Valine-L-Histidine,4,{'co-occurrence'},"{'TG4', 'overall', 'TG3', 'day14'}"
L-Alanine-L-Serine,4,{'co-occurrence'},"{'TG1', 'TG5', 'day28', 'day21'}"
L-Alanine-L-Threonine,4,{'co-occurrence'},"{'day35', 'overall', 'TG3', 'day14'}"
Acutalibacter stercoravium-Eisenbergiella intestinigallinarum,4,"{'competition', 'co-occurrence'}","{'overall', 'TG1', 'day28', 'day21'}"
Merdivicinus intestinigallinarum-treatment_TG2,3,{'co-exclusion'},"{'overall', 'day28', 'day21'}"
L-Serine-L-Glutamine,3,{'co-occurrence'},"{'TG4', 'overall', 'TG3'}"
Dysosmobacter avistercoris-Copromonas faecavium,3,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'overall', 'day28'}"
Agathobaculum intestinigallinarum-Intestinimonas pullistercoris,3,"{'competition', 'co-exclusion'}","{'overall', 'day28', 'day21'}"
Pyridoxamine-Pyridoxine,3,{'co-occurrence'},"{'day35', 'overall', 'TG2'}"
Enterocloster excrementipullorum-Enterocloster excrementigallinarum,3,"{'competition', 'co-occurrence'}","{'overall', 'TG2', 'day21'}"
Borkfalkia excrementigallinarum-Gallimonas merdigallinarum,3,"{'competition', 'co-occurrence'}","{'overall', 'day28', 'day21'}"
Flavonifractor plautii-Lawsonibacter sp900545895,3,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'TG5', 'TG2'}"
Klebsiella pneumoniae-Enterocloster excrementigallinarum,3,"{'competition', 'co-occurrence', 'cooperation'}","{'TG3', 'TG5', 'day14'}"
Merdisoma sp002160825-Mediterraneibacter norwichensis,3,"{'competition', 'co-occurrence'}","{'day35', 'day28', 'day21'}"
Onthovicinus excrementipullorum-Gallimonas merdigallinarum,3,"{'competition', 'co-exclusion'}","{'day35', 'overall', 'day28'}"
UBA1417 sp900552925-Lachnoclostridium_A stercoripullorum,3,"{'competition', 'co-exclusion'}","{'overall', 'day28', 'day21'}"
Onthovicinus excrementipullorum-Mediterraneibacter vanvlietii,3,"{'competition', 'co-occurrence'}","{'day35', 'overall', 'day14'}"
Acutalibacter sp900755895-Coproplasma stercorigallinarum,3,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG3', 'day28'}"
Mediterraneibacter faecavium-treatment_TG3,3,{'co-occurrence'},"{'overall', 'day14', 'day21'}"
Mediterraneibacter sp900761655-treatment_TG3,3,{'co-occurrence'},"{'day35', 'day28', 'day21'}"
L-Methionine-Pyridoxamine,3,{'co-occurrence'},"{'TG4', 'overall', 'TG5'}"
Dysosmobacter avistercoris-treatment_TG3,3,{'co-exclusion'},"{'overall', 'day28', 'day14'}"
Proteus mirabilis-Thomasclavelia ramosa,3,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG3', 'TG5'}"
L-Arginine-L-Tyrosine,3,{'co-occurrence'},"{'overall', 'TG1', 'day28'}"
Merdivicinus excrementipullorum-treatment_TG2,3,{'co-occurrence'},"{'day35', 'day28', 'day21'}"
Faeciplasma gallinarum-Heteroclostridium caecigallinarum,3,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'TG2', 'day21'}"
Mediterraneibacter faecigallinarum-Mediterraneibacter faecipullorum,3,"{'competition', 'co-occurrence'}","{'overall', 'day28', 'day21'}"
Blautia ornithocaccae-Enterocloster excrementigallinarum,3,"{'competition', 'co-occurrence'}","{'TG4', 'TG3', 'day07'}"
Lawsonibacter sp900545895-Anaerotignum merdipullorum,3,"{'competition', 'co-occurrence'}","{'overall', 'TG1', 'day21'}"
Mediterraneibacter sp019418195-Pullilachnospira stercoravium,3,"{'competition', 'co-occurrence'}","{'day35', 'overall', 'day21'}"
Clostridium_Q saccharolyticum_A-Ligilactobacillus salivarius,3,"{'competition', 'co-exclusion'}","{'overall', 'day07', 'day14'}"
Borkfalkia sp904373255-treatment_TG4,3,{'co-occurrence'},"{'overall', 'day28', 'day21'}"
Pseudobutyricicoccus lothianensis-treatment_TG2,3,{'co-occurrence'},"{'overall', 'day07', 'day28'}"
Dysosmobacter avistercoris-Negativibacillus faecipullorum,3,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG1', 'day21'}"
Mediterraneibacter sp019418195-Merdimonas faecis,3,"{'competition', 'co-occurrence'}","{'overall', 'day28', 'day21'}"
Mediterraneibacter sp019418195-Mediterraneibacter faecipullorum,3,"{'competition', 'co-occurrence'}","{'TG4', 'overall', 'day28'}"
Intestinimonas pullistercoris-Faecousia gallistercoris,3,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day14', 'day21'}"
unclassified_Onthovicinus-treatment_TG1,3,{'co-occurrence'},"{'day35', 'day28', 'day21'}"
Onthovicinus excrementipullorum-Anaerostipes butyraticus,3,"{'competition', 'co-occurrence'}","{'overall', 'day28', 'day21'}"
L-Methionine-L-Tryptophan,3,{'co-occurrence'},"{'TG4', 'overall', 'day28'}"
Dysosmobacter avistercoris-Borkfalkia excrementigallinarum,3,"{'competition', 'co-occurrence'}","{'day35', 'overall', 'day28'}"
Coprocola pullicola-Choladocola avistercoris,3,"{'competition', 'co-occurrence'}","{'TG4', 'overall', 'TG2'}"
Ruminococcus_G avistercoris-Mediterraneibacter norwichensis,2,"{'competition', 'co-occurrence'}","{'TG1', 'TG3'}"
Intestinimonas pullistercoris-Mediterraneibacter excrementipullorum,2,"{'competition', 'co-exclusion', 'cooperation'}","{'day35', 'day28'}"
Heritagella sp905215105-Blautia stercorigallinarum,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Proteus mirabilis-Lactobacillus crispatus,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG3', 'TG5'}"
Agathobaculum stercoravium-Massilimicrobiota merdigallinarum,2,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'day21'}"
Thomasclavelia spiroformis-treatment_TG5,2,{'co-occurrence'},"{'overall', 'day21'}"
unclassified_Choladocola-Mediterraneibacter sp900761655,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Enterocloster excrementipullorum-Clostridium_Q saccharolyticum_A,2,"{'competition', 'co-occurrence'}","{'day28', 'day21'}"
Alistipes excrementavium-treatment_TG1,2,{'co-occurrence'},"{'day28', 'day21'}"
Flavonifractor avistercoris-Dysosmobacter pullicola,2,"{'competition', 'co-exclusion'}","{'day28', 'day21'}"
Coprocola pullicola-Harrysmithimonas galli,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day28'}"
L-Valine-L-Leucine,2,{'co-occurrence'},"{'TG2', 'day28'}"
Escherichia coli-Pantothenic acid,2,{'co-occurrence'},"{'TG4', 'TG5'}"
Roslinia sp019419865-Harrysmithimonas galli,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day21'}"
Blautia ornithocaccae-Thomasclavelia spiroformis,2,"{'competition', 'co-occurrence'}","{'TG1', 'TG5'}"
Merdisoma sp002160825-Merdibacter merdigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day28', 'day21'}"
unclassified_Choladocola-An181 sp002160325,2,"{'competition', 'co-occurrence'}","{'day28', 'day21'}"
Lachnoclostridium_A avicola-treatment_TG5,2,{'co-exclusion'},"{'day35', 'day28'}"
Ornithomonoglobus merdipullorum-treatment_TG5,2,{'co-occurrence'},"{'overall', 'day21'}"
Fimenecus stercoravium-treatment_TG5,2,{'co-occurrence'},"{'day35', 'day28'}"
Gordonibacter urolithinfaciens-Mediterraneibacter faecigallinarum,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Gemmiger stercoravium-treatment_TG4,2,{'co-occurrence'},"{'day35', 'day21'}"
