A	B	Competition	Complementarity
GPB:bin_000210	GPB:bin_000210	1.0	0.0
GPB:bin_000210	GPB:bin_000032	0.7685185185185185	0.0670391061452514
GPB:bin_000210	GPB:bin_000143	0.6666666666666666	0.11042944785276074
GPB:bin_000210	GPB:bin_000082	0.6388888888888888	0.08552631578947369
GPB:bin_000210	GPB:bin_000140	0.625	0.12258064516129032
GPB:bin_000210	GPB:bin_000200	0.5462962962962963	0.13768115942028986
GPB:bin_000210	GPB:bin_000025	0.49537037037037035	0.14960629921259844
GPB:bin_000210	TG3_14:bin_000007	0.5462962962962963	0.1323529411764706
GPB:bin_000210	GPB:bin_000148	0.5694444444444444	0.10144927536231885
GPB:bin_000210	GPB:bin_000206	0.625	0.07482993197278912
GPB:bin_000210	GPB:bin_000075	0.5555555555555556	0.08333333333333333
GPB:bin_000210	TG2_07:bin_000029	0.6574074074074074	0.07741935483870968
GPB:bin_000210	GPB:bin_000024	0.5555555555555556	0.08333333333333333
GPB:bin_000210	D300526:bin_000014	0.6712962962962963	0.10429447852760736
GPB:bin_000210	GPB:bin_000027	0.5972222222222222	0.11564625850340136
GPB:bin_000210	GPB:bin_000152	0.6527777777777778	0.1069182389937107
GPB:bin_000210	GPB:bin_000197	0.5370370370370371	0.15827338129496402
GPB:bin_000210	GPB:bin_000151	0.49074074074074076	0.12295081967213115
GPB:bin_000210	GPB:bin_000183	0.5648148148148148	0.10869565217391304
GPB:bin_000210	D300511:bin_000002	0.7037037037037037	0.09467455621301775
GPB:bin_000210	GPB:bin_000159	0.5601851851851852	0.14084507042253522
GPB:bin_000210	GPB:bin_000099	0.41203703703703703	0.09183673469387756
GPB:bin_000210	GPB:bin_000202	0.5601851851851852	0.1347517730496454
GPB:bin_000210	D300499:bin_000015	0.7222222222222222	0.10285714285714286
GPB:bin_000210	GPB:bin_000087	0.4861111111111111	0.125
GPB:bin_000210	GPB:bin_000209	0.6342592592592593	0.09803921568627451
GPB:bin_000210	GPB:bin_000166	0.6481481481481481	0.08441558441558442
GPB:bin_000210	TG1:bin_000010	0.5925925925925926	0.03731343283582089
GPB:bin_000210	GPB:bin_000124	0.6157407407407407	0.08843537414965986
GPB:bin_000210	D300506:bin_000004	0.6481481481481481	0.09032258064516129
GPB:bin_000210	GPB:bin_000038	0.6064814814814815	0.07042253521126761
GPB:bin_000210	GPB:bin_000163	0.5324074074074074	0.09375
GPB:bin_000210	GPB:bin_000028	0.5324074074074074	0.13432835820895522
GPB:bin_000210	D300430:bin_000010	0.5601851851851852	0.1223021582733813
GPB:bin_000210	TG2:bin_000055	0.44907407407407407	0.09345794392523364
GPB:bin_000210	TG5_28:bin_000004	0.5092592592592593	0.12
GPB:bin_000210	TG5:bin_000031	0.47685185185185186	0.15447154471544716
GPB:bin_000210	D300521:bin_000006	0.625	0.087248322147651
GPB:bin_000210	GPB:bin_000195	0.3425925925925926	0.14942528735632185
GPB:bin_000210	GPB:bin_000040	0.6527777777777778	0.07792207792207792
GPB:bin_000210	GPB:bin_000043	0.49537037037037035	0.0847457627118644
GPB:bin_000210	TG1:bin_000047	0.4861111111111111	0.1016949152542373
