A	B	Competition	Complementarity
GPB:bin_000200	GPB:bin_000115	0.56	0.27
GPB:bin_000200	GPB:bin_000156	0.48	0.33
GPB:bin_000200	GPB:bin_000045	0.59	0.29
GPB:bin_000200	GPB:bin_000022	0.5	0.29
GPB:bin_000200	GPB:bin_000131	0.56	0.27
GPB:bin_000200	TG4_21:bin_000043	0.65	0.25
GPB:bin_000200	GPB:bin_000087	0.44	0.38
GPB:bin_000200	GPB:bin_000003	0.53	0.29
GPB:bin_000200	GPB:bin_000012	0.6	0.27
GPB:bin_000200	GPB:bin_000148	0.52	0.32
GPB:bin_000200	GPB:bin_000123	0.51	0.29
GPB:bin_000200	TG2:bin_000055	0.43	0.29
GPB:bin_000200	GPB:bin_000176	0.55	0.27
GPB:bin_000200	GPB:bin_000039	0.59	0.27
GPB:bin_000200	GPB:bin_000139	0.55	0.29
GPB:bin_000200	TG1:bin_000020	0.51	0.29
GPB:bin_000200	GPB:bin_000184	0.66	0.25
GPB:bin_000200	GPB:bin_000071	0.45	0.34
GPB:bin_000200	GPB:bin_000042	0.66	0.18
GPB:bin_000200	D300492:bin_000003	0.58	0.27
GPB:bin_000200	TG4:bin_000055	0.55	0.28
GPB:bin_000200	GPB:bin_000059	0.53	0.24
GPB:bin_000200	TG1_21:bin_000035	0.56	0.31
GPB:bin_000200	TG3_07:bin_000004	0.41	0.35
GPB:bin_000200	D300482:bin_000009	0.56	0.31
GPB:bin_000200	D300491:bin_000003	0.45	0.34
GPB:bin_000200	TG5_35:bin_000024	0.53	0.33
GPB:bin_000200	D300493:bin_000002	0.58	0.2
GPB:bin_000200	GEXTRA:bin_000001	0.79	0.13
GPB:bin_000200	GPB:bin_000031	0.72	0.19
GPB:bin_000200	GPB:bin_000122	0.49	0.19
GPB:bin_000200	GPB:bin_000089	0.59	0.29
GPB:bin_000200	GPB:bin_000147	0.65	0.26
GPB:bin_000200	D300474:bin_000012	0.59	0.26
GPB:bin_000200	D300442:bin_000015	0.49	0.39
GPB:bin_000200	GPB:bin_000040	0.58	0.29
GPB:bin_000200	D300500:bin_000011	0.53	0.27
GPB:bin_000200	TG1:bin_000047	0.49	0.26
GPB:bin_000200	GPB:bin_000126	0.51	0.3
GPB:bin_000200	GPB:bin_000154	0.55	0.31
GPB:bin_000200	GPB:bin_000100	0.5	0.37
GPB:bin_000200	GPB:bin_000019	0.51	0.31
GPB:bin_000200	GPB:bin_000129	0.31	0.44
GPB:bin_000200	GPB:bin_000172	0.56	0.29
GPB:bin_000200	GPB:bin_000041	0.51	0.2
GPB:bin_000200	GPB:bin_000005	0.71	0.23
GPB:bin_000200	GPB:bin_000084	0.65	0.3
GPB:bin_000200	GPB:bin_000104	0.6	0.26
GPB:bin_000200	D300526:bin_000001	0.58	0.28
GPB:bin_000200	TG5:bin_000031	0.45	0.33
GPB:bin_000200	GPB:bin_000149	0.49	0.3
GPB:bin_000200	GPB:bin_000070	0.49	0.19
GPB:bin_000200	GPB:bin_000015	0.55	0.31
GPB:bin_000200	GPB:bin_000082	0.53	0.28
GPB:bin_000200	GPB:bin_000197	0.49	0.35
GPB:bin_000200	GPB:bin_000020	0.42	0.36
GPB:bin_000200	D300499:bin_000015	0.66	0.26
GPB:bin_000200	GPB:bin_000204	0.43	0.36
GPB:bin_000200	D300458:bin_000001	0.53	0.2
GPB:bin_000200	GPB:bin_000171	0.57	0.29
GPB:bin_000200	D300511:bin_000002	0.66	0.27
GPB:bin_000200	D300444:bin_000010	0.57	0.3
GPB:bin_000200	GPB:bin_000034	0.55	0.34
GPB:bin_000200	GPB:bin_000177	0.62	0.27
GPB:bin_000200	TG2_21:bin_000011	0.41	0.22
GPB:bin_000200	GPB:bin_000151	0.48	0.36
GPB:bin_000200	GPB:bin_000189	0.45	0.34
GPB:bin_000200	GPB:bin_000185	0.56	0.27
GPB:bin_000200	GPB:bin_000073	0.43	0.31
GPB:bin_000200	GPB:bin_000088	0.5	0.34
GPB:bin_000200	D300511:bin_000016	0.58	0.3
GPB:bin_000200	GPB:bin_000054	0.53	0.3
GPB:bin_000200	GPB:bin_000210	0.64	0.24
GPB:bin_000200	GPB:bin_000029	0.57	0.28
GPB:bin_000200	TG5_28:bin_000003	0.56	0.26
GPB:bin_000200	GPB:bin_000051	0.47	0.43
GPB:bin_000200	GPB:bin_000058	0.57	0.31
GPB:bin_000200	GPB:bin_000099	0.41	0.3
GPB:bin_000200	GPB:bin_000049	0.52	0.27
GPB:bin_000200	GPB:bin_000061	0.5	0.25
GPB:bin_000200	GPB:bin_000152	0.55	0.27
GPB:bin_000200	GPB:bin_000146	0.58	0.24
GPB:bin_000200	GPB:bin_000198	0.43	0.36
GPB:bin_000200	GPB:bin_000111	0.48	0.34
GPB:bin_000200	GPB:bin_000170	0.55	0.34
GPB:bin_000200	GPB:bin_000067	0.58	0.28
GPB:bin_000200	GPB:bin_000014	0.42	0.29
GPB:bin_000200	D300443:bin_000002	0.52	0.31
GPB:bin_000200	TG5_35:bin_000001	0.56	0.21
GPB:bin_000200	GPB:bin_000143	0.7	0.22
GPB:bin_000200	GPB:bin_000155	0.6	0.21
GPB:bin_000200	GPB:bin_000083	0.44	0.34
GPB:bin_000200	GPB:bin_000060	0.67	0.25
GPB:bin_000200	D300428:bin_000008	0.48	0.25
GPB:bin_000200	GEXTRA:bin_000006	0.49	0.26
GPB:bin_000200	TG1:bin_000010	0.53	0.19
GPB:bin_000200	GPB:bin_000211	0.48	0.32
GPB:bin_000200	GPB:bin_000213	0.47	0.34
GPB:bin_000200	TG2_07:bin_000029	0.6	0.25
GPB:bin_000200	GPB:bin_000092	0.53	0.3
GPB:bin_000200	GPB:bin_000075	0.55	0.3
GPB:bin_000200	GPB:bin_000161	0.38	0.33
GPB:bin_000200	GPB:bin_000056	0.51	0.27
GPB:bin_000200	TG3:bin_000002	0.53	0.27
GPB:bin_000200	TG3_28:bin_000042	0.56	0.28
GPB:bin_000200	GPB:bin_000127	0.63	0.25
GPB:bin_000200	GPB:bin_000186	0.44	0.38
GPB:bin_000200	GPB:bin_000136	0.51	0.23
GPB:bin_000200	GPB:bin_000085	0.62	0.23
GPB:bin_000200	GPB:bin_000215	0.69	0.2
GPB:bin_000200	GPB:bin_000124	0.55	0.3
GPB:bin_000200	D300430:bin_000010	0.52	0.31
GPB:bin_000200	GPB:bin_000035	0.5	0.35
GPB:bin_000200	GPB:bin_000001	0.6	0.27
GPB:bin_000200	GPB:bin_000132	0.62	0.24
GPB:bin_000200	GPB:bin_000026	0.56	0.26
GPB:bin_000200	GPB:bin_000145	0.64	0.3
GPB:bin_000200	TG1:bin_000014	0.56	0.25
GPB:bin_000200	GPB:bin_000133	0.64	0.19
GPB:bin_000200	GPB:bin_000086	0.55	0.28
GPB:bin_000200	GPB:bin_000038	0.6	0.24
GPB:bin_000200	D300435:bin_000001	0.47	0.36
GPB:bin_000200	GPB:bin_000194	0.58	0.31
GPB:bin_000200	GPB:bin_000094	0.65	0.29
GPB:bin_000200	GPB:bin_000023	0.57	0.3
