genome	D300529	D300480	D300517	D300428	D300509	D300516	D300510	D300483	D300466	D300421	D300454	D300525	D300468	D300451	D300498	D300476	D300487	D300459	D300420	D300430	D300462	D300512	D300484	D300495	D300478	D300458	D300427	D300490	D300496	D300467	D300418	D300519	D300504	D300527	D300439	D300475	D300506	D300473	D300486	D300528	D300449	D300492	D300446	D300419	D300453	D300465	D300422	D300437	D300523	D300426	D300440	D300485	D300447	D300461	D300456	D300425	D300424	D300450	D300481	D300494	D300423	D300441	D300435	D300457	D300432	D300444	D300482	D300501	D300521	D300514	D300443	D300526	D300474	D300511	D300489	D300491	D300488	D300508	D300502	D300438	D300448	D300518	D300500	D300522	D300429	D300472	D300471	D300431	D300463	D300452	D300470	D300433	D300479	D300436	D300445	D300442	D300507	D300434	D300460	D300513	D300455	D300524	D300469	D300520	D300505	D300493	D300499	D300503	D300464	D300515	D300497	classification
D300418:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8367436500439	26.1040816600001	83.3769672971398	27.9456694337802	23.7999403697078	35.405402236471	28.0355336241148	83.0321668576176	49.1427307993809	127.436383188278	44.4244001795609	34.8857309400816	36.6292469833102	122.731117632476	92.8003959719403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faeciplasma;s__Faeciplasma gallinarum
D300418:bin_000013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712125836546919	0	0	0	0	0	0	23.2208320973386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__Fimivicinus intestinavium
D300428:bin_000008	0	5.92463708721141	6.82762838729004	40.0921896258327	28.2539151726462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Coproplasma;s__Coproplasma excrementigallinarum
D300430:bin_000010	2.60778859527121	4.81947322087257	3.28693821544457	17.5973624390475	10.291955698999	10.2209818646859	4.59665536638826	7.56716024025809	6.93259418361098	9.75390406070295	0	0	0	0	0	4.90454185890135	6.33621404908724	4.89664477029469	74.145265112262	235.590095784687	27.2586506441292	0	0	0	0	0	1.21885065039356	8.18138379650702	2.79946792948999	2.555058035271	5.87023583972042	0	3.74127071819523	1.92893886453861	9.40368317546931	7.69686242338658	4.24943337556221	0	2.86054541225801	0	14.3262184008162	0	0	6.28978116734297	0	0	0	0	0	0	0	0	0	0	0	1.43936935249871	0	0	0	0	0	0	0	0	0	0	0	0	3.22621060369077	13.0612347581192	2.78852196490227	5.78251817829827	12.3950803470454	6.30307626588331	10.4021150869046	3.95174312403494	21.3181407121241	3.15368734060043	7.47224523225771	14.448673255793	9.76490000686414	14.0370749983506	9.65868916326181	0	4.21849478159052	0	12.1190820983997	1.48650197627141	3.09006079758596	18.0258544683193	0	5.06853140142334	6.24474776965559	14.2432489888728	0	0	6.55768240108813	0	3.48826399334112	5.96010270880136	2.25766767318449	7.63338582509248	16.8387421170728	23.4391087818957	10.2331773686101	7.75933939021148	12.9267343439385	5.72973763672459	12.5263819405246	5.29629743168019	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas timonensis
D300432:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3682857313552	1.62036449078577	2.8580147297407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40952821828951	0	0.950614550081798	2.71967522592411	5.8657452141937	119.569924054582	2.72611461322357	181.501482668926	32.5342530686364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Fimicola;s__Fimicola sp944379995
D300435:bin_000001	5.73178674489697	28.4470425188734	16.4632867256484	35.0444837970401	12.3107258432634	26.6335932018827	25.525289062187	25.9001055134924	6.40069357640458	16.0259517623424	10.7121139388587	6.51406362078624	23.2809864372344	17.4253411511263	10.9792170631738	14.1389651192664	20.2731448127509	27.7753073286702	31.7388395715665	1.46567904571178	22.7104829186776	5.59525951369515	3.99393709887392	4.42019432395549	14.8533024623219	17.0904163422565	4.41919261358414	11.8071012230294	7.22822419142332	11.6124158661495	11.7089925307761	8.73008265878288	10.186333842176	1.71298365915764	21.441551574728	7.42803594843902	0	9.76048908607088	4.88009723268671	13.430284493602	43.1942226059711	17.5518512786145	48.527623243766	6.106308575505	27.4635986307601	41.6789294348075	22.9298574900045	13.9050952096246	34.7424386580067	48.3420711285073	38.8162768900311	28.9553810702666	18.4601079647367	31.2960246632878	32.8599891736714	18.7914973252369	19.8362223184213	32.5611259381705	35.7098551801782	72.6177559644978	88.2491516888051	66.7205102359087	69.955386569853	48.6265568739723	0	0	0	0	15.501644769147	0	1.00106220582123	0	1.44723579005093	10.4582098217898	28.8059494525162	18.509898862607	0	11.352206866155	22.0756931639356	31.8385392155861	42.2801324300394	22.2542922307344	11.0771489830086	1.04938000020427	26.9030532917774	3.41512527664884	8.69844039587594	30.1900774891717	94.6029416501745	54.0989006326881	22.8553773776872	13.82566546959	51.83786355212	38.9376016932441	49.228466958878	33.1615039954495	31.0146029730764	52.3924575530141	44.6970238595626	24.9638598611119	47.3863805100945	10.6206047502284	27.3073318128287	18.6329324658652	12.4717065923542	1.84868595240658	6.1763693773604	7.83372864883806	2.83077458531155	0	4.34188414257128	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum merdipullorum
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89411542366695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1054211149807	13.5099822283943	11.0223136108039	13.4364402145332	5.31061339068074	58.0963681140266	0	0	0	0	9.23788264370759	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__Tyzzerella sp944383305
D300442:bin_000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.1157062094707	0	0	4.91211349566393	0	0	1.53830247736448	5.09653555241596	8.88180613956457	0	13.3678175638655	11.1743287016141	9.46734879385666	12.7043914911841	0	4.12398998221907	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum merdipullorum
D300443:bin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15464469348667	0	0	0	0	0	0	0	0	0	0	0	0	4.36063806639179	1.14958485205802	63.4257239372758	11.9608535081382	9.12122601625896	0	0	0	0	1.31544756614214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91038149721635	0	1.10148855715934	11.4635433791512	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ sp900552125
D300443:bin_000003	1.22658741335523	0.960163694170215	2.31371971013386	3.58371901793046	3.33577891978079	1.94185431743971	1.62230697072696	1.28047186789895	2.07455149993317	2.82038574824801	1.16701913345682	0	0	0	0	0	0	0	0	0	0	2.59173485268002	0	2.41683414806469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88589683305009	2.7771081173977	0	0	4.97446604861655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.7931678330692	9.26329269224159	59.9888829746606	33.4255475567607	29.676863339953	6.69738120357463	3.4488736179801	8.33732145926025	9.87862273005022	4.87954168974011	0	2.14723285722469	0	16.8579127203116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.690560613149	22.1896541847276	13.1474488724245	4.59409729515553	9.82393269396017	26.8080084353339	1.11317943344345	7.44227560675209	4.2354344889152	3.54442454028146	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__Scatosoma sp900555925
