treatment	TG3	TG2	TG1	TG3	TG3	TG3	TG5	TG1	TG2	TG2	TG4	TG5	TG4	TG2	TG4
day	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes
synbiotic_water	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	No
synbiotic_feed	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No
L-Tyrosine	  532863.31	 4103839.654	3.763742e+05	 3078266.297	 4424738.872	 1454378.456	 1906259.570	  359246.998	  462266.472	  368581.657	 2465049.391	 3629058.290	 1177923.479	 2938962.84	  265559.605
L-Phenylalanine	 1260059.08	26192959.119	8.176808e+05	 4774521.240	 9801878.953	 6741073.347	 1816818.598	  555864.684	  727284.940	  798089.410	 9746621.614	 7310025.602	 2940726.326	21991965.22	  765026.569
L-Tryptophan	  185741.68	 1367088.022	8.384089e+05	 1164654.278	  602887.573	 1005799.715	 1088099.028	  650422.520	  470066.763	  485479.098	  760897.759	 2763316.136	 1028292.814	 1782147.96	  434022.435
L-Aspartic Acid	 1347202.36	 1282400.235	6.124773e+05	  536010.625	  696680.184	  447217.296	  642109.211	  458010.023	  412218.584	  271420.661	  963523.738	 1114128.062	  304606.311	 1276834.57	  359043.436
L-Arginine	 6227694.78	 9197593.050	4.477350e+06	 7882565.355	 5551596.865	 7634323.958	11619406.218	 2771855.433	 4981799.593	 3794594.472	 4767501.187	 8905533.924	 5866269.366	 5267436.90	 4013268.882
L-Leucine	 1157794.88	 9153347.586	9.988929e+05	 3475552.315	 1776961.169	 8836163.106	 4964210.390	 1066095.359	 2032140.936	 2528114.382	 2421747.588	 8465906.858	 7036093.356	19261713.27	 1855519.588
L-Glutamic acid	 9357902.29	 2582801.393	3.724094e+06	 2918193.297	 3641993.344	15076670.408	 2604935.987	 2862135.601	 3302417.028	 3204194.592	 2885838.228	 3590182.042	 2807646.764	 2287696.49	  721889.370
L-Glutamine	 3584689.72	 3690118.884	5.471718e+05	 2029362.707	 4866411.644	 5894027.377	 1010430.708	 1687824.850	 2854240.377	 2594471.979	 2238813.868	 1979378.356	 2755939.024	 4335321.88	 5309416.436
L-Histidine	11381189.24	  941427.799	5.853515e+05	  578041.864	  676442.353	  809289.260	 1387882.847	  448646.629	  668741.076	  437285.903	  642448.679	 1704796.467	  497474.484	  929033.71	  527305.473
L-Lysine	 2614297.31	 9535028.138	8.349087e+06	11470711.425	 8967607.832	10792507.471	15144277.199	 5570949.425	 7922343.252	 8060503.068	 7695188.408	 9588120.426	 8776605.142	 7039952.98	 7596704.003
L-Methionine	   54955.99	  827338.529	1.971148e+05	  593821.713	  383293.257	 1197546.760	  492964.498	  239372.549	  368274.507	  307520.610	  392809.771	  668503.040	 1089873.132	  658177.66	  307080.899
L-Proline	 6900413.82	49080867.759	1.220483e+08	21182647.502	23359216.358	22259357.564	28161809.747	69936914.936	54527491.894	61419402.289	37286816.231	80577035.926	54599102.287	30786392.04	53102694.323
L-Threonine	  759947.71	 1952140.559	6.179845e+05	 1262634.781	 1578549.380	 1810641.104	  948239.953	  868111.429	  952953.772	 1801088.713	 1099022.294	 1597393.541	 1372989.354	 1775329.41	 1560454.438
Thiamine	 1742219.76	 4577377.623	3.988176e+05	  551194.119	 2024028.234	 5537109.033	  776722.779	 1655512.329	 1115781.465	  803928.294	  635443.616	  317221.806	 2234744.503	 6342834.24	 1750140.829
Adenine	 2664050.47	 2233088.807	2.280367e+06	 4943088.612	 2469502.536	 4173485.226	  236305.969	  932070.014	  681720.090	  910319.615	  603557.010	  330018.494	  705863.657	  730935.68	 1419618.490
Guanosine	  139233.51	   63772.430	3.650489e+04	   14409.617	   49965.891	   29996.318	   51881.386	   57364.415	   37921.528	   45702.195	   89043.183	   51827.818	   80180.620	  110032.98	  112158.259
L-Valine	28786941.03	 3598401.433	5.059820e+05	 4312175.370	 4565929.239	 7686267.979	 2083487.819	  787143.641	 1386225.310	 1044243.702	  991956.005	 1828762.036	 2359373.645	17021659.27	 2421474.960
L-Alanine	   11603.67	   39632.845	1.608162e+04	   42804.044	   39697.941	   82917.501	   26619.093	   24011.872	   11659.332	   21800.260	   20191.436	   27765.027	   27222.438	   66329.34	   54107.893
L-Asparagine	   94876.04	    6911.049	4.115378e+03	    5579.421	    7957.775	    6684.408	    4622.363	    5516.253	    5413.208	    4382.182	    4719.534	    8872.139	    4529.479	    5957.41	    5782.708
L-Isoleucine	  188168.79	 3290844.171	5.458254e+05	  905702.922	  265379.227	 1370676.093	  878025.855	  598900.094	  315676.850	 1136054.421	  811132.908	 2668348.254	 2347582.393	 7935726.49	  686756.234
L-Serine	  915555.15	  765089.544	1.006032e+05	  174400.689	  105650.223	  639360.522	  291582.459	  186156.935	  173786.726	  196330.989	  428812.327	  452695.866	  339568.656	  333276.95	  283422.362
Lactic acid	 3538839.92	28067327.759	4.177103e+05	18796326.727	  430636.326	 2506180.410	13204712.870	 6612976.684	  438557.136	16232265.631	 1697144.079	40864259.972	20707327.053	39600084.62	28700207.096
Sulfoacetic acid	  170498.42	  623578.713	1.750986e+06	 1071608.216	 1448282.475	 1271483.316	 1919114.920	 1079988.153	 1149750.474	 1206051.198	 1431614.392	 1258108.990	 1671777.411	  574518.75	 1193268.839
