treatment	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
day	35	35	35	35	35	28	28	28	28	28	21	21	21	21	21	14	14	14	7	7	7	35	35	35	35	35	28	28	28	28	28	21	21	21	21	21	14	14	14	14	7	7	7	7	35	35	35	35	35	28	28	28	28	28	21	21	21	21	21	14	14	14	14	14	7	7	7	7	35	35	35	35	35	28	28	28	28	28	21	21	21	21	21	14	14	14	14	7	7	7	14	14	7	14	7	14	21	21	21	21	21	28	28	28	28	28	35	35	35	35	35
L-Tyrosine	1330194.07494476	3761603.58873876	5205200.99642182	3080580.60526598	3892372.05318958	4441167.00326949	1709515.04061512	2946196.44209949	1915255.03443344	1910604.4356272	4255809.69393704	4757633.96134022	5099280.10167263	3189859.33885665	5214644.21535083	3629058.29040558	1522819.76382284	1906259.5702671	1994692.43385917	1415201.54134181	1615632.21981295	2121601.98382006	701756.168687122	1882659.75781753	631047.39383887	2317379.06103632	1486118.73107163	891119.822729777	723382.138613788	1013797.14472866	931320.661194342	792102.599615176	1470215.37798913	978882.06366507	814685.068191438	974864.39653066	881282.863491913	2465049.3907899	1177923.47876821	265559.604587513	647789.534250806	5420918.30688281	3399992.6266781	1096362.6924642	536540.631703852	374557.463944845	1005025.2432392	397442.551695511	918253.988013204	805607.76834545	737906.120485865	692634.919840204	1208050.32451239	1439298.82546443	828704.902526643	1110661.51349336	3199054.36948259	656204.241988148	2544805.22503206	1961502.89105271	532863.313399842	4424738.87183937	3078266.29712778	1454378.45637801	2330699.72867868	979775.984204332	979970.339661157	4331901.21643192	341450.402791481	676358.324937445	463288.425812592	519878.358243316	427363.05488429	407624.366220221	452328.508924273	605079.275620129	328951.773787001	392844.86918001	428142.431672516	632785.722057302	923467.435880421	945328.496618071	573342.874455709	2938962.83675836	4103839.65416823	368581.656932176	462266.471920656	1070405.43006612	601438.732166651	471502.748025865	359246.998160812	376374.231336048	374898.276490196	526227.279512977	672153.312981055	1699028.73344156	5251982.40456656	1546472.7662768	2283037.82119031	1157299.32251682	1588435.76397552	1143189.70431666	1341896.48590345	1125861.83482833	1783028.20587097	2308551.44272849	1533389.56479911	1534082.74693483	799052.748349736	1154861.9086068	1293202.31571859
L-Phenylalanine	3950385.79224954	13124521.903876	18075241.508035	8482253.88565525	12038492.0312555	13417966.5249991	7132264.91681859	6492338.74270179	3600457.7042684	2377164.47200524	13487627.1145673	16225612.8451383	14245490.2242886	7882331.11051679	13175244.2082315	7310025.60177609	2216250.80663464	1816818.5980672	2050994.73216014	2673541.36237018	2356668.23183426	4068227.77902756	1058103.50467417	3475704.22687324	1480611.43267531	5563986.58097753	2875225.64917164	716831.671609858	1049883.76600229	1691630.75364624	2197242.94048869	1150153.2691087	1909468.07877767	1421902.03392616	716413.966982705	1684092.9102333	1079236.07884678	9746621.61352549	2940726.32576084	765026.569402659	1338805.67283221	21447506.6376155	11510642.7539203	3482310.87767105	1419908.27490389	767847.278939821	1623982.28049608	1151120.46181054	1553725.38061354	1415680.0819498	1066576.88612189	1225876.35769487	2101855.67446477	2071580.82348585	2019043.54963826	1871747.41076342	5060518.38129713	753097.476398554	4139621.78482747	2386788.84815697	1260059.08268591	9801878.95347431	4774521.23986172	6741073.34729636	3153075.02253599	1977082.75428962	1975836.27677789	10365258.1538847	985032.66670117	1883922.09856307	1332456.80413608	1537512.0705063	1005837.47107135	528435.039831676	646761.506881542	835750.543788883	525748.264666951	577127.705671266	608551.385326433	681458.30512943	968064.798713094	1339175.85071551	926076.792379052	21991965.2249056	26192959.1192468	798089.409740587	727284.939808773	1647480.63786534	1862486.10297632	955339.135261436	555864.684311891	817680.78941111	480322.134387448	1753630.50505713	2686876.16699784	1873840.00900255	11604854.4804119	2574471.47946549	2274354.51741646	2325329.26244287	2637413.5609966	606643.188351384	1433684.91587871	1744189.10133197	3969178.65151784	4234876.1577415	1623591.13827129	819601.662471136	1112565.44215972	1233173.65460769	1361944.27807352
L-Tryptophan	1518710.29238708	2319915.71739288	1337547.7534244	1949337.13794327	1324227.417589	1145962.74223713	616716.164661172	1029570.58431557	1061073.46982657	1179691.31079989	1431215.60654963	993144.959102352	1470704.7827455	1082314.13478378	1389787.65261727	2763316.13630342	1606673.24901231	1088099.02812471	1712794.66167003	1140742.64856998	1000530.39078409	1472358.49287555	557446.116916545	1008217.58184259	781583.663299965	960210.4938505	1042825.99973387	444983.34558818	521827.675501919	873599.967817427	889525.280889141	553500.891693984	1200992.40749429	966851.355606281	753847.02845627	726538.080354775	541107.197307822	760897.758845948	1028292.8139725	434022.43457541	169438.67518823	791227.789052669	898179.416243205	1014373.65057131	875890.784287388	531961.903274303	795496.869155635	491432.849435242	1137060.10204287	968307.758773341	724290.356057351	1045592.63707388	1102213.26361565	679165.313314196	943710.799643757	737592.617557651	1002834.32710448	595405.465835309	874416.979500298	660873.92568649	185741.677640595	602887.573190743	1164654.27761129	1005799.71543175	800717.607112177	730805.378467265	747443.240092878	1235323.32636588	731815.276706748	700905.210597447	603873.946360258	628647.406451426	518074.659057941	516201.872562084	827324.784042501	824952.992775286	483945.584089889	387045.586719337	527565.273119213	584057.223898694	899659.133867964	920573.975237931	1153875.91526452	1782147.95886323	1367088.02217881	485479.097576841	470066.763120062	732086.452498767	946341.778649654	731037.557535761	650422.519583101	838408.858547822	734133.770958564	676495.749508391	836231.77662746	841761.606325392	908265.001409171	1378426.9330873	978629.013763349	1266711.5071647	1130461.24050191	795969.034604715	710300.823327402	1151889.72812671	1458030.17137279	1648267.29678674	677719.530673236	527840.950359791	624959.315670022	685302.366041993	539703.721834996
L-Aspartic Acid	886589.999325813	1069136.05830151	553254.887201038	1218806.07373698	552881.751997181	1334918.48690918	846429.007445318	912309.211088197	1010656.55587088	1103257.2701098	1327979.30146094	1254822.24499253	1954659.7376698	1064627.93646547	1689467.76257	1114128.06196368	688805.217377429	642109.21135439	854494.104335906	550323.55003456	930715.381407998	625954.592609511	544970.958700881	874316.834727945	779320.909465667	929587.093138289	896681.226674618	1107785.17611349	771148.328998793	690048.956354395	736739.351256183	920048.288727338	951064.048979147	971768.201765695	1005058.8642132	527487.486710054	647521.834969359	963523.738032352	304606.311097101	359043.435788478	1570898.9504055	1210625.79383326	828336.525761822	1940835.6877928	668459.523827729	528177.846984808	710156.488977672	410067.831722451	519771.638338291	575725.872773092	579965.540376476	463720.695267809	768397.578235855	861621.070596289	690798.064903636	1381482.12129061	1688896.58805782	637805.728990336	1434982.84525233	705707.317802773	1347202.36203054	696680.183668496	536010.624578417	447217.295723642	608045.155994973	1039527.77545195	615821.399300956	661653.274827483	535298.503300695	948715.731314185	867933.609154104	741824.63877426	650725.512213325	466091.031581266	594169.183875318	1095803.71548717	512413.88265812	598512.78034476	420826.77250661	761322.917644897	917199.670890345	807637.134648214	481365.615752152	1276834.57078396	1282400.23495853	271420.660586165	412218.584126053	866244.710282364	734443.749272791	492425.259903157	458010.022971917	612477.29475459	454350.238889491	368827.754169552	689361.409021353	760435.669741884	1213160.57500868	1111258.48459751	1118623.03605285	968274.476717378	1202762.84638572	875043.607640057	1145907.4374699	958569.090695624	1453514.43476746	1798951.99400655	1687953.68786875	822080.655650599	1958121.59220591	1544765.75089033	797955.309557442
L-Arginine	9935035.26302761	10578106.6179656	8342693.93852517	9756206.14503782	4797242.01524642	10124691.2673049	5732182.025824	9494966.63632845	7165322.35630783	10532432.1297785	8727182.25624892	11203716.9908897	12325874.7636285	7789545.39357294	10983682.0334478	8905533.92431001	6612732.79622935	11619406.217525	9259658.6926379	3743620.94418667	7317095.67420964	8460166.56959024	4798724.25677231	4238808.08462958	5110216.74401275	4354636.68734505	5946475.82827046	5041920.15234666	5218184.32118835	5245183.54978157	5555579.21070519	4035548.7897233	4689225.95517544	9878629.67545339	8281958.35750022	6362504.52453016	5550689.5501145	4767501.187372	5866269.36629796	4013268.88164862	6658185.95089014	8034442.80758192	5680846.5793111	12667652.7005935	5073449.9169564	4215411.64628277	7303672.96538768	4001578.67990599	7574712.02856434	6921887.98645702	6445564.43508063	5650550.96231286	8000486.22106428	8722564.51356617	7898685.27792605	7574636.19093601	10139930.796488	4885399.08654328	13496618.3452745	10495910.6585697	6227694.77830623	5551596.86484064	7882565.35474656	7634323.95751545	4654466.8294375	7104520.85099242	5751465.17405771	7611270.03106938	3653772.78659701	4600717.05672179	4382834.9414142	4291712.38622843	2557303.21387435	4422529.02984121	5568490.32857658	6794638.71972089	3748090.81706083	4310493.01149305	5262362.99384756	6914113.68114786	9796903.56441032	8146033.44955926	5466990.96836613	5267436.90018537	9197593.04964489	3794594.4721176	4981799.5932525	5969634.94017545	4670954.19309638	4785876.08104247	2771855.43290166	4477350.14516451	2876824.2145309	2226143.07367082	3625572.79881171	6753825.66944873	7152918.91657098	8009678.26641639	7393321.75796353	6115570.54488444	7219520.05059528	9331852.12768122	8584222.43990046	8254736.4511971	9116631.45502499	10032871.817692	9121889.97323241	11306250.1036264	7156602.74099851	9212572.45898847	8594715.39744077
L-Leucine	9968502.45169153	16552899.7773541	10371561.7679582	13114556.2907069	8220143.25885052	2652195.1065497	11412940.217081	4189342.86380882	4639337.7683086	5598202.82877713	17505997.2679763	10976031.9167016	5094200.52337183	9404787.86866757	7724138.89630059	8465906.85761186	5574748.42231552	4964210.389894	4569468.1035871	6115498.23631068	5456786.32070131	7054648.30350408	2952755.48582914	4816373.4666371	3131892.59439887	6337717.55031542	7841703.35648976	1309828.67168213	1769693.31519962	3260256.06358857	4494974.93836597	1486967.50618184	4254683.05008808	3824452.05983165	1603655.59739103	3085088.87979985	1606954.21563265	2421747.58844878	7036093.35608849	1855519.58835166	1318931.93463213	4010831.2149036	2940200.11085543	7693548.02377495	2002596.73254171	1833400.64514708	3588137.86131115	2788987.61737245	3494669.362372	2845835.64252895	2730554.69631035	1929995.70705302	3368673.97463099	2578120.93392536	5109987.30223558	3627420.06436035	3781260.35149649	2057683.17806165	5594167.82829136	2304911.04106224	1157794.87815946	1776961.1687833	3475552.31509309	8836163.10553757	2263778.88014758	4188289.33428697	4563840.4465718	3608224.7793229	1456788.21324585	2140346.21113651	1816502.91390632	2281088.13360012	1580513.39986819	1641011.40105695	2756111.4383924	3246289.17631634	1389850.47675822	1607938.39322411	1462675.63270879	2885936.05469826	6273104.11151944	6693634.62127591	3101438.29483932	19261713.2690373	9153347.58554029	2528114.38188709	2032140.93634104	2266268.96635112	2569711.24732522	1551616.12878331	1066095.35944397	998892.861715815	1039652.03553243	2733500.0869202	3121844.99453284	4787010.85362374	3124443.57744688	5833618.98733462	2410369.82050706	5091041.6546638	5577910.97576615	1107780.86135568	3260478.54210511	4051846.46280059	8372038.82435484	7408303.32965815	4344553.90529256	1804642.3380686	2713565.63456357	2646091.92847414	2430629.90614994
L-Glutamic acid	1381556.15766558	6579662.4774729	4613222.89530348	6291137.14839829	5335347.73464334	6191130.80647628	2863847.97634779	5255181.553719	3339636.94696108	7276669.69633144	6971048.89960895	5902004.47467481	9346719.01373851	5216741.18978658	7433119.44992929	3590182.0417752	3925126.0063814	2604935.9871509	4814153.4120212	3519736.9671134	4502333.88334472	3231210.48554742	2873264.40668292	2443161.92734272	1728730.16975281	3100411.74404954	3503774.02505936	3295707.57729069	2773040.00468302	2753975.1042514	2467230.98689459	3751145.66650459	5614728.42434871	5249850.08037904	6066042.22212925	4389915.45483815	4679131.0308772	2885838.22819643	2807646.76351165	721889.369851868	9361106.90684798	4584577.11288046	4436363.93582744	11295279.1583617	2322565.44355139	2186529.62541843	2642294.1835784	2039274.86884451	4155458.84065979	2922141.1888518	4108355.08156706	1840824.36404809	4549489.34833628	4127829.21470121	2161282.07582736	4291025.58722113	11407073.1771475	3006847.36191136	10373098.2680033	7328111.00153341	9357902.29383375	3641993.34351309	2918193.29731171	15076670.4076574	2789070.11541309	4073604.57637088	3423360.53902367	2041074.61850158	3819263.0046871	3074488.82028051	3664198.99512217	2172640.03345649	2463368.86267713	3384924.72778087	2155364.12184883	3141929.60955853	3379609.05854575	4782826.71152587	5138376.45795444	3327704.06417168	3904586.43473892	5177221.59786423	3523988.08099889	2287696.48645996	2582801.39262274	3204194.59192382	3302417.02805232	2813389.16114762	2655434.23758149	2455868.69102626	2862135.60083746	3724094.18178522	3851971.7333446	3382922.70397549	3328180.11027879	3979426.85726342	3517631.57379162	3471628.52696546	3865735.53888934	2779564.56483493	3861885.3954417	3847137.90821618	4734023.61359565	3661020.48278372	4544014.12652766	5397017.71707913	4477989.80309637	3846286.57761951	3446288.60895411	3318750.80475557	3687177.28819695
L-Glutamine	6131800.40287357	4834274.62140835	2365733.77533402	3905944.22867883	1807677.56554778	2521346.48738621	2814809.89332328	4731847.64376912	4607026.10758045	2366536.80772696	2091710.14889406	2897335.4961096	2423525.84167635	3448115.68622428	4063216.65975771	1979378.35610572	2074806.58696884	1010430.7083012	1720820.35740402	3391913.35008854	2940182.36025341	2186200.79070556	2274727.70754603	2842413.74633187	5359723.34001028	3235553.65825539	5400479.28799967	1989845.92152973	3183535.0979939	4583481.83542189	5022086.28037474	2214284.54669907	4540931.45628795	4411529.42999696	1771454.26427527	1928151.18701727	1581252.12172164	2238813.86792341	2755939.02416544	5309416.43647505	3842208.77238422	2828547.51090107	1413488.08895877	11489500.2626384	2690426.83294109	4115162.25538226	4583532.71278363	3755052.53522997	3755798.51745883	3482730.39422694	3124975.50600726	3192489.57284524	2197337.42486797	2661899.98593064	5191532.22656337	4785194.16952418	4487310.611545	2650241.11580469	2774582.49327244	2007359.81734357	3584689.7201903	4866411.6435795	2029362.7066742	5894027.37675744	2335004.23103788	2301847.09406418	2795464.13005243	3670542.01900543	981553.949570609	1061660.22008	755739.02640458	1756387.70453029	696247.698738738	2043721.78411969	1289146.96897271	4046020.17537444	1460965.62404458	2573153.82949376	2368072.03654067	2012631.21850405	4836005.50118912	4314340.87904375	3523615.9929317	4335321.87858008	3690118.88350518	2594471.97911278	2854240.37730095	2224671.58931255	4907294.05445122	3000452.17772532	1687824.84987286	547171.752822432	535089.168006037	1217745.94343146	4052035.96170503	2289319.03642151	2901841.03145967	2943970.32212445	2913995.40603783	4262581.85247963	2238992.76258654	1993521.06009176	2380836.77323979	2121878.39112969	4911478.1329123	3524195.07536314	2562744.29237127	1595869.14455961	2121663.49265467	3049044.86297741	1275949.13581939
L-Histidine	1469161.1892466	1136767.90447393	937398.456768025	1310019.9343662	592740.56020986	1498989.03551748	890392.01063784	1153987.96646739	1057207.85062152	1512668.31071538	1470687.91361005	2295184.62508437	3570063.18342411	1363518.78188752	2313838.5337266	1704796.46718169	1148154.47090934	1387882.84674197	1720011.84421104	1095285.53024539	1153160.71332077	700412.756118725	2180937.71822752	1469482.01557195	1593757.90570619	2108073.90686518	1497185.20650568	2193635.92114808	1588659.79081663	1837832.23825312	1046109.41857046	2933341.74873409	1629015.34611861	5321997.30210937	4525468.117995	2254002.6025628	2316102.61555469	642448.67857168	497474.483524184	527305.472576628	10672120.9794519	1390187.96673524	672159.00908077	1810763.67125376	1195881.4306336	1030444.30921351	941606.179279076	867454.16350267	909643.603261943	963102.174716621	1057888.27271522	756319.960365401	1218964.4166367	815972.799562368	1163372.60271581	2285500.48391235	2438913.00321729	944387.492463253	3274419.082784	3180941.87698502	11381189.2410417	676442.353219579	578041.863563818	809289.259654231	704159.710608518	1515340.65951002	775593.277699405	1372458.09680811	907349.415965754	1246193.70437996	1448084.78853015	1204375.59771752	1024546.60853901	2125533.96878918	2193651.07045298	2479508.60796649	2283808.69348441	2460825.34478016	2761240.46835575	2033926.72015983	2450148.99370532	3033100.41100714	3150232.79623692	929033.709911488	941427.799017327	437285.903205094	668741.07557626	759793.847812488	1092978.36770028	860444.959111426	448646.629305754	585351.546441363	630815.78129374	713026.287825621	1262135.05750073	1448424.9660013	1307679.29662073	1670604.02128958	1070038.81325308	2074787.13689484	1510726.84550312	815474.126088151	778742.568339899	1287748.52862478	1548295.39584059	4293749.97462522	1399225.99728665	1554722.19345636	3617492.07633915	1291594.17704219	1208463.33025644
