genome,D300420,D300430,D300462,D300449,D300492,D300446,D300419,D300432,D300444,D300482,D300501,D300431,D300463,D300452,D300479,D300445,classification
D300430:bin_000010,74.14526511226195,235.59009578468735,27.2586506441292,14.326218400816233,0.0,0.0,6.289781167342973,0.0,0.0,0.0,0.0,1.486501976271415,3.0900607975859566,18.025854468319345,6.244747769655587,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas timonensis
D300432:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.56992405458168,2.7261146132235683,181.5014826689257,32.53425306863636,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Fimicola;s__Fimicola sp944379995
D300435:bin_000001,31.738839571566512,1.4656790457117763,22.71048291867762,43.19422260597114,17.551851278614546,48.52762324376603,6.106308575505,0.0,0.0,0.0,0.0,30.19007748917171,94.60294165017446,54.098900632688135,51.83786355211998,49.22846695887802,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum merdipullorum
D300442:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02231361080393,5.310613390680739,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Tyzzerella;s__Tyzzerella sp944383305
D300444:bin_000010,30.89560667022699,9.53740715124576,36.44950678691719,28.558613375223405,61.98144463218824,33.19428167988864,32.52335992735941,76.96666137204163,60.34402972660974,38.637166641861135,33.80685833209306,46.54813376974384,43.24474112410309,59.3867761111521,29.41366926270053,13.77446210570156,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster excrementigallinarum
D300452:bin_000016,52.08657695458204,35.79786739154621,129.85710391277502,114.51407327694176,41.22812039888327,89.12039823265069,52.093701264353534,0.0,0.0,0.0,32.56112104755331,61.93643944564412,81.28603225392992,48.96677989656413,58.30268362013831,118.13855774041618,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp904392525
D300462:bin_000001,257.0527147377554,19.76616593797316,190.2767794865688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium
D300472:bin_000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.19040410752082,25.75388903833679,76.32204378819503,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__Borkfalkia sp904373255
D300479:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.985500679888933,26.718708247070765,20.285532756436037,6.424602866088397,6.529945747900994,3.091396534600194,0.0,37.91440144287826,3.4779369477028714,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
D300479:bin_000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.944463730055832,0.0,0.0,21.699172294602043,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381;g__Ornithomonoglobus;s__Ornithomonoglobus merdipullorum
D300481:bin_000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.27302532804725,124.62765730305472,137.5151916091481,0.0,92.59854296115896,54.3790300551541,5.241486429055101,117.5847832437822,262.19429534318294,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__Merdivicinus intestinigallinarum
D300482:bin_000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290187880802504,0.0,85.85037037525504,9.317396291781304,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp900761655
