treatment	TG3	TG3	TG5	TG4	TG2	TG4	TG3	TG1	TG1	TG5	TG3	TG5	TG1	TG2	TG3	TG1	TG4	TG4	TG2	TG5	TG5	TG4	TG2	TG1	TG2
day	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
salmonella	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes
synbiotic_water	No	No	No	No	Yes	No	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	Yes	Yes	Yes
synbiotic_feed	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No
L-Tyrosine	 3199054.37	 1110661.51	 1546472.77	  632785.72	  814685.07	  923467.44	  656204.24	 3189859.34	 4255809.69	 1588435.764	  828704.9	 2283037.82	 5099280.10	  974864.40	 2544805.23	 5214644.22	  573342.87	  428142.43	 1470215.38	 5251982.40	 1157299.323	  945328.50	  792102.60	 4757633.96	  978882.06
L-Phenylalanine	 5060518.38	 1871747.41	 2574471.48	  681458.31	  716413.97	  968064.80	  753097.48	 7882331.11	13487627.11	 2637413.561	 2019043.5	 2274354.52	14245490.22	 1684092.91	 4139621.78	13175244.21	  926076.79	  608551.39	 1909468.08	11604854.48	 2325329.262	 1339175.85	 1150153.27	16225612.85	 1421902.03
L-Tryptophan	 1002834.33	  737592.62	 1378426.93	  584057.22	  753847.03	  899659.13	  595405.47	 1082314.13	 1431215.61	 1130461.241	  943710.8	  978629.01	 1470704.78	  726538.08	  874416.98	 1389787.65	 1153875.92	  527565.27	 1200992.41	  908265.00	 1266711.507	  920573.98	  553500.89	  993144.96	  966851.36
L-Aspartic Acid	 1688896.59	 1381482.12	 1111258.48	  761322.92	 1005058.86	  917199.67	  637805.73	 1064627.94	 1327979.30	 1202762.846	  690798.1	 1118623.04	 1954659.74	  527487.49	 1434982.85	 1689467.76	  481365.62	  420826.77	  951064.05	 1213160.58	  968274.477	  807637.13	  920048.29	 1254822.24	  971768.20
L-Arginine	10139930.80	 7574636.19	 8009678.27	 6914113.68	 8281958.36	 9796903.56	 4885399.09	 7789545.39	 8727182.26	 7219520.051	 7898685.3	 7393321.76	12325874.76	 6362504.52	13496618.35	10983682.03	 5466990.97	 5262362.99	 4689225.96	 7152918.92	 6115570.545	 8146033.45	 4035548.79	11203716.99	 9878629.68
