treatment	TG2	TG1	TG1	TG4	TG3	TG3	TG5	TG2	TG2	TG4	TG1	TG4	TG5	TG3	TG2	TG3
day	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes
synbiotic_water	Yes	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No
synbiotic_feed	No	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	Yes
L-Tyrosine	 1096362.7	 1994692.434	 1415201.54	 1070405.430	 2330699.729	  979775.98	  672153.31	 3399992.63	  647789.53	  471502.748	 1615632.22	  601438.7	  374898.276	  979970.340	 5420918.31	 4331901.22
L-Phenylalanine	 3482310.9	 2050994.732	 2673541.36	 1647480.638	 3153075.023	 1977082.75	 2686876.17	11510642.75	 1338805.67	  955339.135	 2356668.23	 1862486.1	  480322.134	 1975836.277	21447506.64	10365258.15
L-Tryptophan	 1014373.7	 1712794.662	 1140742.65	  732086.452	  800717.607	  730805.38	  836231.78	  898179.42	  169438.68	  731037.558	 1000530.39	  946341.8	  734133.771	  747443.240	  791227.79	 1235323.33
L-Aspartic Acid	 1940835.7	  854494.104	  550323.55	  866244.710	  608045.156	 1039527.78	  689361.41	  828336.53	 1570898.95	  492425.260	  930715.38	  734443.7	  454350.239	  615821.399	 1210625.79	  661653.27
L-Arginine	12667652.7	 9259658.693	 3743620.94	 5969634.940	 4654466.829	 7104520.85	 3625572.80	 5680846.58	 6658185.95	 4785876.081	 7317095.67	 4670954.2	 2876824.215	 5751465.174	 8034442.81	 7611270.03
L-Leucine	 7693548.0	 4569468.104	 6115498.24	 2266268.966	 2263778.880	 4188289.33	 3121844.99	 2940200.11	 1318931.93	 1551616.129	 5456786.32	 2569711.2	 1039652.036	 4563840.447	 4010831.21	 3608224.78
L-Glutamic acid	11295279.2	 4814153.412	 3519736.97	 2813389.161	 2789070.115	 4073604.58	 3328180.11	 4436363.94	 9361106.91	 2455868.691	 4502333.88	 2655434.2	 3851971.733	 3423360.539	 4584577.11	 2041074.62
L-Glutamine	11489500.3	 1720820.357	 3391913.35	 2224671.589	 2335004.231	 2301847.09	 4052035.96	 1413488.09	 3842208.77	 3000452.178	 2940182.36	 4907294.1	  535089.168	 2795464.130	 2828547.51	 3670542.02
L-Histidine	 1810763.7	 1720011.844	 1095285.53	  759793.848	  704159.711	 1515340.66	 1262135.06	  672159.01	10672120.98	  860444.959	 1153160.71	 1092978.4	  630815.781	  775593.278	 1390187.97	 1372458.10
L-Lysine	 8679990.6	10120788.224	 4937873.65	11376053.950	 9695876.359	10165768.35	 6604626.36	 9474281.08	 2520643.02	 7033395.641	 6302194.08	 6815216.3	 8810684.046	 8678762.079	 7729221.01	11047335.89
L-Methionine	  822142.0	  393533.328	  445691.45	  161097.585	  565765.530	  690859.52	  371094.91	  342704.59	   77028.96	  262443.285	  502232.70	  289656.4	  172707.141	  576311.020	  413245.80	  564332.46
L-Proline	12733222.8	55449064.276	43824164.78	16511455.147	14772594.152	19360819.30	37007977.06	14892315.59	 6422410.73	34379107.795	73416065.87	22301685.7	41342302.180	22038464.246	19140539.44	14285254.26
L-Threonine	 3328690.8	 1045676.886	 1168939.41	  586347.481	  986059.626	 1077074.68	  905242.47	  857313.34	  641073.39	  807365.540	 1347135.61	 1171925.5	  722718.769	 1355080.636	  879222.24	 1395931.04
Thiamine	 2558111.3	  250806.675	  806185.89	  704475.402	  885715.153	  783712.07	 2424759.57	  735940.21	 1147837.92	  437365.306	 1314499.49	  713251.3	  996705.197	 1539648.529	  911624.24	 1493021.98
Adenine	 2056875.6	  316995.745	  414925.22	  332391.182	  634687.277	  444230.38	  238893.09	  204318.75	 3181672.35	  823355.060	  274027.47	  577711.3	  382810.859	  483341.694	  368741.91	  475723.46
Guanosine	  967714.6	   55958.081	   82569.51	  129476.273	   51184.173	  117450.57	  100748.33	  105525.84	   11603.67	   59848.006	   58280.09	  166498.7	  116434.495	   51641.508	  211199.77	  140751.40
L-Valine	10722183.9	 2348695.927	 2920771.76	 2110583.284	 3091511.953	 3550724.87	 2736470.88	 2758140.86	33257273.05	 1721459.306	 1401004.21	 2780372.3	  682533.647	 2489983.345	 2062105.87	 2046428.94
L-Alanine	  132896.5	   24402.560	   51237.86	   18196.969	   13172.022	   20582.65	   38369.89	   13233.05	       0.00	    8748.643	   41124.32	   33014.4	   10863.230	   27426.806	   32326.94	   29626.14
L-Asparagine	  121933.9	    5713.094	   12323.40	    9066.727	    5028.906	   20080.96	   21818.21	   14671.57	   73668.33	   19845.056	   10862.79	   24799.4	    3990.327	    7716.641	   57429.98	   12634.52
L-Isoleucine	 1954799.4	 1337172.145	 3141086.28	  367241.443	  811978.148	 1357139.45	 1351946.62	  869137.17	  207012.15	  550869.280	 1378368.73	  911458.4	  572549.737	 1116254.506	  878483.85	  922627.82
L-Serine	 1274681.6	  532081.335	 1170196.88	  245467.260	   88185.106	  293325.73	  605905.43	  191138.07	 1174818.29	  120833.614	  930232.01	  448100.0	   70086.302	  275467.718	  567339.33	  266796.46
Lactic acid	 6066024.5	 1869943.651	 6836228.61	 5099613.228	 5648544.038	 2261530.13	 1401376.36	  914565.00	 4895349.79	  389927.793	 2281389.56	 5189663.0	  190431.879	 7595268.578	11695614.92	 5487775.79
Sulfoacetic acid	  170896.7	 1757385.433	 1125110.82	 1129830.985	 1552201.758	 1258210.98	 1043875.78	 1736747.56	  135113.83	  891178.362	 1392750.13	 1031925.1	 1477782.312	 1492323.055	 1416473.43	 1300065.90
