sample	D300476	D300487	D300459	D300506	D300473	D300486	D300528	D300494	D300423	D300441	D300435	D300457	D300522	D300429	D300472	D300471	D300470	D300433	D300436	D300442
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G101	G103	G104	G075	G076	G077	G079	G050	G051	G052	G053	G054	G026	G027	G028	G029	G002	G004	G006	G108
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5
day	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
L-Tyrosine	3629058.29040558	1522819.76382284	1906259.5702671	881282.863491913	2465049.3907899	1177923.47876821	265559.604587513	1961502.89105271	532863.313399842	4424738.87183937	3078266.29712778	1454378.45637801	2938962.83675836	4103839.65416823	368581.656932176	462266.471920656	359246.998160812	376374.231336048	526227.279512977	1699028.73344156
L-Phenylalanine	7310025.60177609	2216250.80663464	1816818.5980672	1079236.07884678	9746621.61352549	2940726.32576084	765026.569402659	2386788.84815697	1260059.08268591	9801878.95347431	4774521.23986172	6741073.34729636	21991965.2249056	26192959.1192468	798089.409740587	727284.939808773	555864.684311891	817680.78941111	1753630.50505713	1873840.00900255
L-Tryptophan	2763316.13630342	1606673.24901231	1088099.02812471	541107.197307822	760897.758845948	1028292.8139725	434022.43457541	660873.92568649	185741.677640595	602887.573190743	1164654.27761129	1005799.71543175	1782147.95886323	1367088.02217881	485479.097576841	470066.763120062	650422.519583101	838408.858547822	676495.749508391	841761.606325392
L-Aspartic Acid	1114128.06196368	688805.217377429	642109.21135439	647521.834969359	963523.738032352	304606.311097101	359043.435788478	705707.317802773	1347202.36203054	696680.183668496	536010.624578417	447217.295723642	1276834.57078396	1282400.23495853	271420.660586165	412218.584126053	458010.022971917	612477.29475459	368827.754169552	760435.669741884
L-Arginine	8905533.92431001	6612732.79622935	11619406.217525	5550689.5501145	4767501.187372	5866269.36629796	4013268.88164862	10495910.6585697	6227694.77830623	5551596.86484064	7882565.35474656	7634323.95751545	5267436.90018537	9197593.04964489	3794594.4721176	4981799.5932525	2771855.43290166	4477350.14516451	2226143.07367082	6753825.66944873
L-Leucine	8465906.85761186	5574748.42231552	4964210.389894	1606954.21563265	2421747.58844878	7036093.35608849	1855519.58835166	2304911.04106224	1157794.87815946	1776961.1687833	3475552.31509309	8836163.10553757	19261713.2690373	9153347.58554029	2528114.38188709	2032140.93634104	1066095.35944397	998892.861715815	2733500.0869202	4787010.85362374
L-Glutamic acid	3590182.0417752	3925126.0063814	2604935.9871509	4679131.0308772	2885838.22819643	2807646.76351165	721889.369851868	7328111.00153341	9357902.29383375	3641993.34351309	2918193.29731171	15076670.4076574	2287696.48645996	2582801.39262274	3204194.59192382	3302417.02805232	2862135.60083746	3724094.18178522	3382922.70397549	3979426.85726342
L-Glutamine	1979378.35610572	2074806.58696884	1010430.7083012	1581252.12172164	2238813.86792341	2755939.02416544	5309416.43647505	2007359.81734357	3584689.7201903	4866411.6435795	2029362.7066742	5894027.37675744	4335321.87858008	3690118.88350518	2594471.97911278	2854240.37730095	1687824.84987286	547171.752822432	1217745.94343146	2289319.03642151
L-Histidine	1704796.46718169	1148154.47090934	1387882.84674197	2316102.61555469	642448.67857168	497474.483524184	527305.472576628	3180941.87698502	11381189.2410417	676442.353219579	578041.863563818	809289.259654231	929033.709911488	941427.799017327	437285.903205094	668741.07557626	448646.629305754	585351.546441363	713026.287825621	1448424.9660013
L-Lysine	9588120.42553107	7449655.69409057	15144277.1991046	10582409.0757282	7695188.40791785	8776605.14171928	7596704.00265616	10670596.1898635	2614297.31277052	8967607.83229639	11470711.4250362	10792507.4710888	7039952.98119514	9535028.13843947	8060503.06848241	7922343.25166135	5570949.42486609	8349086.81014818	7599441.52195719	8729426.96995282
L-Methionine	668503.040057962	469353.052013496	492964.49800294	211412.100163845	392809.770978289	1089873.13232229	307080.898518374	344949.554034678	54955.9929232345	383293.257311881	593821.71314133	1197546.75979863	658177.663928995	827338.529498647	307520.609856946	368274.506807276	239372.549154605	197114.760398641	277737.465354941	334112.975849729
L-Proline	80577035.9264678	45186243.9890518	28161809.7471978	27324742.468153	37286816.2311277	54599102.2868532	53102694.3227775	16530238.3398971	6900413.81959614	23359216.3584426	21182647.5015199	22259357.5640635	30786392.0364292	49080867.7588116	61419402.2889256	54527491.8937863	69936914.9362503	122048336.33707	38666560.8759664	14460317.3729259
