sample	D300454	D300525	D300468	D300451	D300498	D300519	D300504	D300527	D300439	D300475	D300456	D300425	D300424	D300450	D300481	D300502	D300438	D300448	D300518	D300500	D300507	D300434	D300460	D300513	D300455
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G095	G096	G097	G098	G099	G070	G071	G072	G073	G074	G045	G046	G047	G048	G049	G019	G020	G021	G023	G024	G110	G111	G112	G113	G114
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5
day	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
L-Tyrosine	4255809.69393704	4757633.96134022	5099280.10167263	3189859.33885665	5214644.21535083	792102.599615176	1470215.37798913	978882.06366507	814685.068191438	974864.39653066	828704.902526643	1110661.51349336	3199054.36948259	656204.241988148	2544805.22503206	428142.431672516	632785.722057302	923467.435880421	945328.496618071	573342.874455709	5251982.40456656	1546472.7662768	2283037.82119031	1157299.32251682	1588435.76397552
L-Phenylalanine	13487627.1145673	16225612.8451383	14245490.2242886	7882331.11051679	13175244.2082315	1150153.2691087	1909468.07877767	1421902.03392616	716413.966982705	1684092.9102333	2019043.54963826	1871747.41076342	5060518.38129713	753097.476398554	4139621.78482747	608551.385326433	681458.30512943	968064.798713094	1339175.85071551	926076.792379052	11604854.4804119	2574471.47946549	2274354.51741646	2325329.26244287	2637413.5609966
L-Tryptophan	1431215.60654963	993144.959102352	1470704.7827455	1082314.13478378	1389787.65261727	553500.891693984	1200992.40749429	966851.355606281	753847.02845627	726538.080354775	943710.799643757	737592.617557651	1002834.32710448	595405.465835309	874416.979500298	527565.273119213	584057.223898694	899659.133867964	920573.975237931	1153875.91526452	908265.001409171	1378426.9330873	978629.013763349	1266711.5071647	1130461.24050191
L-Aspartic Acid	1327979.30146094	1254822.24499253	1954659.7376698	1064627.93646547	1689467.76257	920048.288727338	951064.048979147	971768.201765695	1005058.8642132	527487.486710054	690798.064903636	1381482.12129061	1688896.58805782	637805.728990336	1434982.84525233	420826.77250661	761322.917644897	917199.670890345	807637.134648214	481365.615752152	1213160.57500868	1111258.48459751	1118623.03605285	968274.476717378	1202762.84638572
L-Arginine	8727182.25624892	11203716.9908897	12325874.7636285	7789545.39357294	10983682.0334478	4035548.7897233	4689225.95517544	9878629.67545339	8281958.35750022	6362504.52453016	7898685.27792605	7574636.19093601	10139930.796488	4885399.08654328	13496618.3452745	5262362.99384756	6914113.68114786	9796903.56441032	8146033.44955926	5466990.96836613	7152918.91657098	8009678.26641639	7393321.75796353	6115570.54488444	7219520.05059528
L-Leucine	17505997.2679763	10976031.9167016	5094200.52337183	9404787.86866757	7724138.89630059	1486967.50618184	4254683.05008808	3824452.05983165	1603655.59739103	3085088.87979985	5109987.30223558	3627420.06436035	3781260.35149649	2057683.17806165	5594167.82829136	1462675.63270879	2885936.05469826	6273104.11151944	6693634.62127591	3101438.29483932	3124443.57744688	5833618.98733462	2410369.82050706	5091041.6546638	5577910.97576615
L-Glutamic acid	6971048.89960895	5902004.47467481	9346719.01373851	5216741.18978658	7433119.44992929	3751145.66650459	5614728.42434871	5249850.08037904	6066042.22212925	4389915.45483815	2161282.07582736	4291025.58722113	11407073.1771475	3006847.36191136	10373098.2680033	5138376.45795444	3327704.06417168	3904586.43473892	5177221.59786423	3523988.08099889	3517631.57379162	3471628.52696546	3865735.53888934	2779564.56483493	3861885.3954417
