genome,D300512,D300484,D300495,D300478,D300458,D300427,D300490,D300496,D300467,D300418,D300519,D300504,D300527,D300439,D300475,D300506,D300473,D300486,D300528,D300449,D300492,D300446,D300419
D300418:bin_000001,17.836743650043886,26.104081660000134,83.37696729713976,27.945669433780225,23.79994036970781,35.40540223647096,28.03553362411476,83.03216685761761,49.14273079938092,127.43638318827765,44.42440017956088,34.88573094008161,36.62924698331022,122.7311176324764,92.80039597194026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300418:bin_000013,0.0,0.0,0.7121258365469195,0.0,0.0,0.0,0.0,0.0,0.0,23.22083209733865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300428:bin_000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300430:bin_000010,0.0,0.0,0.0,0.0,0.0,1.218850650393555,8.18138379650702,2.7994679294899947,2.5550580352709966,5.870235839720423,0.0,3.7412707181952256,1.9289388645386067,9.403683175469313,7.696862423386578,4.24943337556221,0.0,2.860545412258014,0.0,14.326218400816233,0.0,0.0,6.289781167342973
D300432:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300435:bin_000001,5.595259513695149,3.993937098873921,4.420194323955491,14.853302462321942,17.090416342256546,4.419192613584136,11.80710122302944,7.228224191423317,11.612415866149496,11.70899253077608,8.73008265878288,10.186333842176014,1.7129836591576364,21.44155157472799,7.428035948439022,0.0,9.760489086070884,4.880097232686714,13.430284493602018,43.19422260597114,17.551851278614546,48.52762324376603,6.106308575505
D300442:bin_000001,0.0,0.0,0.0,0.0,1.8941154236669515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300442:bin_000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300443:bin_000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300443:bin_000003,2.591734852680021,0.0,2.416834148064695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300444:bin_000010,7.378919846464211,6.286403152761605,15.828688029436448,17.971322726573472,17.028139472930498,16.509834244884328,11.646976498118324,13.205738081152845,57.86272142059376,16.554437291836813,17.35049146210445,10.673119855719383,12.739821500263272,38.22190336350436,29.04089847702404,21.501107493812167,26.43741252925072,11.840397071863904,18.981574704866343,28.558613375223405,61.98144463218824,33.19428167988864,32.52335992735941
