genome,D300453,D300465,D300422,D300437,D300523,D300426,D300440,D300485,D300447,D300461,D300456,D300425,D300424,D300450,D300481,D300494,D300423,D300441,D300435,D300457,D300432,D300444,D300482,D300501
D300418:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300418:bin_000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300428:bin_000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300430:bin_000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.439369352498712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300432:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4095282182895057,0.0,0.9506145500817982,2.719675225924115,5.865745214193698,119.56992405458168,2.7261146132235683,181.5014826689257,32.53425306863636
D300435:bin_000001,27.46359863076013,41.67892943480752,22.929857490004505,13.905095209624593,34.742438658006655,48.34207112850727,38.81627689003106,28.955381070266647,18.46010796473665,31.296024663287827,32.859989173671444,18.791497325236897,19.83622231842134,32.56112593817051,35.70985518017824,72.61775596449782,88.24915168880513,66.72051023590869,69.955386569853,48.62655687397227,0.0,0.0,0.0,0.0
D300442:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300442:bin_000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300443:bin_000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.154644693486668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300443:bin_000003,4.885896833050087,2.777108117397697,0.0,0.0,4.974466048616548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300444:bin_000010,25.252547360837863,33.03570870223737,11.95821290145869,15.24453350809765,25.170751657488623,36.04019996172862,25.478798778817666,16.01530792830494,18.974867832401355,25.242229095507117,20.642440213469275,11.405669792996836,16.867971854273573,17.58330904893109,36.760274178197065,47.35675746323258,37.60806037873662,44.72362995323637,41.55568799066478,32.69332989808055,76.96666137204163,60.34402972660974,38.637166641861135,33.80685833209306
D300452:bin_000016,51.8134133511517,46.32658876987568,32.10497003560854,28.70137170614532,96.42710985295297,109.66996553655812,116.92960466261675,105.5867275735512,113.08817032760764,115.62702709384766,145.0561193917206,74.80011268771256,101.87496218260225,103.83658720187692,110.77416848895017,46.41920479690512,40.835209835321095,79.49012063180591,87.45278924860328,63.79279384199387,0.0,0.0,0.0,32.56112104755331
D300458:bin_000001,380.76536799915385,150.89957516638546,348.40361349896745,277.7070948343232,313.2517896513941,198.4033824437021,48.08683673018804,136.42419384817924,150.27811352104607,124.37281331864163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300462:bin_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300472:bin_000003,11.12949658584182,7.462451065762528,2.44292393643143,1.5850233383492904,7.359129035944031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300474:bin_000012,2.024507504102252,0.0,2.6701167824972387,2.493954884764103,3.234165911201429,0.0,0.0,0.0,3.427933966709147,3.191730556565258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300475:bin_000015,0.0,0.0,1.8879549321818343,3.678664712808735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300479:bin_000001,2.3802548515133903,1.217930532393451,1.716841834819684,0.7781008315703246,2.0539545027903507,4.659414518061465,1.353084522988793,0.9178114424200235,1.9296128314426364,7.941648487382281,1.1483455349497922,1.3221149514295174,3.3583835891648204,1.5693309079413396,1.8213351772628252,5.521310823800901,2.808345462867664,2.288736292167401,0.9022880412145016,2.67334593397586,8.985500679888933,26.718708247070765,20.285532756436037,6.424602866088397
D300479:bin_000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D300481:bin_000002,69.41475787303237,38.31437361767372,25.39288060022192,32.2627584098647,32.66726359890492,117.60618536576108,36.391181986835406,46.5897252191218,49.7327869663619,88.87274362664125,51.88382731622474,28.02290145669993,29.87166860635753,17.282086406958214,114.73291236280104,91.23836439662962,120.47574731194092,110.99613236712553,56.8747919944202,108.64881269906684,50.27302532804725,124.62765730305472,137.5151916091481,0.0
D300482:bin_000009,3.9203455656731543,4.794031312767688,3.860142538946128,3.177137177474686,3.372313681598676,5.259424538795658,5.156058774460009,4.456192968610199,3.885275841366149,7.725275769428253,6.656728246504793,6.596435297407748,4.996941140713222,6.13185137270994,8.450634567178156,14.574842538436569,0.0,14.196718972511032,72.85933053994486,2.349311839089314,2.290187880802504,0.0,85.85037037525504,9.317396291781304
