treatment	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1
day	7	28	35	7	21	21	14	7	28	21	14	35	28	14	21	35	28	28	35	21	35
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_water	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_feed	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
L-Tyrosine	 1994692.434	 1910604.44	 3080580.61	 1415201.54	 3189859.34	 4255809.69	 1906259.570	 1615632.22	 1915255.03	 5099280.10	 3629058.290	 3761603.59	 2946196.44	 1522819.764	 5214644.22	 3892372.05	 1709515.04	 4441167.00	 5205201.00	 4757633.96	 1330194.07
L-Phenylalanine	 2050994.732	 2377164.47	 8482253.89	 2673541.36	 7882331.11	13487627.11	 1816818.598	 2356668.23	 3600457.70	14245490.22	 7310025.602	13124521.90	 6492338.74	 2216250.807	13175244.21	12038492.03	 7132264.92	13417966.52	18075241.51	16225612.85	 3950385.79
L-Tryptophan	 1712794.662	 1179691.31	 1949337.14	 1140742.65	 1082314.13	 1431215.61	 1088099.028	 1000530.39	 1061073.47	 1470704.78	 2763316.136	 2319915.72	 1029570.58	 1606673.249	 1389787.65	 1324227.42	  616716.16	 1145962.74	 1337547.75	  993144.96	 1518710.29
L-Aspartic Acid	  854494.104	 1103257.27	 1218806.07	  550323.55	 1064627.94	 1327979.30	  642109.211	  930715.38	 1010656.56	 1954659.74	 1114128.062	 1069136.06	  912309.21	  688805.217	 1689467.76	  552881.75	  846429.01	 1334918.49	  553254.89	 1254822.24	  886590.00
L-Arginine	 9259658.693	10532432.13	 9756206.15	 3743620.94	 7789545.39	 8727182.26	11619406.218	 7317095.67	 7165322.36	12325874.76	 8905533.924	10578106.62	 9494966.64	 6612732.796	10983682.03	 4797242.02	 5732182.03	10124691.27	 8342693.94	11203716.99	 9935035.26
L-Leucine	 4569468.104	 5598202.83	13114556.29	 6115498.24	 9404787.87	17505997.27	 4964210.390	 5456786.32	 4639337.77	 5094200.52	 8465906.858	16552899.78	 4189342.86	 5574748.422	 7724138.90	 8220143.26	11412940.22	 2652195.11	10371561.77	10976031.92	 9968502.45
L-Glutamic acid	 4814153.412	 7276669.70	 6291137.15	 3519736.97	 5216741.19	 6971048.90	 2604935.987	 4502333.88	 3339636.95	 9346719.01	 3590182.042	 6579662.48	 5255181.55	 3925126.006	 7433119.45	 5335347.73	 2863847.98	 6191130.81	 4613222.90	 5902004.47	 1381556.16
L-Glutamine	 1720820.357	 2366536.81	 3905944.23	 3391913.35	 3448115.69	 2091710.15	 1010430.708	 2940182.36	 4607026.11	 2423525.84	 1979378.356	 4834274.62	 4731847.64	 2074806.587	 4063216.66	 1807677.57	 2814809.89	 2521346.49	 2365733.78	 2897335.50	 6131800.40
L-Histidine	 1720011.844	 1512668.31	 1310019.93	 1095285.53	 1363518.78	 1470687.91	 1387882.847	 1153160.71	 1057207.85	 3570063.18	 1704796.467	 1136767.90	 1153987.97	 1148154.471	 2313838.53	  592740.56	  890392.01	 1498989.04	  937398.46	 2295184.63	 1469161.19
L-Lysine	10120788.224	10384546.42	10451011.15	 4937873.65	 9078705.95	 9836003.24	15144277.199	 6302194.08	 7137298.85	12974873.10	 9588120.426	12572751.25	 7572725.47	 7449655.694	11941639.89	11756933.82	 7481205.91	10536553.92	12772473.33	12189293.07	 8322117.92
L-Methionine	  393533.328	  529186.29	 1461994.77	  445691.45	  372558.21	  354208.89	  492964.498	  502232.70	  425745.97	  127122.90	  668503.040	 2276674.90	  356764.86	  469353.052	  628824.18	 1275313.27	  245642.96	  244766.84	 1475413.07	  373965.02	 1115002.17
L-Proline	55449064.276	15857510.08	25720478.03	43824164.78	16091505.17	16948560.75	28161809.747	73416065.87	15811262.95	17203479.30	80577035.926	28708584.69	12588456.61	45186243.989	18985765.34	21524557.69	12685703.38	17005010.17	19817650.37	16813174.66	17729266.03
L-Threonine	 1045676.886	  950597.38	 1911338.54	 1168939.41	 1268830.79	 1156147.05	  948239.953	 1347135.61	 1327023.39	 1109500.87	 1597393.541	 2057270.14	 1171653.61	  992525.147	 1847447.19	 1122410.48	  973339.53	 1032654.61	 1127103.05	 1278720.18	 2257556.61
Thiamine	  250806.675	  568414.41	 5088619.57	  806185.89	  609706.26	  323857.37	  776722.779	 1314499.49	  856418.33	   84382.03	  317221.806	 5155233.15	  633621.06	  577744.142	 1040233.35	 1825432.15	  268766.51	  245029.18	 3528561.50	  792366.58	 3394150.92
