treatment	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2
day	21	35	35	21	7	14	21	28	28	35	14	14	28	28	14	21	7	7	35	28	35	7	21
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_water	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_feed	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
L-Tyrosine	 1005025.24	 3199054.37	 1110661.51	  805607.77	 4103839.654	 1070405.430	  397442.55	  737906.12	 1208050.32	  656204.24	  471502.748	  536540.63	  828704.9	 1439298.83	  601438.7	  374557.46	  462266.472	  368581.657	 2544805.23	  692634.92	 1961502.89	 2938962.84	  918253.99
L-Phenylalanine	 1623982.28	 5060518.38	 1871747.41	 1415680.08	26192959.119	 1647480.638	 1151120.46	 1066576.89	 2101855.67	  753097.48	  955339.135	 1419908.27	 2019043.5	 2071580.82	 1862486.1	  767847.28	  727284.940	  798089.410	 4139621.78	 1225876.36	 2386788.85	21991965.22	 1553725.38
L-Tryptophan	  795496.87	 1002834.33	  737592.62	  968307.76	 1367088.022	  732086.452	  491432.85	  724290.36	 1102213.26	  595405.47	  731037.558	  875890.78	  943710.8	  679165.31	  946341.8	  531961.90	  470066.763	  485479.098	  874416.98	 1045592.64	  660873.93	 1782147.96	 1137060.10
L-Aspartic Acid	  710156.49	 1688896.59	 1381482.12	  575725.87	 1282400.235	  866244.710	  410067.83	  579965.54	  768397.58	  637805.73	  492425.260	  668459.52	  690798.1	  861621.07	  734443.7	  528177.85	  412218.584	  271420.661	 1434982.85	  463720.70	  705707.32	 1276834.57	  519771.64
L-Arginine	 7303672.97	10139930.80	 7574636.19	 6921887.99	 9197593.050	 5969634.940	 4001578.68	 6445564.44	 8000486.22	 4885399.09	 4785876.081	 5073449.92	 7898685.3	 8722564.51	 4670954.2	 4215411.65	 4981799.593	 3794594.472	13496618.35	 5650550.96	10495910.66	 5267436.90	 7574712.03
L-Leucine	 3588137.86	 3781260.35	 3627420.06	 2845835.64	 9153347.586	 2266268.966	 2788987.62	 2730554.70	 3368673.97	 2057683.18	 1551616.129	 2002596.73	 5109987.3	 2578120.93	 2569711.2	 1833400.65	 2032140.936	 2528114.382	 5594167.83	 1929995.71	 2304911.04	19261713.27	 3494669.36
L-Glutamic acid	 2642294.18	11407073.18	 4291025.59	 2922141.19	 2582801.393	 2813389.161	 2039274.87	 4108355.08	 4549489.35	 3006847.36	 2455868.691	 2322565.44	 2161282.1	 4127829.21	 2655434.2	 2186529.63	 3302417.028	 3204194.592	10373098.27	 1840824.36	 7328111.00	 2287696.49	 4155458.84
L-Glutamine	 4583532.71	 4487310.61	 4785194.17	 3482730.39	 3690118.884	 2224671.589	 3755052.54	 3124975.51	 2197337.42	 2650241.12	 3000452.178	 2690426.83	 5191532.2	 2661899.99	 4907294.1	 4115162.26	 2854240.377	 2594471.979	 2774582.49	 3192489.57	 2007359.82	 4335321.88	 3755798.52
L-Histidine	  941606.18	 2438913.00	 2285500.48	  963102.17	  941427.799	  759793.848	  867454.16	 1057888.27	 1218964.42	  944387.49	  860444.959	 1195881.43	 1163372.6	  815972.80	 1092978.4	 1030444.31	  668741.076	  437285.903	 3274419.08	  756319.96	 3180941.88	  929033.71	  909643.60
L-Lysine	 7124447.33	12115123.49	 9620910.10	 8937125.88	 9535028.138	11376053.950	 6879228.21	 8928741.69	 7828176.21	 7587804.10	 7033395.641	 8363575.65	 8354744.7	 9944967.42	 6815216.3	 6528366.15	 7922343.252	 8060503.068	12864258.73	 7484192.73	10670596.19	 7039952.98	 8028856.06
L-Methionine	  227136.30	  449735.09	  299583.71	  152065.22	  827338.529	  161097.585	  351893.91	  358893.93	  358257.76	  300615.79	  262443.285	  154348.97	  264242.9	  157951.13	  289656.4	  264623.62	  368274.507	  307520.610	  554914.14	  197415.46	  344949.55	  658177.66	  265139.03
