treatment	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3
day	35	14	21	21	28	7	14	35	28	14	7	28	21	35	21	14	28	35	21	7	28	14	7	35
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_water	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_feed	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
L-Tyrosine	 1005025.24	  532863.31	 3199054.37	 1110661.51	  805607.77	 2330699.729	 3078266.297	  397442.55	  737906.12	 4424738.872	  979775.98	 1208050.32	  656204.24	  536540.63	  828704.9	 1454378.456	 1439298.83	  374557.46	 2544805.23	  979970.340	  692634.92	 1961502.89	 4331901.22	  918253.99
L-Phenylalanine	 1623982.28	 1260059.08	 5060518.38	 1871747.41	 1415680.08	 3153075.023	 4774521.240	 1151120.46	 1066576.89	 9801878.953	 1977082.75	 2101855.67	  753097.48	 1419908.27	 2019043.5	 6741073.347	 2071580.82	  767847.28	 4139621.78	 1975836.277	 1225876.36	 2386788.85	10365258.15	 1553725.38
L-Tryptophan	  795496.87	  185741.68	 1002834.33	  737592.62	  968307.76	  800717.607	 1164654.278	  491432.85	  724290.36	  602887.573	  730805.38	 1102213.26	  595405.47	  875890.78	  943710.8	 1005799.715	  679165.31	  531961.90	  874416.98	  747443.240	 1045592.64	  660873.93	 1235323.33	 1137060.10
L-Aspartic Acid	  710156.49	 1347202.36	 1688896.59	 1381482.12	  575725.87	  608045.156	  536010.625	  410067.83	  579965.54	  696680.184	 1039527.78	  768397.58	  637805.73	  668459.52	  690798.1	  447217.296	  861621.07	  528177.85	 1434982.85	  615821.399	  463720.70	  705707.32	  661653.27	  519771.64
L-Arginine	 7303672.97	 6227694.78	10139930.80	 7574636.19	 6921887.99	 4654466.829	 7882565.355	 4001578.68	 6445564.44	 5551596.865	 7104520.85	 8000486.22	 4885399.09	 5073449.92	 7898685.3	 7634323.958	 8722564.51	 4215411.65	13496618.35	 5751465.174	 5650550.96	10495910.66	 7611270.03	 7574712.03
L-Leucine	 3588137.86	 1157794.88	 3781260.35	 3627420.06	 2845835.64	 2263778.880	 3475552.315	 2788987.62	 2730554.70	 1776961.169	 4188289.33	 3368673.97	 2057683.18	 2002596.73	 5109987.3	 8836163.106	 2578120.93	 1833400.65	 5594167.83	 4563840.447	 1929995.71	 2304911.04	 3608224.78	 3494669.36
L-Glutamic acid	 2642294.18	 9357902.29	11407073.18	 4291025.59	 2922141.19	 2789070.115	 2918193.297	 2039274.87	 4108355.08	 3641993.344	 4073604.58	 4549489.35	 3006847.36	 2322565.44	 2161282.1	15076670.408	 4127829.21	 2186529.63	10373098.27	 3423360.539	 1840824.36	 7328111.00	 2041074.62	 4155458.84
L-Glutamine	 4583532.71	 3584689.72	 4487310.61	 4785194.17	 3482730.39	 2335004.231	 2029362.707	 3755052.54	 3124975.51	 4866411.644	 2301847.09	 2197337.42	 2650241.12	 2690426.83	 5191532.2	 5894027.377	 2661899.99	 4115162.26	 2774582.49	 2795464.130	 3192489.57	 2007359.82	 3670542.02	 3755798.52
L-Histidine	  941606.18	11381189.24	 2438913.00	 2285500.48	  963102.17	  704159.711	  578041.864	  867454.16	 1057888.27	  676442.353	 1515340.66	 1218964.42	  944387.49	 1195881.43	 1163372.6	  809289.260	  815972.80	 1030444.31	 3274419.08	  775593.278	  756319.96	 3180941.88	 1372458.10	  909643.60
