treatment	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4
day	14	28	21	14	14	35	35	28	35	7	21	28	7	14	35	21	28	28	21	35	7	21
salmonella	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
synbiotic_water	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_feed	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
L-Tyrosine	 1096362.7	 1910604.44	 3080580.61	 3399992.63	  647789.53	 3189859.34	 4255809.69	 1915255.03	 5099280.10	 2465049.391	 3761603.59	 2946196.44	 1177923.479	 5420918.31	 5214644.22	 3892372.05	 1709515.04	 4441167.00	 5205201.00	 4757633.96	  265559.605	 1330194.07
L-Phenylalanine	 3482310.9	 2377164.47	 8482253.89	11510642.75	 1338805.67	 7882331.11	13487627.11	 3600457.70	14245490.22	 9746621.614	13124521.90	 6492338.74	 2940726.326	21447506.64	13175244.21	12038492.03	 7132264.92	13417966.52	18075241.51	16225612.85	  765026.569	 3950385.79
L-Tryptophan	 1014373.7	 1179691.31	 1949337.14	  898179.42	  169438.68	 1082314.13	 1431215.61	 1061073.47	 1470704.78	  760897.759	 2319915.72	 1029570.58	 1028292.814	  791227.79	 1389787.65	 1324227.42	  616716.16	 1145962.74	 1337547.75	  993144.96	  434022.435	 1518710.29
L-Aspartic Acid	 1940835.7	 1103257.27	 1218806.07	  828336.53	 1570898.95	 1064627.94	 1327979.30	 1010656.56	 1954659.74	  963523.738	 1069136.06	  912309.21	  304606.311	 1210625.79	 1689467.76	  552881.75	  846429.01	 1334918.49	  553254.89	 1254822.24	  359043.436	  886590.00
L-Arginine	12667652.7	10532432.13	 9756206.15	 5680846.58	 6658185.95	 7789545.39	 8727182.26	 7165322.36	12325874.76	 4767501.187	10578106.62	 9494966.64	 5866269.366	 8034442.81	10983682.03	 4797242.02	 5732182.03	10124691.27	 8342693.94	11203716.99	 4013268.882	 9935035.26
L-Leucine	 7693548.0	 5598202.83	13114556.29	 2940200.11	 1318931.93	 9404787.87	17505997.27	 4639337.77	 5094200.52	 2421747.588	16552899.78	 4189342.86	 7036093.356	 4010831.21	 7724138.90	 8220143.26	11412940.22	 2652195.11	10371561.77	10976031.92	 1855519.588	 9968502.45
L-Glutamic acid	11295279.2	 7276669.70	 6291137.15	 4436363.94	 9361106.91	 5216741.19	 6971048.90	 3339636.95	 9346719.01	 2885838.228	 6579662.48	 5255181.55	 2807646.764	 4584577.11	 7433119.45	 5335347.73	 2863847.98	 6191130.81	 4613222.90	 5902004.47	  721889.370	 1381556.16
L-Glutamine	11489500.3	 2366536.81	 3905944.23	 1413488.09	 3842208.77	 3448115.69	 2091710.15	 4607026.11	 2423525.84	 2238813.868	 4834274.62	 4731847.64	 2755939.024	 2828547.51	 4063216.66	 1807677.57	 2814809.89	 2521346.49	 2365733.78	 2897335.50	 5309416.436	 6131800.40
L-Histidine	 1810763.7	 1512668.31	 1310019.93	  672159.01	10672120.98	 1363518.78	 1470687.91	 1057207.85	 3570063.18	  642448.679	 1136767.90	 1153987.97	  497474.484	 1390187.97	 2313838.53	  592740.56	  890392.01	 1498989.04	  937398.46	 2295184.63	  527305.473	 1469161.19
L-Lysine	 8679990.6	10384546.42	10451011.15	 9474281.08	 2520643.02	 9078705.95	 9836003.24	 7137298.85	12974873.10	 7695188.408	12572751.25	 7572725.47	 8776605.142	 7729221.01	11941639.89	11756933.82	 7481205.91	10536553.92	12772473.33	12189293.07	 7596704.003	 8322117.92
L-Methionine	  822142.0	  529186.29	 1461994.77	  342704.59	   77028.96	  372558.21	  354208.89	  425745.97	  127122.90	  392809.771	 2276674.90	  356764.86	 1089873.132	  413245.80	  628824.18	 1275313.27	  245642.96	  244766.84	 1475413.07	  373965.02	  307080.899	 1115002.17
L-Proline	12733222.8	15857510.08	25720478.03	14892315.59	 6422410.73	16091505.17	16948560.75	15811262.95	17203479.30	37286816.231	28708584.69	12588456.61	54599102.287	19140539.44	18985765.34	21524557.69	12685703.38	17005010.17	19817650.37	16813174.66	53102694.323	17729266.03
L-Threonine	 3328690.8	  950597.38	 1911338.54	  857313.34	  641073.39	 1268830.79	 1156147.05	 1327023.39	 1109500.87	 1099022.294	 2057270.14	 1171653.61	 1372989.354	  879222.24	 1847447.19	 1122410.48	  973339.53	 1032654.61	 1127103.05	 1278720.18	 1560454.438	 2257556.61
Thiamine	 2558111.3	  568414.41	 5088619.57	  735940.21	 1147837.92	  609706.26	  323857.37	  856418.33	   84382.03	  635443.616	 5155233.15	  633621.06	 2234744.503	  911624.24	 1040233.35	 1825432.15	  268766.51	  245029.18	 3528561.50	  792366.58	 1750140.829	 3394150.92
Adenine	 2056875.6	  512026.93	  408014.54	  204318.75	 3181672.35	  672890.40	  430732.54	 2302015.15	  502619.81	  603557.010	  204119.36	  733586.38	  705863.657	  368741.91	 2705180.35	  171948.10	 2103120.72	 1315236.52	  180568.73	  748530.17	 1419618.490	 1405613.27
Guanosine	  967714.6	  230203.71	   90244.52	  105525.84	   11603.67	  161813.29	  128707.92	  465621.71	  144687.08	   89043.183	   78328.40	  275971.38	   80180.620	  211199.77	  176521.54	   58848.38	   72474.19	  135409.23	   65575.88	  193130.67	  112158.259	  679256.12
L-Valine	10722183.9	 3378353.53	 5500886.20	 2758140.86	33257273.05	 4037457.36	10498214.89	 3279866.19	 3370473.78	  991956.005	 4891955.80	 3124842.14	 2359373.645	 2062105.87	 3428072.10	 3338408.49	12021942.37	 2537099.59	 5056964.86	 5982769.10	 2421474.960	 7368018.07
L-Alanine	  132896.5	   30291.08	   44071.15	   13233.05	       0.00	   47486.07	   25544.50	   40874.95	   21908.01	   20191.436	   30945.16	   43980.96	   27222.438	   32326.94	   45103.35	   12349.64	   30850.96	   19522.66	   22120.46	   33510.10	   54107.893	   52536.41
L-Asparagine	  121933.9	   62054.00	   85119.98	   14671.57	   73668.33	   67937.46	   78683.17	   93764.72	   63610.51	    4719.534	   15350.11	  109457.39	    4529.479	   57429.98	  110969.65	   43636.23	   40777.58	   75882.00	   66799.12	   78333.66	    5782.708	   32545.57
L-Isoleucine	 1954799.4	 2009155.73	 1165136.94	  869137.17	  207012.15	 3584202.72	 7075675.53	 2115503.61	 2016733.81	  811132.908	 3113546.84	 1664003.47	 2347582.393	  878483.85	 2885370.94	 1030567.40	 3544028.31	 1336695.99	 1514671.78	 4404205.91	  686756.234	 1968388.84
L-Serine	 1274681.6	  343085.96	  427532.80	  191138.07	 1174818.29	  258614.99	  162399.14	  801000.42	  138745.44	  428812.327	  598815.22	  577616.51	  339568.656	  567339.33	  567681.01	  269985.45	  195268.08	  216040.78	  295598.84	  221340.21	  283422.362	  755086.30
Lactic acid	 6066024.5	 4267765.61	 5409916.90	  914565.00	 4895349.79	 4108901.57	  295199.24	 7011570.80	  753174.45	 1697144.079	 2637007.62	11071229.73	20707327.053	11695614.92	 3581943.73	  664433.48	  619603.67	 4096159.25	 2494898.79	 1020714.11	28700207.096	20110753.33
Sulfoacetic acid	  170896.7	 1703371.21	  813179.46	 1736747.56	  135113.83	 1412172.17	 1638343.58	 1025902.80	 1865558.40	 1431614.392	  841855.17	 1068362.23	 1671777.411	 1416473.43	 1301419.61	 1106554.00	 1324963.90	 1532035.14	 1188805.90	 1409834.52	 1193268.839	  645828.66
