,D300529,D300480,D300517,D300428,D300509,D300516,D300510,D300483,D300466,D300421,D300454,D300525,D300468,D300451,D300498,D300476,D300487,D300459,D300420,D300430,D300462
batch,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009
animal,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G101,G103,G104,G105,G106,G107
tissue,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta
treatment,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1,TG1
day,35,35,35,35,35,28,28,28,28,28,21,21,21,21,21,14,14,14,7,7,7
L-Tyrosine,1330194.07494476,3761603.58873876,5205200.99642182,3080580.60526598,3892372.05318958,4441167.00326949,1709515.04061512,2946196.44209949,1915255.03443344,1910604.4356272,4255809.69393704,4757633.96134022,5099280.10167263,3189859.33885665,5214644.21535083,3629058.29040558,1522819.76382284,1906259.5702671,1994692.43385917,1415201.54134181,1615632.21981295
L-Phenylalanine,3950385.79224954,13124521.903876,18075241.508035,8482253.88565525,12038492.0312555,13417966.5249991,7132264.91681859,6492338.74270179,3600457.7042684,2377164.47200524,13487627.1145673,16225612.8451383,14245490.2242886,7882331.11051679,13175244.2082315,7310025.60177609,2216250.80663464,1816818.5980672,2050994.73216014,2673541.36237018,2356668.23183426
L-Tryptophan,1518710.29238708,2319915.71739288,1337547.7534244,1949337.13794327,1324227.417589,1145962.74223713,616716.164661172,1029570.58431557,1061073.46982657,1179691.31079989,1431215.60654963,993144.959102352,1470704.7827455,1082314.13478378,1389787.65261727,2763316.13630342,1606673.24901231,1088099.02812471,1712794.66167003,1140742.64856998,1000530.39078409
L-Aspartic Acid,886589.999325813,1069136.05830151,553254.887201038,1218806.07373698,552881.751997181,1334918.48690918,846429.007445318,912309.211088197,1010656.55587088,1103257.2701098,1327979.30146094,1254822.24499253,1954659.7376698,1064627.93646547,1689467.76257,1114128.06196368,688805.217377429,642109.21135439,854494.104335906,550323.55003456,930715.381407998
L-Arginine,9935035.26302761,10578106.6179656,8342693.93852517,9756206.14503782,4797242.01524642,10124691.2673049,5732182.025824,9494966.63632845,7165322.35630783,10532432.1297785,8727182.25624892,11203716.9908897,12325874.7636285,7789545.39357294,10983682.0334478,8905533.92431001,6612732.79622935,11619406.217525,9259658.6926379,3743620.94418667,7317095.67420964
