,D300470,D300477,D300433,D300479,D300436,D300445,D300442,D300507,D300434,D300460,D300513,D300455,D300524,D300469,D300520,D300505,D300493,D300499,D300503,D300464,D300515,D300497
batch,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009,S3B009
animal,G002,G003,G004,G005,G006,G007,G108,G110,G111,G112,G113,G114,G115,G116,G118,G119,G120,G121,G122,G123,G124,G125
tissue,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta,Digesta
treatment,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5,TG5
day,14,14,14,7,14,7,14,21,21,21,21,21,28,28,28,28,28,35,35,35,35,35
L-Tyrosine,359246.998160812,,376374.231336048,374898.276490196,526227.279512977,672153.312981055,1699028.73344156,5251982.40456656,1546472.7662768,2283037.82119031,1157299.32251682,1588435.76397552,1143189.70431666,1341896.48590345,1125861.83482833,1783028.20587097,2308551.44272849,1533389.56479911,1534082.74693483,799052.748349736,1154861.9086068,1293202.31571859
L-Phenylalanine,555864.684311891,,817680.78941111,480322.134387448,1753630.50505713,2686876.16699784,1873840.00900255,11604854.4804119,2574471.47946549,2274354.51741646,2325329.26244287,2637413.5609966,606643.188351384,1433684.91587871,1744189.10133197,3969178.65151784,4234876.1577415,1623591.13827129,819601.662471136,1112565.44215972,1233173.65460769,1361944.27807352
L-Tryptophan,650422.519583101,,838408.858547822,734133.770958564,676495.749508391,836231.77662746,841761.606325392,908265.001409171,1378426.9330873,978629.013763349,1266711.5071647,1130461.24050191,795969.034604715,710300.823327402,1151889.72812671,1458030.17137279,1648267.29678674,677719.530673236,527840.950359791,624959.315670022,685302.366041993,539703.721834996
L-Aspartic Acid,458010.022971917,,612477.29475459,454350.238889491,368827.754169552,689361.409021353,760435.669741884,1213160.57500868,1111258.48459751,1118623.03605285,968274.476717378,1202762.84638572,875043.607640057,1145907.4374699,958569.090695624,1453514.43476746,1798951.99400655,1687953.68786875,822080.655650599,1958121.59220591,1544765.75089033,797955.309557442
L-Arginine,2771855.43290166,,4477350.14516451,2876824.2145309,2226143.07367082,3625572.79881171,6753825.66944873,7152918.91657098,8009678.26641639,7393321.75796353,6115570.54488444,7219520.05059528,9331852.12768122,8584222.43990046,8254736.4511971,9116631.45502499,10032871.817692,9121889.97323241,11306250.1036264,7156602.74099851,9212572.45898847,8594715.39744077
L-Leucine,1066095.35944397,,998892.861715815,1039652.03553243,2733500.0869202,3121844.99453284,4787010.85362374,3124443.57744688,5833618.98733462,2410369.82050706,5091041.6546638,5577910.97576615,1107780.86135568,3260478.54210511,4051846.46280059,8372038.82435484,7408303.32965815,4344553.90529256,1804642.3380686,2713565.63456357,2646091.92847414,2430629.90614994
L-Glutamic acid,2862135.60083746,,3724094.18178522,3851971.7333446,3382922.70397549,3328180.11027879,3979426.85726342,3517631.57379162,3471628.52696546,3865735.53888934,2779564.56483493,3861885.3954417,3847137.90821618,4734023.61359565,3661020.48278372,4544014.12652766,5397017.71707913,4477989.80309637,3846286.57761951,3446288.60895411,3318750.80475557,3687177.28819695
L-Glutamine,1687824.84987286,,547171.752822432,535089.168006037,1217745.94343146,4052035.96170503,2289319.03642151,2901841.03145967,2943970.32212445,2913995.40603783,4262581.85247963,2238992.76258654,1993521.06009176,2380836.77323979,2121878.39112969,4911478.1329123,3524195.07536314,2562744.29237127,1595869.14455961,2121663.49265467,3049044.86297741,1275949.13581939
L-Histidine,448646.629305754,,585351.546441363,630815.78129374,713026.287825621,1262135.05750073,1448424.9660013,1307679.29662073,1670604.02128958,1070038.81325308,2074787.13689484,1510726.84550312,815474.126088151,778742.568339899,1287748.52862478,1548295.39584059,4293749.97462522,1399225.99728665,1554722.19345636,3617492.07633915,1291594.17704219,1208463.33025644
L-Lysine,5570949.42486609,,8349086.81014818,8810684.04629258,7599441.52195719,6604626.35944467,8729426.96995282,8369024.98294586,6567615.58767064,9890193.4853319,7196531.01885614,7567586.69226065,12056867.477059,9538323.41470665,10138975.1701605,6316917.2251501,8997122.50904832,11428046.3093744,11908581.2865599,9310833.28115798,12390326.988426,10472267.2406304
L-Methionine,239372.549154605,,197114.760398641,172707.140740851,277737.465354941,371094.905945182,334112.975849729,302199.070165458,671434.566718886,175445.822444572,578809.139231097,455930.083002941,169045.996048464,183643.699376869,504863.11784902,1084067.11003811,705883.751410953,183907.459659142,88180.8715169535,300121.737308853,108877.357898088,271654.698490455
L-Proline,69936914.9362503,,122048336.33707,41342302.1796512,38666560.8759664,37007977.061619,14460317.3729259,62563820.7358031,43633398.8227498,41812351.4615349,62313491.0853726,43565133.6709854,56346819.4541941,53098718.9958462,47035728.3063182,48934291.0668912,23449078.0413309,23732365.7478573,32339378.0244238,66541297.9007787,27479413.0930823,27313934.2628847
