sample	D300512	D300484	D300495	D300478	D300458	D300427	D300490	D300496	D300467	D300418	D300519	D300504	D300527	D300439	D300475	D300506	D300473	D300486	D300528	D300449	D300492	D300446	D300419
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G059	G060	G061	G062	G063	G064	G065	G066	G067	G069	G070	G071	G072	G073	G074	G075	G076	G077	G079	G080	G081	G082	G084
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2
day	35	35	35	35	35	28	28	28	28	28	21	21	21	21	21	14	14	14	14	7	7	7	7
L-Tyrosine	2121601.98382006	701756.168687122	1882659.75781753	631047.39383887	2317379.06103632	1486118.73107163	891119.822729777	723382.138613788	1013797.14472866	931320.661194342	792102.599615176	1470215.37798913	978882.06366507	814685.068191438	974864.39653066	881282.863491913	2465049.3907899	1177923.47876821	265559.604587513	647789.534250806	5420918.30688281	3399992.6266781	1096362.6924642
L-Phenylalanine	4068227.77902756	1058103.50467417	3475704.22687324	1480611.43267531	5563986.58097753	2875225.64917164	716831.671609858	1049883.76600229	1691630.75364624	2197242.94048869	1150153.2691087	1909468.07877767	1421902.03392616	716413.966982705	1684092.9102333	1079236.07884678	9746621.61352549	2940726.32576084	765026.569402659	1338805.67283221	21447506.6376155	11510642.7539203	3482310.87767105
L-Tryptophan	1472358.49287555	557446.116916545	1008217.58184259	781583.663299965	960210.4938505	1042825.99973387	444983.34558818	521827.675501919	873599.967817427	889525.280889141	553500.891693984	1200992.40749429	966851.355606281	753847.02845627	726538.080354775	541107.197307822	760897.758845948	1028292.8139725	434022.43457541	169438.67518823	791227.789052669	898179.416243205	1014373.65057131
L-Aspartic Acid	625954.592609511	544970.958700881	874316.834727945	779320.909465667	929587.093138289	896681.226674618	1107785.17611349	771148.328998793	690048.956354395	736739.351256183	920048.288727338	951064.048979147	971768.201765695	1005058.8642132	527487.486710054	647521.834969359	963523.738032352	304606.311097101	359043.435788478	1570898.9504055	1210625.79383326	828336.525761822	1940835.6877928
L-Arginine	8460166.56959024	4798724.25677231	4238808.08462958	5110216.74401275	4354636.68734505	5946475.82827046	5041920.15234666	5218184.32118835	5245183.54978157	5555579.21070519	4035548.7897233	4689225.95517544	9878629.67545339	8281958.35750022	6362504.52453016	5550689.5501145	4767501.187372	5866269.36629796	4013268.88164862	6658185.95089014	8034442.80758192	5680846.5793111	12667652.7005935
