sample	D300423	D300429	D300433	D300435	D300436	D300441	D300442	D300457	D300459	D300470	D300471	D300472	D300473	D300476	D300477	D300486	D300487	D300494	D300506	D300522	D300528
treatment	TG3	TG4	TG5	TG3	TG5	TG3	TG5	TG3	TG1	TG5	TG4	TG4	TG2	TG1	TG5	TG2	TG1	TG3	TG2	TG4	TG2
L-Asparagine	12634.5203968611	14671.5709889098	5713.09443541349	20080.9627740531	5213.61198517184	7716.6414186499	6995.88204487521	5028.90559763965	3990.32722454642	10862.7889264844	73668.3254125363	57429.9848117086	19845.0559380093	21818.2062456929	12323.4044465505	24799.3981715286	3719.06017504554	5395.24890997775	17558.5077525174	121933.871269902	9066.72707451946
L-Glutamic acid	2041074.61850158	4436363.93582744	4814153.4120212	4073604.57637088	3925126.0063814	3423360.53902367	3979426.85726342	2789070.11541309	3851971.7333446	4502333.88334472	9361106.90684798	4584577.11288046	2455868.69102626	3328180.11027879	3519736.9671134	2655434.23758149	3382922.70397549	3231210.48554742	2322565.44355139	11295279.1583617	2813389.16114762
Pantothenic acid	584338.685942345	409098.897496743	417736.197410199	483642.768186412	772025.489909588	36716.7348158746	908449.704152805	66027.3389900235	869090.056302163	492689.479442508	714595.226343963	445965.899560307	31507.6290635903	346248.432076827	741831.884620187	67804.6893132679	623090.406999485	1569181.84275555	137053.695837772	732593.301973123	426089.029672888
L-Alanine	29626.1415912402	13233.0497352707	24402.560198264	20582.6459429074	23020.8273123977	27426.8062346842	37820.0597789451	13172.0218303597	10863.2304826625	41124.3151229036	0.0	32326.938383822	8748.64339022802	38369.8929911203	51237.8610133105	33014.4028365609	19583.3808381146	20320.6053510476	18672.2666339183	132896.479732957	18196.9691815351
L-Serine	266796.457311849	191138.066663822	532081.33493777	293325.73221259	448118.487371654	275467.718406074	922234.581138944	88185.1060753372	70086.3021839945	930232.0140627	1174818.28528326	567339.330760814	120833.614064839	605905.431341261	1170196.87978596	448100.01630006	339471.628351943	176393.156744311	223130.74881572	1274681.647413	245467.260197022
L-Proline	14285254.2555988	14892315.5899709	55449064.2759294	19360819.3033217	45186243.9890518	22038464.2458989	14460317.3729259	14772594.1522931	41342302.1796512	73416065.8743232	6422410.72767067	19140539.4351893	34379107.7953695	37007977.061619	43824164.7839122	22301685.723994	38666560.8759664	14824501.2221481	39972225.9419426	12733222.8009697	16511455.1473719
L-Valine	2046428.94336249	2758140.85568491	2348695.92665263	3550724.86579205	1900629.97991772	2489983.3451443	2825054.30418098	3091511.95347725	682533.647148833	1401004.21430518	33257273.0452024	2062105.86978432	1721459.30554308	2736470.87923108	2920771.75821962	2780372.27416743	1083864.9853681	4123943.80237264	2061259.8672513	10722183.9301362	2110583.28445651
L-Threonine	1395931.03705655	857313.341047439	1045676.8857286	1077074.68380679	992525.147030923	1355080.63602229	930567.557230928	986059.625618002	722718.769082795	1347135.6058339	641073.386415994	879222.24153441	807365.540345886	905242.471174124	1168939.41390693	1171925.505477	1086003.69144662	1051211.05346766	811575.271597883	3328690.80933187	586347.48069909
Niacinamide	514059.869982425	197824.651165992	155712.721037431	320565.758479828	130714.89759019	264860.209267074	86607.9197901364	328701.102492395	1876416.46625993	140824.940493597	823079.669613897	124890.381390274	221290.379510463	124923.819186731	139652.391944779	201676.098105418	1015245.58664404	210047.391150753	146463.070517535	299256.55167466	163874.313862238
Nicotinic acid	908916.259345418	1186038.99042454	603135.858268064	1866703.44224409	441280.131750961	825165.139977871	390640.314205315	1193694.5964758	3067714.89317895	498594.999048409	1878099.33538146	442781.034992052	320108.118758472	1857974.73254358	411144.400489453	310102.458872343	3559002.60356503	1372748.66424469	232624.510504483	1421111.79324555	1072598.08027944
L-Isoleucine	922627.819456617	869137.171130638	1337172.14506899	1357139.44878131	1384918.97505223	1116254.50620431	1172867.94018572	811978.147615953	572549.736642518	1378368.73089363	207012.153068075	878483.851561018	550869.280284541	1351946.62439139	3141086.27655717	911458.398493766	1186986.87851265	1819802.96027604	710698.226982525	1954799.35666382	367241.443262067
L-Leucine	3608224.7793229	2940200.11085543	4569468.1035871	4188289.33428697	5574748.42231552	4563840.4465718	4787010.85362374	2263778.88014758	1039652.03553243	5456786.32070131	1318931.93463213	4010831.2149036	1551616.12878331	3121844.99453284	6115498.23631068	2569711.24732522	2733500.0869202	7054648.30350408	2002596.73254171	7693548.02377495	2266268.96635112
