sample	D300424	D300425	D300434	D300438	D300439	D300448	D300450	D300451	D300454	D300455	D300456	D300460	D300468	D300475	D300481	D300498	D300500	D300502	D300504	D300507	D300513	D300518	D300519	D300525	D300527
treatment	TG3	TG3	TG5	TG4	TG2	TG4	TG3	TG1	TG1	TG5	TG3	TG5	TG1	TG2	TG3	TG1	TG4	TG4	TG2	TG5	TG5	TG4	TG2	TG1	TG2
L-Asparagine	17431.9401239709	6064.47331125641	14920.1354181248	85119.9803262443	44362.3554648367	66799.1236890541	6682.31408777901	20806.7843180977	29595.2226053134	7194.70696580428	11362.2123094137	24476.9619080485	27768.7479047153	28260.4210490043	6913.5656446908	19195.7724188752	32545.5733315725	43636.2337802249	25181.8011037121	13881.3199556429	8193.25670795996	15350.1141555635	26079.2880391174	27343.0337577049	19526.5222565585
L-Glutamic acid	1728730.16975281	3100411.74404954	3471628.52696546	6291137.14839829	2642294.1835784	4613222.89530348	2443161.92734272	3074488.82028051	2463368.86267713	3861885.3954417	3503774.02505936	3865735.53888934	3664198.99512217	2186529.62541843	2873264.40668292	3819263.0046871	1381556.15766558	5335347.73464334	4155458.84065979	3517631.57379162	2779564.56483493	6579662.4774729	2922141.1888518	2172640.03345649	2039274.86884451
Pantothenic acid	115204.941156538	166497.225815491	628554.574252003	250728.268761654	50124.5160990061	150836.444687465	169011.385203382	41285.5796936942	56490.9110481712	795896.469287593	203860.689985375	375584.541977401	51914.0520950288	83836.981327401	200560.239173413	22178.1691852904	100700.042678329	146850.834996394	264693.174273052	358604.430668962	110839.323825212	131510.662483267	35993.7071191521	45409.1431979708	102312.226268114
L-Alanine	34767.8230236641	31058.6192624295	30645.2347970719	44071.1527690182	45612.6667589916	22120.4574177424	27855.1799156406	28707.3249696937	18376.3622391263	21719.2567693987	49968.1007614123	22668.030246742	21802.1226647053	19504.3652577377	20395.8954921878	23576.9921264786	52536.4106842356	12349.6448615772	41093.0622066821	32227.2324007896	33827.8486859989	30945.1633497848	35672.5126572191	28971.8676237773	20879.9390902458
L-Serine	651753.739818983	252035.428855247	363019.519208721	427532.795678233	425771.021357036	295598.839993955	329347.876852779	409838.598425072	399733.467040861	314133.411832239	749763.051901525	182676.081997939	254338.840838563	166911.03632613	196441.951414986	134861.900304464	755086.302610258	269985.452296897	227599.129520593	547279.885034222	615843.73269696	598815.218656778	432312.837070226	734691.830820775	153239.382603606
L-Proline	13319801.1219875	27003525.1011585	43633398.8227498	25720478.0264693	21290462.2724559	19817650.3652778	24134931.6276234	31480792.2552411	21395121.0798878	43565133.6709854	31345785.7178294	41812351.4615349	18779216.8076187	53441574.152265	18566831.9855058	20871696.9053783	17729266.0329122	21524557.6944761	18838795.6205128	62563820.7358031	62313491.0853726	28708584.6936675	41281778.4096188	22783080.0337712	34990935.0394233
L-Valine	3196401.70504541	2108924.15587498	1407749.83731183	5500886.19988458	3183592.50939166	5056964.86094769	1714070.1826751	1395437.74814255	1954085.7630102	1620275.19881559	4206638.06547158	1289323.58218797	1465201.33279272	1006163.02493595	2602928.1562074	1367248.62188526	7368018.0674571	3338408.48762353	1854461.58663241	791016.26958268	3022541.22640488	4891955.79679389	1195958.80036111	1728882.77567334	1424714.99284816
L-Threonine	1437337.06511927	1309221.7012812	1105307.32676016	1911338.54070942	1254161.58118472	1127103.0498634	1122247.91948974	754280.520699464	676859.44142117	829386.099982365	1655773.14793451	888778.726975452	659203.078504068	947254.750316571	1112603.62330686	625919.87565746	2257556.61490751	1122410.48109219	917309.306368319	1074052.70063732	1539036.99038989	2057270.14150281	938035.213037992	869393.230748368	744146.687407654
Niacinamide	151032.213178976	11917.6202553436	149347.71695038	28396.7119129004	244946.750440596	15828.4976125823	15272.9626051003	116653.945134934	100337.214334934	166063.366883225	27490.7097146058	149022.114156626	113039.78284775	232508.377066572	22716.9287543849	131078.293511509	225963.555231606	19586.7537159931	225891.641430094	127226.663027393	277146.280009732	18572.9674734951	196630.678662661	133206.270051643	319387.854085846
