sample	D300419	D300420	D300431	D300432	D300444	D300445	D300446	D300449	D300452	D300462	D300463	D300479	D300482	D300492	D300501
treatment	TG2	TG1	TG4	TG3	TG3	TG5	TG2	TG2	TG4	TG1	TG4	TG5	TG3	TG2	TG3
L-Asparagine	5957.40979346533	4115.37791503571	5782.70786961138	6684.40812884165	5579.42102621472	8872.13893445144	6911.04894590637	5413.20785287218	4719.53370734964	5516.25254474397	4529.47917513011	4622.36333897706	7957.77498757972	4382.18246189432	94876.0419448552
L-Glutamic acid	2287696.48645996	3724094.18178522	721889.369851868	15076670.4076574	2918193.29731171	3590182.0417752	2582801.39262274	3302417.02805232	2885838.22819643	2862135.60083746	2807646.76351165	2604935.9871509	3641993.34351309	3204194.59192382	9357902.29383375
Pantothenic acid	466217.912693091	779530.896748074	742130.728625507	564963.46908006	902727.599484663	528007.718706118	499197.851694551	915469.131358229	1063507.87072042	361438.929523345	808693.475341791	2611265.85654715	1000281.68644985	578876.427833307	859412.61135731
L-Alanine	66329.3392458584	16081.621975924	54107.8932357767	82917.501120777	42804.0435660407	27765.027085549	39632.8445362968	11659.3317608359	20191.4355717484	24011.8722517756	27222.4377692123	26619.0927097199	39697.9410109223	21800.2603858887	11603.6678803265
L-Serine	333276.945045427	100603.168184739	283422.361693195	639360.521594421	174400.688766813	452695.865564665	765089.54428659	173786.7262014	428812.327491701	186156.935123226	339568.656060521	291582.458708143	105650.223006304	196330.989153318	915555.149871809
L-Proline	30786392.0364292	122048336.33707	53102694.3227775	22259357.5640635	21182647.5015199	80577035.9264678	49080867.7588116	54527491.8937863	37286816.2311277	69936914.9362503	54599102.2868532	28161809.7471978	23359216.3584426	61419402.2889256	6900413.81959614
L-Valine	17021659.269514	505982.048455522	2421474.959688	7686267.97920313	4312175.36951674	1828762.0358419	3598401.43300449	1386225.30957274	991956.005021833	787143.641074013	2359373.64499651	2083487.81946076	4565929.23878665	1044243.70176604	28786941.0257315
L-Threonine	1775329.41227897	617984.480659536	1560454.43786325	1810641.1037616	1262634.78089117	1597393.54122626	1952140.55860026	952953.772039698	1099022.29423688	868111.429114267	1372989.3542741	948239.952959151	1578549.3796477	1801088.71283954	759947.705486272
Niacinamide	102067.612393694	1236392.93534256	213575.213711616	1569091.44193415	396688.295168913	751618.593140015	157323.855472092	344030.96573565	220497.18485314	488818.505445921	979656.569861223	237455.095505224	491592.753213545	188870.444538458	1263564.15271235
Nicotinic acid	3168102.23203533	2787949.00451998	1325551.5662093	2349345.45493215	1869188.25241145	1298108.4671187	1416353.32452597	454729.280750552	300371.358659894	1451910.55563212	2780532.1636601	2004664.09125776	790777.62766703	350722.147269549	1461986.39182911
L-Isoleucine	7935726.49185266	545825.378962695	686756.233600185	1370676.09277011	905702.922044583	2668348.25430063	3290844.17099851	315676.849571492	811132.907819291	598900.094099136	2347582.3934759	878025.854729827	265379.226652471	1136054.42070909	188168.794968089
L-Leucine	19261713.2690373	998892.861715815	1855519.58835166	8836163.10553757	3475552.31509309	8465906.85761186	9153347.58554029	2032140.93634104	2421747.58844878	1066095.35944397	7036093.35608849	4964210.389894	1776961.1687833	2528114.38188709	1157794.87815946
L-Aspartic Acid	1276834.57078396	612477.29475459	359043.435788478	447217.295723642	536010.624578417	1114128.06196368	1282400.23495853	412218.584126053	963523.738032352	458010.022971917	304606.311097101	642109.21135439	696680.183668496	271420.660586165	1347202.36203054
L-Glutamine	4335321.87858008	547171.752822432	5309416.43647505	5894027.37675744	2029362.7066742	1979378.35610572	3690118.88350518	2854240.37730095	2238813.86792341	1687824.84987286	2755939.02416544	1010430.7083012	4866411.6435795	2594471.97911278	3584689.7201903
L-Lysine	7039952.98119514	8349086.81014818	7596704.00265616	10792507.4710888	11470711.4250362	9588120.42553107	9535028.13843947	7922343.25166135	7695188.40791785	5570949.42486609	8776605.14171928	15144277.1991046	8967607.83229639	8060503.06848241	2614297.31277052
L-Methionine	658177.663928995	197114.760398641	307080.898518374	1197546.75979863	593821.71314133	668503.040057962	827338.529498647	368274.506807276	392809.770978289	239372.549154605	1089873.13232229	492964.49800294	383293.257311881	307520.609856946	54955.9929232345
L-Histidine	929033.709911488	585351.546441363	527305.472576628	809289.259654231	578041.863563818	1704796.46718169	941427.799017327	668741.07557626	642448.67857168	448646.629305754	497474.483524184	1387882.84674197	676442.353219579	437285.903205094	11381189.2410417
L-Phenylalanine	21991965.2249056	817680.78941111	765026.569402659	6741073.34729636	4774521.23986172	7310025.60177609	26192959.1192468	727284.939808773	9746621.61352549	555864.684311891	2940726.32576084	1816818.5980672	9801878.95347431	798089.409740587	1260059.08268591
Pyridoxamine	1840993.36020706	958096.893391971	236149.455867658	892083.100625539	705743.441668987	593168.560979048	608684.41841627	1386315.86294812	610426.426107682	506392.900647314	785521.862989626	533885.876023359	1051604.55788754	369681.30355802	192135.456094815
