sample	D300418	D300419	D300420	D300421	D300422	D300423	D300424	D300425	D300426	D300427	D300428	D300429	D300431	D300432	D300433	D300434	D300435	D300436	D300437	D300438	D300439	D300440	D300441	D300442	D300443	D300444	D300445	D300446	D300447	D300448	D300449	D300450	D300451	D300452	D300453	D300454	D300455	D300456	D300457	D300458	D300459	D300460	D300461	D300462	D300463	D300464	D300465	D300466	D300467	D300468	D300469	D300470	D300471	D300472	D300473	D300474	D300475	D300476	D300477	D300478	D300479	D300480	D300481	D300482	D300483	D300484	D300485	D300486	D300487	D300488	D300489	D300490	D300491	D300492	D300493	D300494	D300495	D300496	D300497	D300498	D300499	D300500	D300501	D300502	D300503	D300504	D300505	D300506	D300507	D300508	D300509	D300510	D300511	D300512	D300513	D300514	D300515	D300516	D300517	D300518	D300519	D300520	D300521	D300522	D300523	D300524	D300525	D300526	D300527	D300528	D300529
treatment	TG2	TG2	TG1	TG1	TG3	TG3	TG3	TG3	TG3	TG2	TG1	TG4	TG4	TG3	TG5	TG5	TG3	TG5	TG3	TG4	TG2	TG3	TG3	TG5	TG4	TG3	TG5	TG2	TG3	TG4	TG2	TG3	TG1	TG4	TG3	TG1	TG5	TG3	TG3	TG2	TG1	TG5	TG3	TG1	TG4	TG5	TG3	TG1	TG2	TG1	TG5	TG5	TG4	TG4	TG2	TG4	TG2	TG1	TG5	TG2	TG5	TG1	TG3	TG3	TG1	TG2	TG3	TG2	TG1	TG4	TG4	TG2	TG4	TG2	TG5	TG3	TG2	TG2	TG5	TG1	TG5	TG4	TG3	TG4	TG5	TG2	TG5	TG2	TG5	TG4	TG1	TG1	TG4	TG2	TG5	TG4	TG5	TG1	TG1	TG4	TG2	TG5	TG4	TG4	TG3	TG5	TG1	TG4	TG2	TG2	TG1
day	28	7	7	28	35	14	21	21	28	28	35	14	7	7	14	21	14	14	35	21	21	28	14	14	35	7	7	7	28	21	7	21	21	7	35	21	21	21	14	35	14	21	28	7	7	35	35	28	28	21	28	14	14	14	14	35	21	14	14	35	7	35	21	7	28	35	28	14	14	28	28	28	28	7	28	14	35	28	35	21	35	21	7	21	35	21	28	14	21	28	35	28	28	35	21	35	35	28	35	21	21	28	35	14	35	28	21	35	21	14	35
L-Asparagine	41717.3822180341	5957.40979346533	4115.37791503571	42407.5366733871	51363.1497354544	12634.5203968611	17431.9401239709	6064.47331125641	38157.8584709551	68670.2036395918	71441.7611023157	14671.5709889098	5782.70786961138	6684.40812884165	5713.09443541349	14920.1354181248	20080.9627740531	5213.61198517184	63255.4750659907	85119.9803262443	44362.3554648367	52893.3598415371	7716.6414186499	6995.88204487521	63610.5067566782	5579.42102621472	8872.13893445144	6911.04894590637	40055.6678442295	66799.1236890541	5413.20785287218	6682.31408777901	20806.7843180977	4719.53370734964	37279.4881075627	29595.2226053134	7194.70696580428	11362.2123094137	5028.90559763965	68606.1266565765	3990.32722454642	24476.9619080485	37691.6209100308	5516.25254474397	4529.47917513011	24777.9531866232	33536.3203845067	72925.4935240999	43756.6651312794	27768.7479047153	35796.144863674	10862.7889264844	73668.3254125363	57429.9848117086	19845.0559380093	78683.1677742281	28260.4210490043	21818.2062456929	12323.4044465505	113439.112345225	4622.36333897706	93846.1383520565	6913.5656446908	7957.77498757972	56256.8214440294	67973.5374879755	58169.8566388941	24799.3981715286	3719.06017504554	40777.5775535632	93764.719512402	47995.1074240497	109457.39122474	4382.18246189432	51906.6248400072	5395.24890997775	44185.4790493865	41206.1052491237	38148.0414021217	19195.7724188752	18142.2584671992	32545.5733315725	94876.0419448552	43636.2337802249	48108.5722361184	25181.8011037121	73625.6383638053	17558.5077525174	13881.3199556429	75881.9967138993	70015.9292584687	34686.3965528695	62053.9988461128	57340.2609735648	8193.25670795996	67937.4610304372	35146.2911934052	39923.5992712477	106991.855519265	15350.1141555635	26079.2880391174	44964.1460312401	110969.647290303	121933.871269902	55797.8263877972	41837.4758089825	27343.0337577049	78333.6641326378	19526.5222565585	9066.72707451946	90921.760957879
L-Glutamic acid	4108355.08156706	2287696.48645996	3724094.18178522	3384924.72778087	6066042.22212925	2041074.61850158	1728730.16975281	3100411.74404954	3751145.66650459	2161282.07582736	3327704.06417168	4436363.93582744	721889.369851868	15076670.4076574	4814153.4120212	3471628.52696546	4073604.57637088	3925126.0063814	5249850.08037904	6291137.14839829	2642294.1835784	2467230.98689459	3423360.53902367	3979426.85726342	9346719.01373851	2918193.29731171	3590182.0417752	2582801.39262274	2773040.00468302	4613222.89530348	3302417.02805232	2443161.92734272	3074488.82028051	2885838.22819643	4679131.0308772	2463368.86267713	3861885.3954417	3503774.02505936	2789070.11541309	4291025.58722113	3851971.7333446	3865735.53888934	3295707.57729069	2862135.60083746	2807646.76351165	3446288.60895411	4389915.45483815	2155364.12184883	1840824.36404809	3664198.99512217	4734023.61359565	4502333.88334472	9361106.90684798	4584577.11288046	2455868.69102626	6971048.89960895	2186529.62541843	3328180.11027879	3519736.9671134	11407073.1771475	2604935.9871509	5177221.59786423	2873264.40668292	3641993.34351309	3141929.60955853	10373098.2680033	2753975.1042514	2655434.23758149	3382922.70397549	2863847.97634779	3339636.94696108	4127829.21470121	5255181.553719	3204194.59192382	5397017.71707913	3231210.48554742	3006847.36191136	4549489.34833628	3687177.28819695	3819263.0046871	4477989.80309637	1381556.15766558	9357902.29383375	5335347.73464334	3846286.57761951	4155458.84065979	4544014.12652766	2322565.44355139	3517631.57379162	6191130.80647628	5138376.45795444	3379609.05854575	7276669.69633144	7328111.00153341	2779564.56483493	5216741.18978658	3318750.80475557	4782826.71152587	3904586.43473892	6579662.4774729	2922141.1888518	3661020.48278372	7433119.44992929	11295279.1583617	5614728.42434871	3847137.90821618	2172640.03345649	5902004.47467481	2039274.86884451	2813389.16114762	3523988.08099889
Pantothenic acid	30849.8221000725	466217.912693091	779530.896748074	30539.6678355151	55046.2636228555	584338.685942345	115204.941156538	166497.225815491	49462.3547119726	54712.9684317266	30849.5929788717	409098.897496743	742130.728625507	564963.46908006	417736.197410199	628554.574252003	483642.768186412	772025.489909588	40145.0591788884	250728.268761654	50124.5160990061	104630.147271539	36716.7348158746	908449.704152805	49303.0642226417	902727.599484663	528007.718706118	499197.851694551	20365.127050301	150836.444687465	915469.131358229	169011.385203382	41285.5796936942	1063507.87072042	53330.4752151302	56490.9110481712	795896.469287593	203860.689985375	66027.3389900235	75781.4756387175	869090.056302163	375584.541977401	27689.6788863403	361438.929523345	808693.475341791	69232.5900608821	83279.5154052794	20569.2258235094	18410.5120216343	51914.0520950288	92384.7759961705	492689.479442508	714595.226343963	445965.899560307	31507.6290635903	38296.6506701819	83836.981327401	346248.432076827	741831.884620187	121860.232344966	2611265.85654715	34343.3984965351	200560.239173413	1000281.68644985	67986.6861378991	132548.262383502	40659.7059006238	67804.6893132679	623090.406999485	16932.8179521444	41039.4555975581	30527.3571469615	40326.9688471053	578876.427833307	114678.39635608	1569181.84275555	42623.4316922627	59268.9730435486	70639.410559495	22178.1691852904	56576.1033861169	100700.042678329	859412.61135731	146850.834996394	76871.8594369182	264693.174273052	108588.908894652	137053.695837772	358604.430668962	19845.883990869	23256.2314386145	26778.2835110701	59841.7648323416	53292.7285907438	110839.323825212	31434.7972903658	95767.2234399979	52135.7881860269	45425.715733282	131510.662483267	35993.7071191521	58268.6277743552	78843.4893557653	732593.301973123	49323.9189762402	38383.9117732477	45409.1431979708	58649.390219574	102312.226268114	426089.029672888	31369.1143654671
L-Alanine	29915.8367929578	66329.3392458584	16081.621975924	34946.6193020637	15379.1662859155	29626.1415912402	34767.8230236641	31058.6192624295	12037.503099832	52107.2957169175	20537.4702793975	13233.0497352707	54107.8932357767	82917.501120777	24402.560198264	30645.2347970719	20582.6459429074	23020.8273123977	36645.5317310026	44071.1527690182	45612.6667589916	36973.2318443665	27426.8062346842	37820.0597789451	21908.0070534634	42804.0435660407	27765.027085549	39632.8445362968	19011.6088695178	22120.4574177424	11659.3317608359	27855.1799156406	28707.3249696937	20191.4355717484	21340.1959657982	18376.3622391263	21719.2567693987	49968.1007614123	13172.0218303597	41448.0616627251	10863.2304826625	22668.030246742	22685.7938422241	24011.8722517756	27222.4377692123	42761.5643288423	30980.8311219687	34747.9487887389	20861.4881965072	21802.1226647053	28262.3979164056	41124.3151229036	0	32326.938383822	8748.64339022802	25544.4957400908	19504.3652577377	38369.8929911203	51237.8610133105	68708.686247842	26619.0927097199	37757.9166972901	20395.8954921878	39697.9410109223	66772.6615528395	55232.2618864714	33310.661844478	33014.4028365609	19583.3808381146	30850.9595227431	40874.9480196597	24999.6241627753	43980.955334552	21800.2603858887	55339.139716401	20320.6053510476	23807.5385943683	32678.3370326726	15278.1703039111	23576.9921264786	40560.6524383936	52536.4106842356	11603.6678803265	12349.6448615772	20995.3003379592	41093.0622066821	40839.464197385	18672.2666339183	32227.2324007896	19522.6550246362	17438.4239166084	19311.3313724555	30291.0819226435	15228.2590486637	33827.8486859989	47486.0707581583	41931.3164060292	19112.7325724578	56114.6125817295	30945.1633497848	35672.5126572191	15255.1762058102	45103.3534816654	132896.479732957	37010.9481184684	11068.0866797967	28971.8676237773	33510.0969023377	20879.9390902458	18196.9691815351	50771.0010902399
L-Serine	195481.295375394	333276.945045427	100603.168184739	279523.764607492	85776.3956679628	266796.457311849	651753.739818983	252035.428855247	78518.6341061456	221471.940833407	103771.960553636	191138.066663822	283422.361693195	639360.521594421	532081.33493777	363019.519208721	293325.73221259	448118.487371654	281777.405742785	427532.795678233	425771.021357036	288252.353413914	275467.718406074	922234.581138944	138745.438020703	174400.688766813	452695.865564665	765089.54428659	221225.370848426	295598.839993955	173786.7262014	329347.876852779	409838.598425072	428812.327491701	89145.5167444777	399733.467040861	314133.411832239	749763.051901525	88185.1060753372	307652.951830751	70086.3021839945	182676.081997939	247652.389905117	186156.935123226	339568.656060521	360075.648506558	199491.475854473	222980.315735968	94919.5576612555	254338.840838563	478384.877838	930232.0140627	1174818.28528326	567339.330760814	120833.614064839	162399.140104891	166911.03632613	605905.431341261	1170196.87978596	307892.153676312	291582.458708143	272235.268840785	196441.951414986	105650.223006304	1111682.29788231	343834.093579655	516552.561832563	448100.01630006	339471.628351943	195268.083990632	801000.421684168	116645.551579516	577616.510285944	196330.989153318	557531.954679747	176393.156744311	152473.446338229	233145.76808658	158506.486777146	134861.900304464	654173.576512091	755086.302610258	915555.149871809	269985.452296897	332691.619618051	227599.129520593	688715.484182798	223130.74881572	547279.885034222	216040.782832298	93180.0038547216	70379.4350557998	343085.960713445	152834.151249572	615843.73269696	258614.991516276	365669.338376425	162726.203854242	354784.599344428	598815.218656778	432312.837070226	211307.462243991	567681.011651232	1274681.647413	976738.027028843	127709.342487101	734691.830820775	221340.207272775	153239.382603606	245467.260197022	232218.065767815
L-Proline	14417076.0802165	30786392.0364292	122048336.33707	16908091.3995128	15921928.2207477	14285254.2555988	13319801.1219875	27003525.1011585	22717565.5986872	13391086.5673492	13406200.2374728	14892315.5899709	53102694.3227775	22259357.5640635	55449064.2759294	43633398.8227498	19360819.3033217	45186243.9890518	17178234.8090344	25720478.0264693	21290462.2724559	21300111.3776676	22038464.2458989	14460317.3729259	17203479.2952955	21182647.5015199	80577035.9264678	49080867.7588116	15779622.9726249	19817650.3652778	54527491.8937863	24134931.6276234	31480792.2552411	37286816.2311277	27324742.468153	21395121.0798878	43565133.6709854	31345785.7178294	14772594.1522931	13275217.5429157	41342302.1796512	41812351.4615349	27362608.9168593	69936914.9362503	54599102.2868532	66541297.9007787	27952971.4095882	12486153.1050461	13193049.4887828	18779216.8076187	53098718.9958462	73416065.8743232	6422410.72767067	19140539.4351893	34379107.7953695	16948560.7500501	53441574.152265	37007977.061619	43824164.7839122	25697006.8396592	28161809.7471978	18817815.9388492	18566831.9855058	23359216.3584426	14837057.024909	26186005.1596274	11310957.8439247	22301685.723994	38666560.8759664	12685703.3847123	15811262.9542262	14580460.2014166	12588456.6070502	61419402.2889256	23449078.0413309	14824501.2221481	15881893.9018255	15587220.4293861	27313934.2628847	20871696.9053783	23732365.7478573	17729266.0329122	6900413.81959614	21524557.6944761	32339378.0244238	18838795.6205128	48934291.0668912	39972225.9419426	62563820.7358031	17005010.1709268	16690967.8735789	16461339.4196529	15857510.0756701	16530238.3398971	62313491.0853726	16091505.1743218	27479413.0930823	14571991.6928789	15675495.967069	28708584.6936675	41281778.4096188	47035728.3063182	18985765.343811	12733222.8009697	32767208.8884666	56346819.4541941	22783080.0337712	16813174.6648037	34990935.0394233	16511455.1473719	16521306.2212459
L-Valine	3061461.70054721	17021659.269514	505982.048455522	1789694.51895334	2160281.42850661	2046428.94336249	3196401.70504541	2108924.15587498	1181845.95127301	4148953.7389333	2458323.66726031	2758140.85568491	2421474.959688	7686267.97920313	2348695.92665263	1407749.83731183	3550724.86579205	1900629.97991772	3560269.89769694	5500886.19988458	3183592.50939166	2658056.58276983	2489983.3451443	2825054.30418098	3370473.77836607	4312175.36951674	1828762.0358419	3598401.43300449	1820709.73688661	5056964.86094769	1386225.30957274	1714070.1826751	1395437.74814255	991956.005021833	1670243.94225791	1954085.7630102	1620275.19881559	4206638.06547158	3091511.95347725	4077071.81287503	682533.647148833	1289323.58218797	1473539.01012714	787143.641074013	2359373.64499651	1274263.29104552	2311152.88682523	2585711.01057862	2747059.81688806	1465201.33279272	2048338.2262714	1401004.21430518	33257273.0452024	2062105.86978432	1721459.30554308	10498214.8864025	1006163.02493595	2736470.87923108	2920771.75821962	3191309.33336894	2083487.81946076	5263210.58899694	2602928.1562074	4565929.23878665	4046409.01568536	3248159.08155305	3797082.19710571	2780372.27416743	1083864.9853681	12021942.3677178	3279866.18646623	2507187.01251637	3124842.14231636	1044243.70176604	4471752.15049001	4123943.80237264	2708411.72183357	3131641.60941963	1701518.43888354	1367248.62188526	2982403.01996402	7368018.0674571	28786941.0257315	3338408.48762353	1071228.60128819	1854461.58663241	2512558.35897183	2061259.8672513	791016.26958268	2537099.59240535	1974765.4135151	2465371.28501079	3378353.53072242	2110369.50058678	3022541.22640488	4037457.3598163	2881141.76671836	2939360.26213756	5807263.82458739	4891955.79679389	1195958.80036111	2196005.33391588	3428072.10282193	10722183.9301362	3090843.23935542	854093.502135506	1728882.77567334	5982769.10348382	1424714.99284816	2110583.28445651	3223522.59200952
L-Threonine	923874.928325513	1775329.41227897	617984.480659536	530872.5718514	637921.517652106	1395931.03705655	1437337.06511927	1309221.7012812	887160.632505565	1267403.01636535	968291.676720186	857313.341047439	1560454.43786325	1810641.1037616	1045676.8857286	1105307.32676016	1077074.68380679	992525.147030923	1000186.40405516	1911338.54070942	1254161.58118472	1382129.99156904	1355080.63602229	930567.557230928	1109500.86773465	1262634.78089117	1597393.54122626	1952140.55860026	795536.633916273	1127103.0498634	952953.772039698	1122247.91948974	754280.520699464	1099022.29423688	507299.957797631	676859.44142117	829386.099982365	1655773.14793451	986059.625618002	928081.323646823	722718.769082795	888778.726975452	702802.453298399	868111.429114267	1372989.3542741	1103338.87546518	708781.097332616	1144614.96619171	1003458.27707484	659203.078504068	997959.499854102	1347135.6058339	641073.386415994	879222.24153441	807365.540345886	1156147.04783242	947254.750316571	905242.471174124	1168939.41390693	1184666.03575901	948239.952959151	1399034.79332084	1112603.62330686	1578549.3796477	1447679.73180435	1278057.14044163	1240195.91052948	1171925.505477	1086003.69144662	973339.529901107	1327023.39278544	902898.057534373	1171653.60745971	1801088.71283954	1293955.78372007	1051211.05346766	794545.83444762	827787.364196453	669131.108252029	625919.87565746	1188287.26208451	2257556.61490751	759947.705486272	1122410.48109219	820249.299794203	917309.306368319	1506980.61345756	811575.271597883	1074052.70063732	1032654.61414657	614121.751190649	496543.163527181	950597.380284107	776335.993665195	1539036.99038989	1268830.79319397	892947.565854585	506802.549338155	1706118.80482168	2057270.14150281	938035.213037992	976847.601540503	1847447.18760237	3328690.80933187	1027320.12851255	779540.027788032	869393.230748368	1278720.17923322	744146.687407654	586347.48069909	1084855.3701308
