sample	D300420	D300421	D300428	D300430	D300451	D300454	D300459	D300462	D300466	D300468	D300476	D300480	D300483	D300487	D300498	D300509	D300510	D300516	D300517	D300525	D300529
animal_x	G004	G013	G020	G003	G009	G012	G005	G002	G014	G010	G007	G023	G016	G006	G008	G019	G017	G018	G021	G011	G024
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1
day	7	28	35	7	21	21	14	7	28	21	14	35	28	14	21	35	28	28	35	21	35
treatment_expl	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic	Pathogen&Probiotic
dpi	0	21	28	0	14	14	7	0	21	14	7	28	21	7	14	28	21	21	28	14	28
day_code	a	d	e	a	c	c	b	a	d	c	b	e	d	b	c	e	d	d	e	c	e
type_simple	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
L-Asparagine	4115.37791503571	42407.5366733871	71441.7611023157		20806.7843180977	29595.2226053134	3990.32722454642	5516.25254474397	72925.4935240999	27768.7479047153	21818.2062456929	93846.1383520565	56256.8214440294	3719.06017504554	19195.7724188752	70015.9292584687	34686.3965528695	39923.5992712477	106991.855519265	27343.0337577049	90921.760957879
L-Glutamic acid	3724094.18178522	3384924.72778087	3327704.06417168		3074488.82028051	2463368.86267713	3851971.7333446	2862135.60083746	2155364.12184883	3664198.99512217	3328180.11027879	5177221.59786423	3141929.60955853	3382922.70397549	3819263.0046871	5138376.45795444	3379609.05854575	4782826.71152587	3904586.43473892	2172640.03345649	3523988.08099889
Pantothenic acid	779530.896748074	30539.6678355151	30849.5929788717		41285.5796936942	56490.9110481712	869090.056302163	361438.929523345	20569.2258235094	51914.0520950288	346248.432076827	34343.3984965351	67986.6861378991	623090.406999485	22178.1691852904	23256.2314386145	26778.2835110701	52135.7881860269	45425.715733282	45409.1431979708	31369.1143654671
L-Alanine	16081.621975924	34946.6193020637	20537.4702793975		28707.3249696937	18376.3622391263	10863.2304826625	24011.8722517756	34747.9487887389	21802.1226647053	38369.8929911203	37757.9166972901	66772.6615528395	19583.3808381146	23576.9921264786	17438.4239166084	19311.3313724555	19112.7325724578	56114.6125817295	28971.8676237773	50771.0010902399
L-Serine	100603.168184739	279523.764607492	103771.960553636		409838.598425072	399733.467040861	70086.3021839945	186156.935123226	222980.315735968	254338.840838563	605905.431341261	272235.268840785	1111682.29788231	339471.628351943	134861.900304464	93180.0038547216	70379.4350557998	162726.203854242	354784.599344428	734691.830820775	232218.065767815
L-Proline	122048336.33707	16908091.3995128	13406200.2374728		31480792.2552411	21395121.0798878	41342302.1796512	69936914.9362503	12486153.1050461	18779216.8076187	37007977.061619	18817815.9388492	14837057.024909	38666560.8759664	20871696.9053783	16690967.8735789	16461339.4196529	14571991.6928789	15675495.967069	22783080.0337712	16521306.2212459
L-Valine	505982.048455522	1789694.51895334	2458323.66726031		1395437.74814255	1954085.7630102	682533.647148833	787143.641074013	2585711.01057862	1465201.33279272	2736470.87923108	5263210.58899694	4046409.01568536	1083864.9853681	1367248.62188526	1974765.4135151	2465371.28501079	2939360.26213756	5807263.82458739	1728882.77567334	3223522.59200952
L-Threonine	617984.480659536	530872.5718514	968291.676720186		754280.520699464	676859.44142117	722718.769082795	868111.429114267	1144614.96619171	659203.078504068	905242.471174124	1399034.79332084	1447679.73180435	1086003.69144662	625919.87565746	614121.751190649	496543.163527181	506802.549338155	1706118.80482168	869393.230748368	1084855.3701308
Niacinamide	1236392.93534256	141841.619829352	122843.729720264		116653.945134934	100337.214334934	1876416.46625993	488818.505445921	178864.923033031	113039.78284775	124923.819186731	148748.595455072	331320.461367333	1015245.58664404	131078.293511509	263636.42816082	368732.691952948	171389.614381078	311622.090261428	133206.270051643	306719.268918141
Nicotinic acid	2787949.00451998	677936.14532037	281448.802185979		837198.062048338	1161912.7008631	3067714.89317895	1451910.55563212	426977.764980407	822052.478511312	1857974.73254358	553335.133070201	983908.895315458	3559002.60356503	787929.371874428	1058153.91341093	1212537.38249851	679719.736623254	911016.986357349	1162122.46067091	1166468.47018398
L-Isoleucine	545825.378962695	945042.961655232	1513331.03572636		1497239.19413596	1339489.23190188	572549.736642518	598900.094099136	1215066.44642279	1161458.52629911	1351946.62439139	4171149.4630928	1679492.2136061	1186986.87851265	893429.376786051	810229.812746511	585042.353898826	909073.51245175	3447726.04426046	1392064.80954019	1523312.03145023
L-Leucine	998892.861715815	1641011.40105695	2885936.05469826		2140346.21113651	1580513.39986819	1039652.03553243	1066095.35944397	2756111.4383924	1816502.91390632	3121844.99453284	6693634.62127591	3246289.17631634	2733500.0869202	1456788.21324585	1462675.63270879	1389850.47675822	1607938.39322411	6273104.11151944	2281088.13360012	3101438.29483932
L-Aspartic Acid	612477.29475459	466091.031581266	761322.917644897		948715.731314185	650725.512213325	454350.238889491	458010.022971917	594169.183875318	867933.609154104	689361.409021353	807637.134648214	1095803.71548717	368827.754169552	535298.503300695	420826.77250661	512413.88265812	598512.78034476	917199.670890345	741824.63877426	481365.615752152
L-Glutamine	547171.752822432	2043721.78411969	2012631.21850405		1061660.22008	696247.698738738	535089.168006037	1687824.84987286	1289146.96897271	755739.02640458	4052035.96170503	4314340.87904375	4046020.17537444	1217745.94343146	981553.949570609	2368072.03654067	1460965.62404458	2573153.82949376	4836005.50118912	1756387.70453029	3523615.9929317
L-Lysine	8349086.81014818	7158019.39997733	10733052.2064489		6092256.48039606	5577929.67943132	8810684.04629258	5570949.42486609	8949321.31142182	7088876.36379133	6604626.35944467	10267686.255417	7515972.14806658	7599441.52195719	7711730.7177928	8458496.33526578	7677461.56769097	8324169.06554577	12126568.982177	6732488.68750725	9095197.15103665
L-Methionine	197114.760398641	255298.671483289	233608.548145041		269892.576002705	333145.826055841	172707.140740851	239372.549154605	166114.099470919	211362.288634827	371094.905945182	415289.651633178	260403.001200948	277737.465354941	124992.966625289	226423.381725878	256895.949543423	191646.837338651	105221.193703615	340135.400902577	433754.940564701
L-Histidine	585351.546441363	2125533.96878918	2033926.72015983		1246193.70437996	1024546.60853901	630815.78129374	448646.629305754	2193651.07045298	1448084.78853015	1262135.05750073	3033100.41100714	2479508.60796649	713026.287825621	907349.415965754	2761240.46835575	2283808.69348441	2460825.34478016	2450148.99370532	1204375.59771752	3150232.79623692
L-Phenylalanine	817680.78941111	528435.039831676	681458.30512943		1883922.09856307	1005837.47107135	480322.134387448	555864.684311891	646761.506881542	1332456.80413608	2686876.16699784	1339175.85071551	835750.543788883	1753630.50505713	985032.66670117	608551.385326433	525748.264666951	577127.705671266	968064.798713094	1537512.0705063	926076.792379052
Pyridoxamine	958096.893391971	345111.695915348	338494.39315047		479144.767910037	549059.585129004	504472.567059328	506392.900647314	344975.118337439	200071.38641957	766505.854904999	653165.194284023	475000.774041387	544826.602693063	105606.386167676	412759.381267434	461392.293397824	404782.078017688	237162.375746882	761257.977551184	652172.438660954
Pyridoxine	5335448.86312373	3317341.89509854	3447622.42076495		3649583.5877486	3269727.76363976	2634174.327525	5788857.02998048	3989113.87613998	3534622.98642538	4376536.6101539	3251342.9846429	2306119.39485081	3301746.64914828	3603355.0073258	3099145.49998754	2729609.64622016	3266604.9668769	2737868.15116087	4007835.94053623	3930989.76303167
L-Arginine	4477350.14516451	4422529.02984121	6914113.68114786		4600717.05672179	2557303.21387435	2876824.2145309	2771855.43290166	5568490.32857658	4382834.9414142	3625572.79881171	8146033.44955926	6794638.71972089	2226143.07367082	3653772.78659701	5262362.99384756	3748090.81706083	4310493.01149305	9796903.56441032	4291712.38622843	5466990.96836613
L-Tyrosine	376374.231336048	407624.366220221	632785.722057302		676358.324937445	427363.05488429	374898.276490196	359246.998160812	452328.508924273	463288.425812592	672153.312981055	945328.496618071	605079.275620129	526227.279512977	341450.402791481	428142.431672516	328951.773787001	392844.86918001	923467.435880421	519878.358243316	573342.874455709
L-Tryptophan	838408.858547822	516201.872562084	584057.223898694		700905.210597447	518074.659057941	734133.770958564	650422.519583101	827324.784042501	603873.946360258	836231.77662746	920573.975237931	824952.992775286	676495.749508391	731815.276706748	527565.273119213	483945.584089889	387045.586719337	899659.133867964	628647.406451426	1153875.91526452
Thiamine	398817.559582186	333257.008480889	402106.992619301		548102.889271037	786082.217834244	996705.196849242	1655512.32911804	271272.119813972	332742.463628482	2424759.56749733	496498.552120749	1242454.46197879	1393204.14267031	269355.477639247	381920.323266041	385192.433851038	365657.229134487	1018567.30812313	1792615.32924424	550048.153944498
Riboflavin	201823.358612819	1961506.32741332	1911616.29848513		1741185.38412742	3215209.28132227	373489.867128393	781267.399676511	641825.723636761	1241629.59912616	706188.317713551	2153580.21882443	146030.579954823	365890.445615294	487349.429445538	2977830.27808862	1621812.1821475	1822311.4339503	37468.7755028997	1381389.80179013	2031312.08920037
a-Tocopheryl acetate	4826150.13047076	6049713.01967574	5148739.58556668		8531385.09802246	4430969.37916245	6048622.05977884	5842436.03915851	6054216.32332602	5114475.69097605	4354035.53480055	4846696.82917467	2404956.27246793	4114064.67855695	8545157.35959832	5397607.46489995	3950892.80741863	4245761.76665748	6035138.89816531	5595531.59325962	5651207.71469884
