sample	D300422	D300423	D300424	D300425	D300426	D300432	D300435	D300437	D300440	D300441	D300444	D300447	D300450	D300453	D300456	D300457	D300461	D300465	D300481	D300482	D300485	D300494	D300501	D300523
animal_x	G073	G058	G062	G063	G070	G054	G056	G072	G069	G057	G053	G066	G061	G075	G064	G055	G065	G074	G060	G052	G067	G059	G051	G071
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3
day	35	14	21	21	28	7	14	35	28	14	7	28	21	35	21	14	28	35	21	7	28	14	7	35
treatment_expl	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed	Pathogen&ProbioticFeed
dpi	28	7	14	14	21	0	7	28	21	7	0	21	14	28	14	7	21	28	14	0	21	7	0	28
day_code	e	b	c	c	d	a	b	e	d	b	a	d	c	e	c	b	d	e	c	a	d	b	a	e
type_simple	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
L-Asparagine	51363.1497354544	12634.5203968611	17431.9401239709	6064.47331125641	38157.8584709551	6684.40812884165	20080.9627740531	63255.4750659907	52893.3598415371	7716.6414186499	5579.42102621472	40055.6678442295	6682.31408777901	37279.4881075627	11362.2123094137	5028.90559763965	37691.6209100308	33536.3203845067	6913.5656446908	7957.77498757972	58169.8566388941	5395.24890997775	94876.0419448552	55797.8263877972
L-Glutamic acid	6066042.22212925	2041074.61850158	1728730.16975281	3100411.74404954	3751145.66650459	15076670.4076574	4073604.57637088	5249850.08037904	2467230.98689459	3423360.53902367	2918193.29731171	2773040.00468302	2443161.92734272	4679131.0308772	3503774.02505936	2789070.11541309	3295707.57729069	4389915.45483815	2873264.40668292	3641993.34351309	2753975.1042514	3231210.48554742	9357902.29383375	5614728.42434871
Pantothenic acid	55046.2636228555	584338.685942345	115204.941156538	166497.225815491	49462.3547119726	564963.46908006	483642.768186412	40145.0591788884	104630.147271539	36716.7348158746	902727.599484663	20365.127050301	169011.385203382	53330.4752151302	203860.689985375	66027.3389900235	27689.6788863403	83279.5154052794	200560.239173413	1000281.68644985	40659.7059006238	1569181.84275555	859412.61135731	49323.9189762402
L-Alanine	15379.1662859155	29626.1415912402	34767.8230236641	31058.6192624295	12037.503099832	82917.501120777	20582.6459429074	36645.5317310026	36973.2318443665	27426.8062346842	42804.0435660407	19011.6088695178	27855.1799156406	21340.1959657982	49968.1007614123	13172.0218303597	22685.7938422241	30980.8311219687	20395.8954921878	39697.9410109223	33310.661844478	20320.6053510476	11603.6678803265	37010.9481184684
