sample	D300429	D300431	D300438	D300443	D300448	D300452	D300463	D300471	D300472	D300474	D300488	D300489	D300491	D300500	D300502	D300508	D300511	D300514	D300518	D300521	D300522	D300526
treatment	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4
L-Asparagine	14671.5709889098	5782.70786961138	85119.9803262443	63610.5067566782	66799.1236890541	4719.53370734964	4529.47917513011	73668.3254125363	57429.9848117086	78683.1677742281	40777.5775535632	93764.719512402	109457.39122474	32545.5733315725	43636.2337802249	75881.9967138993	62053.9988461128	67937.4610304372	15350.1141555635	110969.647290303	121933.871269902	78333.6641326378
L-Glutamic acid	4436363.93582744	721889.369851868	6291137.14839829	9346719.01373851	4613222.89530348	2885838.22819643	2807646.76351165	9361106.90684798	4584577.11288046	6971048.89960895	2863847.97634779	3339636.94696108	5255181.553719	1381556.15766558	5335347.73464334	6191130.80647628	7276669.69633144	5216741.18978658	6579662.4774729	7433119.44992929	11295279.1583617	5902004.47467481
Pantothenic acid	409098.897496743	742130.728625507	250728.268761654	49303.0642226417	150836.444687465	1063507.87072042	808693.475341791	714595.226343963	445965.899560307	38296.6506701819	16932.8179521444	41039.4555975581	40326.9688471053	100700.042678329	146850.834996394	19845.883990869	59841.7648323416	31434.7972903658	131510.662483267	78843.4893557653	732593.301973123	58649.390219574
L-Alanine	13233.0497352707	54107.8932357767	44071.1527690182	21908.0070534634	22120.4574177424	20191.4355717484	27222.4377692123	0.0	32326.938383822	25544.4957400908	30850.9595227431	40874.9480196597	43980.955334552	52536.4106842356	12349.6448615772	19522.6550246362	30291.0819226435	47486.0707581583	30945.1633497848	45103.3534816654	132896.479732957	33510.0969023377
L-Serine	191138.066663822	283422.361693195	427532.795678233	138745.438020703	295598.839993955	428812.327491701	339568.656060521	1174818.28528326	567339.330760814	162399.140104891	195268.083990632	801000.421684168	577616.510285944	755086.302610258	269985.452296897	216040.782832298	343085.960713445	258614.991516276	598815.218656778	567681.011651232	1274681.647413	221340.207272775
L-Proline	14892315.5899709	53102694.3227775	25720478.0264693	17203479.2952955	19817650.3652778	37286816.2311277	54599102.2868532	6422410.72767067	19140539.4351893	16948560.7500501	12685703.3847123	15811262.9542262	12588456.6070502	17729266.0329122	21524557.6944761	17005010.1709268	15857510.0756701	16091505.1743218	28708584.6936675	18985765.343811	12733222.8009697	16813174.6648037
L-Valine	2758140.85568491	2421474.959688	5500886.19988458	3370473.77836607	5056964.86094769	991956.005021833	2359373.64499651	33257273.0452024	2062105.86978432	10498214.8864025	12021942.3677178	3279866.18646623	3124842.14231636	7368018.0674571	3338408.48762353	2537099.59240535	3378353.53072242	4037457.3598163	4891955.79679389	3428072.10282193	10722183.9301362	5982769.10348382
L-Threonine	857313.341047439	1560454.43786325	1911338.54070942	1109500.86773465	1127103.0498634	1099022.29423688	1372989.3542741	641073.386415994	879222.24153441	1156147.04783242	973339.529901107	1327023.39278544	1171653.60745971	2257556.61490751	1122410.48109219	1032654.61414657	950597.380284107	1268830.79319397	2057270.14150281	1847447.18760237	3328690.80933187	1278720.17923322
Niacinamide	197824.651165992	213575.213711616	28396.7119129004	235265.07776692	15828.4976125823	220497.18485314	979656.569861223	823079.669613897	124890.381390274	263768.101738438	135509.669693829	240958.80157289	132415.935229884	225963.555231606	19586.7537159931	180862.812744429	125221.726523819	147400.376134768	18572.9674734951	279304.465810424	299256.55167466	269527.704721228
