sample	D300433	D300434	D300436	D300442	D300445	D300455	D300460	D300464	D300469	D300470	D300477	D300479	D300493	D300497	D300499	D300503	D300505	D300507	D300513	D300515	D300520	D300524
animal_x	G105	G111	G103	G108	G101	G114	G112	G123	G116	G107	G106	G104	G120	G125	G121	G122	G119	G110	G113	G124	G118	G115
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
day	14	21	14	14	7	21	21	35	28	14	14	7	28	35	35	35	28	21	21	35	28	28
treatment_expl	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
dpi	7	14	7	7	0	14	14	28	21	7	7	0	21	28	28	28	21	14	14	28	21	21
day_code	b	c	b	b	a	c	c	e	d	b	b	a	d	e	e	e	d	c	c	e	d	d
type_simple	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
L-Asparagine	5713.09443541349	14920.1354181248	5213.61198517184	6995.88204487521	8872.13893445144	7194.70696580428	24476.9619080485	24777.9531866232	35796.144863674	10862.7889264844	12323.4044465505	4622.36333897706	51906.6248400072	38148.0414021217	18142.2584671992	48108.5722361184	73625.6383638053	13881.3199556429	8193.25670795996	35146.2911934052	44964.1460312401	41837.4758089825
L-Glutamic acid	4814153.4120212	3471628.52696546	3925126.0063814	3979426.85726342	3590182.0417752	3861885.3954417	3865735.53888934	3446288.60895411	4734023.61359565	4502333.88334472	3519736.9671134	2604935.9871509	5397017.71707913	3687177.28819695	4477989.80309637	3846286.57761951	4544014.12652766	3517631.57379162	2779564.56483493	3318750.80475557	3661020.48278372	3847137.90821618
Pantothenic acid	417736.197410199	628554.574252003	772025.489909588	908449.704152805	528007.718706118	795896.469287593	375584.541977401	69232.5900608821	92384.7759961705	492689.479442508	741831.884620187	2611265.85654715	114678.39635608	70639.410559495	56576.1033861169	76871.8594369182	108588.908894652	358604.430668962	110839.323825212	95767.2234399979	58268.6277743552	38383.9117732477
