,type,total_edges,co-occurrence,co-exclusion,competition,cooperation
unclassified_Lawsonibacter,taxon,64,15,5,33,11
Intestinimonas pullistercoris,taxon,53,6,10,28,9
Acutalibacter stercoravium,taxon,52,8,9,30,5
Copromonas faecavium,taxon,51,7,6,25,13
Heteroclostridium caecigallinarum,taxon,49,10,4,22,13
Pseudobutyricicoccus lothianensis,taxon,47,9,4,22,12
Gallacutalibacter pullicola,taxon,46,8,9,26,3
UBA1417 sp900552925,taxon,45,5,10,26,4
Coproplasma stercorigallinarum,taxon,43,7,5,20,11
Clostridium_Q saccharolyticum_A,taxon,43,9,5,24,5
Ligilactobacillus salivarius,taxon,42,6,5,19,12
Flavonifractor avistercoris,taxon,42,2,11,21,8
unclassified_Onthovicinus,taxon,40,7,5,18,10
Anaerotignum merdipullorum,taxon,38,10,3,17,8
Lawsonibacter sp900545895,taxon,37,12,1,20,4
Negativibacillus faecipullorum,taxon,37,2,10,18,7
Lawsonibacter sp019424865,taxon,36,7,4,19,6
Choladocola avistercoris,taxon,36,6,6,20,4
Faeciplasma gallinarum,taxon,35,10,1,19,5
Faecousia gallistercoris,taxon,35,6,3,17,9
Eisenbergiella intestinigallinarum,taxon,35,10,3,20,2
Gemmiger avicola,taxon,35,8,3,19,5
Merdivicinus intestinigallinarum,taxon,35,8,4,18,5
Flavonifractor plautii,taxon,34,7,3,17,7
Dysosmobacter avistercoris,taxon,33,6,5,16,6
Pullilachnospira stercoravium,taxon,33,11,2,18,2
Ornithomonoglobus merdipullorum,taxon,33,11,2,16,4
Enterocloster sp944384065,taxon,33,9,2,19,3
Merdisoma sp002160825,taxon,33,10,1,17,5
Onthovicinus excrementipullorum,taxon,33,10,2,20,1
Eisenbergiella sp904392525,taxon,32,10,1,19,2
Merdivicinus excrementipullorum,taxon,32,10,1,15,6
Borkfalkia excrementigallinarum,taxon,32,8,3,19,2
Mediterraneibacter faecigallinarum,taxon,32,10,2,19,1
Anaerostipes butyraticus,taxon,31,7,2,14,8
Eisenbergiella merdigallinarum,taxon,31,9,1,14,7
Flavonifractor avicola,taxon,31,6,3,16,6
unclassified_Mediterraneibacter,taxon,31,6,4,15,6
Alistipes excrementavium,taxon,31,5,4,12,10
Merdisoma faecalis,taxon,30,6,5,16,3
Gemmiger stercoravium,taxon,30,10,2,17,1
Pelethomonas intestinigallinarum,taxon,30,3,5,16,6
Mediterraneibacter faecavium,taxon,30,8,3,14,5
Fournierella sp002161595,taxon,29,7,2,16,4
unclassified_Choladocola,taxon,28,9,1,17,1
Massilimicrobiota merdigallinarum,taxon,28,5,4,15,4
Gordonibacter urolithinfaciens,taxon,28,6,3,14,5
Limosilactobacillus reuteri_E,taxon,28,7,1,14,6
Mediterraneibacter norwichensis,taxon,27,7,3,16,1
Fimenecus stercoravium,taxon,27,8,1,13,5
Roslinia sp019419865,taxon,27,4,4,14,5
Anaerobutyricum stercoris,taxon,26,4,6,13,3
Anaeromassilibacillus stercoravium,taxon,26,6,3,16,1
Acutalibacter sp900755895,taxon,25,5,4,13,3
Enterocloster excrementigallinarum,taxon,25,9,2,10,4
Spyradocola merdavium,taxon,25,7,2,13,3
Acutalibacter ornithocaccae,taxon,25,6,2,16,1
Borkfalkia sp904373255,taxon,25,9,1,13,2
Mediterraneibacter vanvlietii,taxon,25,8,1,14,2
UMGS1370 sp904395885,taxon,25,6,3,14,2
Heritagella sp905215105,taxon,24,8,1,14,1
Coproplasma avistercoris,taxon,24,6,1,10,7
Lactobacillus johnsonii,taxon,24,6,0,10,8
Mediterraneibacter excrementipullorum,taxon,24,4,5,12,3
Enterocloster excrementipullorum,taxon,23,6,2,13,2
Blautia_A intestinavium,taxon,23,6,2,13,2
Choladocola sp944381625,taxon,23,8,3,10,2
Lachnoclostridium_B sp002160985,taxon,23,3,6,13,1
Pararuminococcus gallinarum,taxon,23,6,1,11,5
Coprocola pullicola,taxon,22,5,3,11,3
Merdibacter merdigallinarum,taxon,21,6,1,11,3
treatment_TG3,metavar,21,15,6,0,0
Dysosmobacter pullicola,taxon,21,4,2,11,4
Lawsonibacter asaccharolyticus,taxon,20,3,2,9,6
Romboutsia sp904418825,taxon,20,5,0,9,6
Agathobaculum stercoravium,taxon,20,1,6,10,3
Hungatella_B pullicola,taxon,20,4,2,10,4
Harrysmithimonas galli,taxon,20,4,2,9,5
Mediterraneibacter intestinigallinarum,taxon,20,3,3,9,5
Mediterraneibacter sp019418195,taxon,20,6,1,12,1
Acutalibacter pullistercoris,taxon,20,6,1,11,2
Escherichia coli,taxon,20,5,3,6,6
Lachnoclostridium_A stercorigallinarum,taxon,19,3,3,12,1
Mediterraneibacter faecipullorum,taxon,19,5,1,12,1
Blautia stercorigallinarum,taxon,19,7,0,9,3
Intestinimonas stercoravium,taxon,18,4,1,9,4
Thomasclavelia spiroformis,taxon,18,5,2,9,2
treatment_TG2,metavar,18,13,5,0,0
Lawsonibacter pullicola,taxon,18,5,2,11,0
An181 sp002160325,taxon,18,8,0,9,1
CAJFUH01 sp904420155,taxon,18,3,2,9,4
Caccousia avistercoris,taxon,18,7,0,10,1
Gallimonas merdigallinarum,taxon,18,3,3,11,1
Agathobaculum intestinigallinarum,taxon,17,3,3,10,1
Angelakisella sp904420255,taxon,17,2,2,8,5
Lactobacillus gallinarum,taxon,17,3,1,8,5
Egerieicola faecale,taxon,17,3,2,8,4
Borkfalkia sp904374385,taxon,16,4,1,8,3
Mediterraneibacter merdigallinarum,taxon,16,4,1,7,4
Neoanaerotignum_A tabaqchaliae,taxon,16,3,2,7,4
unclassified_Merdibacter,taxon,15,4,0,7,4
