,type,total_edges,co-occurrence,co-exclusion,competition,cooperation
Mediterraneibacter,taxon,301,80,28,159,34
Lawsonibacter,taxon,175,42,14,92,27
Acutalibacter,taxon,122,25,16,70,11
Borkfalkia,taxon,117,32,8,63,14
Flavonifractor,taxon,107,15,17,54,21
Eisenbergiella,taxon,106,32,5,57,12
Intestinimonas,taxon,92,14,13,49,16
Choladocola,taxon,87,23,10,47,7
Enterocloster,taxon,81,24,6,42,9
Onthovicinus,taxon,73,17,7,38,11
Merdisoma,taxon,71,18,7,38,8
Dysosmobacter,taxon,68,15,7,34,12
Coproplasma,taxon,67,13,6,30,18
Merdivicinus,taxon,67,18,5,33,11
Gemmiger,taxon,65,18,5,36,6
Lachnoclostridium_A,taxon,62,13,9,33,7
Lactobacillus,taxon,54,11,2,24,17
Agathobaculum,taxon,52,8,12,26,6
Copromonas,taxon,51,7,6,25,13
Anaerotignum,taxon,51,15,3,22,11
Heteroclostridium,taxon,49,10,4,22,13
Pseudobutyricicoccus,taxon,47,9,4,22,12
Gallacutalibacter,taxon,46,8,9,26,3
UBA1417,taxon,45,5,10,26,4
Ornithomonoglobus,taxon,43,13,3,22,5
Clostridium_Q,taxon,43,9,5,24,5
Ligilactobacillus,taxon,42,6,5,19,12
Anaerostipes,taxon,39,9,3,18,9
Blautia,taxon,38,12,2,19,5
Negativibacillus,taxon,37,2,10,18,7
Massilimicrobiota,taxon,36,6,7,19,4
Merdibacter,taxon,36,10,1,18,7
Faecousia,taxon,35,6,3,17,9
Faeciplasma,taxon,35,10,1,19,5
Anaerobutyricum,taxon,34,6,7,16,5
Pullilachnospira,taxon,33,11,2,18,2
Alistipes,taxon,31,5,4,12,10
Thomasclavelia,taxon,31,6,4,14,7
Pelethomonas,taxon,30,3,5,16,6
Blautia_A,taxon,29,8,3,16,2
Fournierella,taxon,29,7,2,16,4
Limosilactobacillus,taxon,28,7,1,14,6
Gordonibacter,taxon,28,6,3,14,5
Fimenecus,taxon,27,8,1,13,5
Roslinia,taxon,27,4,4,14,5
Anaeromassilibacillus,taxon,26,6,3,16,1
UMGS1370,taxon,25,6,3,14,2
Scatosoma,taxon,25,6,2,14,3
Spyradocola,taxon,25,7,2,13,3
Heritagella,taxon,24,8,1,14,1
Lachnoclostridium_B,taxon,23,3,6,13,1
CAG-273,taxon,23,4,2,9,8
Pararuminococcus,taxon,23,6,1,11,5
Coprocola,taxon,22,5,3,11,3
Eubacterium_R,taxon,22,5,2,12,3
treatment_TG3,metavar,21,15,6,0,0
Hungatella_B,taxon,20,4,2,10,4
Caccovicinus,taxon,20,6,2,11,1
Harrysmithimonas,taxon,20,4,2,9,5
Romboutsia,taxon,20,5,0,9,6
Escherichia,taxon,20,5,3,6,6
Caccousia,taxon,18,7,0,10,1
CAJFUH01,taxon,18,3,2,9,4
Gallimonas,taxon,18,3,3,11,1
An181,taxon,18,8,0,9,1
treatment_TG2,metavar,18,13,5,0,0
Egerieicola,taxon,17,3,2,8,4
Angelakisella,taxon,17,2,2,8,5
Neoanaerotignum_A,taxon,16,3,2,7,4
unclassified_Oscillospiraceae,taxon,15,1,3,6,5
treatment_TG1,metavar,15,12,3,0,0
UMGS775,taxon,15,4,0,8,3
Anaerotruncus,taxon,14,3,1,8,2
treatment_TG5,metavar,14,12,2,0,0
Sellimonas,taxon,14,3,1,7,3
treatment_TG4,metavar,14,13,1,0,0
Merdimonas,taxon,13,5,0,8,0
unclassified_Acutalibacteraceae,taxon,13,1,3,7,2
UBA4716,taxon,13,4,0,7,2
Avimicrobium,taxon,13,3,2,6,2
