,occurrences_across_networks,interaction_types,networks_with_the_edge
Mediterraneibacter-treatment_TG3,6,"{'co-exclusion', 'co-occurrence'}","{'day21', 'day28', 'day14', 'day07', 'day35'}"
L-Isoleucine-L-Leucine,5,{'co-occurrence'},"{'day21', 'day28', 'day14', 'day07', 'day35'}"
Acutalibacter-Merdivicinus,5,"{'competition', 'co-occurrence'}","{'day14', 'day21', 'day28'}"
Dysosmobacter-Borkfalkia,5,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
Merdivicinus-treatment_TG2,5,"{'co-exclusion', 'co-occurrence'}","{'day35', 'day21', 'day28'}"
Merdisoma-Mediterraneibacter,5,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day21', 'day28'}"
Lawsonibacter-Lawsonibacter,4,"{'competition', 'co-occurrence'}","{'day14', 'day07', 'day21'}"
Onthovicinus-Mediterraneibacter,4,"{'cooperation', 'co-exclusion', 'competition', 'co-occurrence'}","{'day14', 'day35', 'day28'}"
Mediterraneibacter-Mediterraneibacter,4,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Intestinimonas-Copromonas,4,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day14', 'day21', 'day28'}"
Acutalibacter-Mediterraneibacter,4,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day14', 'day35', 'day07'}"
Eisenbergiella-Eisenbergiella,4,"{'competition', 'co-occurrence'}","{'day07', 'day35', 'day21', 'day28'}"
Agathobaculum-Massilimicrobiota,4,"{'cooperation', 'co-exclusion', 'competition', 'co-occurrence'}","{'day35', 'day21', 'day28'}"
L-Phenylalanine-L-Tyrosine,4,{'co-occurrence'},"{'day14', 'day35', 'day21', 'day28'}"
Lawsonibacter-Acutalibacter,3,"{'competition', 'co-occurrence'}","{'day35', 'day21', 'day28'}"
An181-treatment_TG3,3,{'co-occurrence'},"{'day14', 'day07', 'day21'}"
Mediterraneibacter-Merdimonas,3,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Fournierella-Mediterraneibacter,3,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day21', 'day07'}"
Onthovicinus-treatment_TG1,3,{'co-occurrence'},"{'day35', 'day21', 'day28'}"
Gallacutalibacter-Choladocola,3,"{'competition', 'co-exclusion'}","{'day14', 'day21', 'day28'}"
Intestinimonas-Mediterraneibacter,3,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day28'}"
Acutalibacter-Eisenbergiella,3,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day21', 'day28'}"
Mediterraneibacter-Pullilachnospira,3,"{'competition', 'co-occurrence'}","{'day14', 'day35', 'day21'}"
Flavonifractor-Merdisoma,3,"{'cooperation', 'competition', 'co-occurrence'}","{'day14', 'day35', 'day28'}"
Negativibacillus-Mediterraneibacter,3,"{'cooperation', 'competition', 'co-exclusion'}","{'day35', 'day21', 'day28'}"
Flavonifractor-Mediterraneibacter,3,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day21', 'day28'}"
Mediterraneibacter-Massilimicrobiota,3,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
L-Alanine-L-Glutamine,3,{'co-occurrence'},"{'day14', 'day35', 'day21'}"
Lawsonibacter-Enterocloster,3,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Mediterraneibacter-Borkfalkia,3,"{'co-exclusion', 'competition', 'co-occurrence'}","{'day14', 'day21', 'day28'}"
Eisenbergiella-Lactobacillus,3,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day21', 'day28'}"
Choladocola-Mediterraneibacter,3,"{'competition', 'co-occurrence'}","{'day14', 'day35', 'day28'}"
Gallacutalibacter-L-Arginine,2,{'co-exclusion'},"{'day21', 'day28'}"
UMGS1370-Mediterraneibacter,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day21'}"
Acutalibacter-Coprocola,2,"{'competition', 'co-exclusion'}","{'day14', 'day28'}"
Heritagella-Blautia,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
L-Leucine-L-Methionine,2,{'co-occurrence'},"{'day14', 'day21'}"
Fimenecus-Lachnoclostridium_A,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
Dysosmobacter-Copromonas,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
L-Alanine-L-Serine,2,{'co-occurrence'},"{'day21', 'day28'}"
L-Threonine-L-Glutamine,2,{'co-occurrence'},"{'day21', 'day28'}"
Merdisoma-Lachnoclostridium_A,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Lawsonibacter-Mediterraneibacter,2,"{'cooperation', 'competition', 'co-exclusion'}","{'day35', 'day28'}"
Choladocola-Blautia_A,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day21', 'day28'}"
Anaerotignum-Enterocloster,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day14', 'day35'}"
Faeciplasma-Heteroclostridium,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day21'}"
Lawsonibacter-Blautia_A,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day21', 'day28'}"
L-Arginine-L-Tryptophan,2,{'co-occurrence'},"{'day21', 'day28'}"
Coproplasma-Massilimicrobiota,2,"{'cooperation', 'competition', 'co-exclusion'}","{'day35', 'day28'}"
Gemmiger-treatment_TG4,2,{'co-occurrence'},"{'day35', 'day21'}"
Lachnoclostridium_A-treatment_TG5,2,{'co-exclusion'},"{'day35', 'day28'}"
Mediterraneibacter-Enterocloster,2,"{'competition', 'co-exclusion'}",{'day21'}
Lawsonibacter-treatment_TG2,2,"{'co-exclusion', 'co-occurrence'}","{'day35', 'day21'}"
Agathobaculum-L-Serine,2,"{'co-exclusion', 'co-occurrence'}","{'day14', 'day35'}"
L-Alanine-L-Threonine,2,{'co-occurrence'},"{'day14', 'day35'}"
Merdisoma-Anaerobutyricum,2,"{'competition', 'co-exclusion'}","{'day14', 'day21'}"
CAJFUH01-Ligilactobacillus,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
Choladocola-Limosilactobacillus,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Lawsonibacter-Lactobacillus,2,"{'cooperation', 'co-exclusion', 'competition', 'co-occurrence'}","{'day35', 'day07'}"
Acutalibacter-Anaerotignum,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day14', 'day21'}"
Heritagella-Merdibacter,2,"{'co-exclusion', 'competition', 'co-occurrence'}","{'day35', 'day21'}"
Agathobaculum-Intestinimonas,2,"{'competition', 'co-exclusion'}","{'day21', 'day28'}"
Lawsonibacter-Borkfalkia,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}",{'day35'}
Intestinimonas-Lactobacillus,2,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Lawsonibacter-Egerieicola,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}",{'day21'}
Flavonifractor-Dysosmobacter,2,"{'competition', 'co-exclusion'}","{'day21', 'day28'}"
Lawsonibacter-UBA1417,2,"{'competition', 'co-exclusion'}","{'day07', 'day28'}"
Negativibacillus-treatment_TG3,2,{'co-exclusion'},"{'day14', 'day21'}"
Intestinimonas-Faecousia,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day14', 'day21'}"
Lawsonibacter-Pelethomonas,2,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Onthovicinus-Gallimonas,2,"{'competition', 'co-exclusion'}","{'day35', 'day28'}"
Clostridium_Q-Ligilactobacillus,2,"{'competition', 'co-exclusion'}","{'day14', 'day07'}"
Mediterraneibacter-Nicotinic acid,2,{'co-occurrence'},{'day21'}
Niacinamide-Nicotinic acid,2,"{'co-exclusion', 'co-occurrence'}","{'day14', 'day21'}"
Onthovicinus-Borkfalkia,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}",{'day35'}
Flavonifractor-Clostridium_Q,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}",{'day35'}
Fimenecus-treatment_TG5,2,{'co-occurrence'},"{'day35', 'day28'}"
Eisenbergiella-Mediterraneibacter,2,"{'competition', 'co-occurrence'}","{'day35', 'day21'}"
Anaeromassilibacillus-Eisenbergiella,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day21', 'day28'}"
Pseudobutyricicoccus-Merdivicinus,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day21'}"
Lawsonibacter-Scatosoma,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day21', 'day28'}"
Choladocola-An181,2,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Heritagella-Borkfalkia,2,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Alistipes-Mediterraneibacter,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day28'}"
UBA1417-Clostridium_Q,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day21', 'day28'}"
UBA1417-Lachnoclostridium_A,2,"{'competition', 'co-exclusion'}","{'day21', 'day28'}"
Pseudobutyricicoccus-treatment_TG2,2,{'co-occurrence'},"{'day07', 'day28'}"
Dysosmobacter-treatment_TG3,2,{'co-exclusion'},"{'day14', 'day28'}"
Onthovicinus-Anaerostipes,2,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Alistipes-treatment_TG1,2,{'co-occurrence'},"{'day21', 'day28'}"
Merdisoma-Merdibacter,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day21', 'day28'}"
Enterocloster-Clostridium_Q,2,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Pseudobutyricicoccus-Blautia_A,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day21'}"
Agathobaculum-Lawsonibacter,2,"{'cooperation', 'co-exclusion', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
Choladocola-Scatosoma,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day21', 'day28'}"
Anaerotignum-treatment_TG5,2,{'co-occurrence'},"{'day21', 'day28'}"
Ornithomonoglobus-Anaerotignum,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day14', 'day35'}"
Choladocola-Enterocloster,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Alistipes-Onthovicinus,2,"{'cooperation', 'co-exclusion', 'competition', 'co-occurrence'}","{'day35', 'day21'}"
Pararuminococcus-Enterocloster,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Eubacterium_R-Gemmiger,2,"{'competition', 'co-occurrence'}",{'day35'}
Intestinimonas-Coproplasma,2,"{'cooperation', 'competition', 'co-exclusion', 'co-occurrence'}",{'day28'}
Borkfalkia-Gallimonas,2,"{'competition', 'co-occurrence'}","{'day21', 'day28'}"
Merdivicinus-Enterocloster,2,"{'cooperation', 'competition', 'co-occurrence'}",{'day35'}
Faecousia-Gallacutalibacter,2,"{'cooperation', 'competition', 'co-occurrence'}","{'day35', 'day28'}"
