,occurrences_across_networks,interaction_types
L-Isoleucine-L-Leucine,5,{'co-occurrence'}
Eisenbergiella intestinigallinarum-Eisenbergiella sp904392525,4,"{'co-occurrence', 'competition'}"
L-Phenylalanine-L-Tyrosine,4,{'co-occurrence'}
L-Leucine-L-Tryptophan,4,{'co-occurrence'}
L-Lysine-L-Arginine,3,{'co-occurrence'}
Lawsonibacter sp900545895-Lawsonibacter pullicola,3,"{'co-occurrence', 'competition'}"
L-Threonine-L-Glutamine,3,{'co-occurrence'}
Dysosmobacter pullicola-Enterocloster excrementigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Leucine-L-Methionine,2,{'co-occurrence'}
Ruminococcus_G avistercoris-Mediterraneibacter norwichensis,2,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Lawsonibacter sp900545895,2,"{'co-occurrence', 'cooperation', 'competition'}"
Escherichia coli-Flavonifractor plautii,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Methionine-Pyridoxamine,2,{'co-occurrence'}
Anaerotignum merdipullorum-Lachnoclostridium_A stercorigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Valine-L-Histidine,2,{'co-occurrence'}
Blautia ornithocaccae-Enterocloster excrementigallinarum,2,"{'co-occurrence', 'competition'}"
Blautia ornithocaccae-Thomasclavelia spiroformis,2,"{'co-occurrence', 'competition'}"
Proteus mirabilis-Lactobacillus crispatus,2,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter sp019418195-Thomasclavelia spiroformis,2,"{'competition', 'co-occurrence', 'co-exclusion'}"
Proteus mirabilis-Thomasclavelia ramosa,2,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor plautii-Negativibacillus faecipullorum,2,"{'co-occurrence', 'cooperation', 'competition'}"
Escherichia coli-Pantothenic acid,2,{'co-occurrence'}
L-Serine-L-Glutamine,2,{'co-occurrence'}
L-Threonine-L-Leucine,2,{'co-occurrence'}
Coprocola pullicola-Choladocola avistercoris,2,"{'co-occurrence', 'competition'}"
Klebsiella pneumoniae-Enterocloster excrementigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Alanine-L-Serine,2,{'co-occurrence'}
Lawsonibacter sp019424865-Faecousia gallistercoris,2,"{'co-occurrence', 'competition'}"
Klebsiella pneumoniae-Faecousia gallistercoris,2,"{'competition', 'cooperation', 'co-exclusion'}"
L-Alanine-L-Glutamine,2,{'co-occurrence'}
Acutalibacter ornithocaccae-Pyridoxine,1,{'co-occurrence'}
L-Methionine-L-Tryptophan,1,{'co-occurrence'}
L-Lysine-L-Tryptophan,1,{'co-occurrence'}
Pullilachnospira stercoravium-L-Tyrosine,1,{'co-exclusion'}
Heritagella sp905215105-Niacinamide,1,{'co-occurrence'}
Flavonifractor avistercoris-L-Arginine,1,{'co-exclusion'}
Dysosmobacter faecalis-L-Methionine,1,{'co-occurrence'}
Flavonifractor plautii-Pyridoxine,1,{'co-occurrence'}
Eisenbergiella merdigallinarum-Niacinamide,1,{'co-exclusion'}
Faecivivens stercoravium-L-Isoleucine,1,{'co-occurrence'}
L-Glutamic acid-L-Aspartic Acid,1,{'co-occurrence'}
Nicotinic acid-L-Methionine,1,{'co-occurrence'}
Caccovicinus merdipullorum-a-Tocopheryl acetate,1,{'co-exclusion'}
L-Methionine-Thiamine,1,{'co-occurrence'}
Klebsiella pneumoniae-Intestinimonas stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
L-Lysine-a-Tocopheryl acetate,1,{'co-occurrence'}
Klebsiella pneumoniae-Escherichia coli,1,"{'co-occurrence', 'competition'}"
Acutalibacter sp900755895-unclassified_Blautia,1,"{'co-occurrence', 'competition'}"
Proteus mirabilis-Eisenbergiella sp904392525,1,"{'competition', 'cooperation', 'co-exclusion'}"
CAG-269 sp904419495-Mediterraneibacter sp019418195,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gallacutalibacter pullicola-Mediterraneibacter faecavium,1,"{'co-occurrence', 'competition'}"
UBA4716 sp905215805-Mediterraneibacter merdigallinarum,1,"{'co-occurrence', 'competition'}"
Eisenbergiella merdavium-Ruminococcus_G avistercoris,1,"{'co-occurrence', 'competition'}"
Acutalibacter sp904391645-Ruminococcus_G avistercoris,1,"{'co-occurrence', 'competition'}"
Agathobaculum stercoravium-Ruminococcus_G avistercoris,1,"{'competition', 'co-exclusion'}"
Negativibacillus faecipullorum-Eisenbergiella merdavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Proteus mirabilis-Eisenbergiella intestinigallinarum,1,"{'competition', 'cooperation', 'co-exclusion'}"
Intestinimonas pullistercoris-unclassified_Choladocola,1,"{'co-occurrence', 'competition'}"
Onthovicinus excrementipullorum-Anaerotignum merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gallacutalibacter pullicola-Anaerotignum merdipullorum,1,"{'co-occurrence', 'competition'}"
Proteus mirabilis-Fimicola sp944379995,1,{'co-occurrence'}
Flavonifractor plautii-Anaerotruncus colihominis,1,"{'co-occurrence', 'competition'}"
Faecousia gallistercoris-Merdivicinus intestinigallinarum,1,"{'competition', 'cooperation', 'co-exclusion'}"
