sperm_animal	ornithine	sample	animal	treatment
G124M	372164.230588826	D300418	G041	TG2
G030M	430819.44012178	D300419	G026	TG2
G066M	304030.316326738	D300420	G004	TG1
G044M	753763.882409348	D300421	G013	TG1
G020M	503284.592174891	D300422	G073	TG3
G113M	541424.661125627	D300423	G058	TG3
G031M	544786.183557315	D300424	G062	TG3
G050M	598665.164432659	D300425	G063	TG3
G118M	514689.766403238	D300426	G070	TG3
G087M	876420.566066562	D300427	G045	TG2
G042M	730639.938298946	D300428	G020	TG1
G076M	328374.457898049	D300429	G082	TG4
G097M	564380.831325993	D300430	G003	TG1
G065M	229812.334913658	D300431	G079	TG4
G005M	365868.538209426	D300432	G054	TG3
G073M	619580.436452185	D300433	G105	TG5
G108M	268999.546796381	D300434	G111	TG5
G085M	872504.279986671	D300435	G056	TG3
G072M	887871.443081932	D300436	G103	TG5
G011M	408548.096163394	D300437	G072	TG3
G058M	1197684.53166109	D300438	G088	TG4
G009M	365580.867047623	D300439	G036	TG2
G125M	351413.936179425	D300440	G069	TG3
G041M	984625.54558004	D300441	G057	TG3
G071M	354796.579600784	D300442	G108	TG5
G049M	942503.940740812	D300443	G097	TG4
G112M	354568.821150812	D300444	G053	TG3
G004M	395054.578230476	D300445	G101	TG5
G033M	482433.893459981	D300446	G027	TG2
G051M	765946.186815146	D300447	G066	TG3
G047M	1047929.70575623	D300448	G087	TG4
G023M	1051259.77716548	D300449	G029	TG2
G037M	471755.475278486	D300450	G061	TG3
G086M	943162.631479911	D300451	G009	TG1
G120M	741773.470649649	D300452	G076	TG4
G103M	207368.853705493	D300453	G075	TG3
G021M	1569087.27718016	D300454	G012	TG1
G064M	266596.679597685	D300455	G114	TG5
G060M	395120.90308954	D300456	G064	TG3
G099M	1359650.14453975	D300457	G055	TG3
G057M	302059.834403738	D300458	G046	TG2
G084M	1332237.82067168	D300459	G005	TG1
G096M	836499.441216944	D300460	G112	TG5
G028M	256968.007699662	D300461	G065	TG3
G093M	716185.442314759	D300462	G002	TG1
G091M	442965.906672909	D300463	G077	TG4
G002M	396765.170576539	D300464	G123	TG5
G106M	201719.480144637	D300465	G074	TG3
G116M	332440.658841626	D300466	G014	TG1
G054M	2677509.01042472	D300467	G042	TG2
G008M	355248.86210217	D300468	G010	TG1
G115M	402720.306731601	D300469	G116	TG5
G014M	668889.446606385	D300470	G107	TG5
G052M	615474.078403438	D300471	G080	TG4
G063M	437816.446531653	D300472	G081	TG4
G039M	547065.221093024	D300473	G032	TG2
G090M	609920.813476115	D300474	G095	TG4
G018M	580321.319226869	D300475	G035	TG2
G013M	338418.195390177	D300476	G007	TG1
G122M	377331.027944794	D300477	G106	TG5
G069M	448264.876770494	D300478	G047	TG2
G040M	407239.126657924	D300479	G104	TG5
G075M	324559.426637492	D300480	G023	TG1
G098M	812051.246977308	D300481	G060	TG3
G036M	717514.874331315	D300482	G052	TG3
G006M	353195.206258396	D300483	G016	TG1
G061M	421499.173015312	D300484	G049	TG2
G010M	355419.022557806	D300485	G067	TG3
G110M	321329.15424361	D300486	G031	TG2
G081M	412628.753872227	D300487	G006	TG1
G074M	258997.964281241	D300488	G091	TG4
G101M	451254.04401048	D300489	G093	TG4
G045M	1088540.1239582	D300490	G044	TG2
G082M	439797.532773757	D300491	G092	TG4
G088M	939893.10393861	D300492	G028	TG2
G056M	442705.650969754	D300493	G120	TG5
G067M	566416.118156742	D300494	G059	TG3
G123M	559938.386006954	D300495	G048	TG2
G043M	517135.267598894	D300496	G043	TG2
G019M	598938.263711204	D300497	G125	TG5
G024M	1075113.6083929	D300498	G008	TG1
G077M	349204.183690831	D300499	G121	TG5
G107M	207401.187661903	D300500	G085	TG4
G070M	343939.295184952	D300501	G051	TG3
G016M	932322.528010877	D300502	G089	TG4
G080M	675467.552653131	D300503	G122	TG5
G095M	506513.645727269	D300504	G039	TG2
G114M	313499.847824996	D300505	G119	TG5
G092M	776073.088656943	D300506	G033	TG2
G079M	1553021.5852042	D300507	G110	TG5
G053M	1052831.34867262	D300508	G090	TG4
G055M	308901.904454009	D300509	G019	TG1
G012M	414581.03500303	D300510	G017	TG1
G035M	659095.432563672	D300511	G094	TG4
G089M	963383.989677888	D300512	G050	TG2
G119M	389377.83227274	D300513	G113	TG5
G121M	450729.152329184	D300514	G098	TG4
G046M	959537.627875545	D300515	G124	TG5
G062M	567288.9224832	D300516	G018	TG1
G059M	313296.149575879	D300517	G021	TG1
G105M	246949.584047221	D300518	G086	TG4
G007M	523557.099688175	D300519	G040	TG2
G029M	359916.41377389	D300520	G118	TG5
G032M	350400.436526446	D300521	G099	TG4
G111M	252661.069838956	D300522	G084	TG4
G017M	693139.258748724	D300523	G071	TG3
G048M	940094.026636392	D300524	G115	TG5
G026M	541528.781592369	D300525	G011	TG1
G027M	446631.590313923	D300526	G096	TG4
G104M	353413.98751124	D300527	G037	TG2
G094M	691221.028501858	D300528	G030	TG2
		D300529	G024	TG1
		D300530	G000	TG0
		D300531	G000	TG0
