genome,completeness,contamination,length,N50
D300418:bin_000004.fa,97.61,2.38,1861495,31262
D300418:bin_000013.fa,81.41,1.94,2332804,6434
D300419:bin_000010.fa,91.26,3.95,3571109,8581
D300419:bin_000011.fa,69.58,2.69,1875159,3839
D300420:bin_000001.fa,100.0,1.43,4200421,65431
D300420:bin_000003.fa,91.91,0.61,2548210,20665
D300420:bin_000017.fa,72.22,13.82,5118090,8073
D300421:bin_000006.fa,91.26,6.16,3313129,50110
D300422:bin_000003.fa,99.14,0.54,2332087,27193
D300422:bin_000009.fa,89.94,4.64,2053708,5106
D300423:bin_000003.fa,96.67,7.14,3158299,32245
D300423:bin_000004.fa,99.93,1.59,2516312,37015
D300423:bin_000009.fa,84.0,30.16,8007527,27498
D300423:bin_000011.fa,88.45,0.69,2792279,29582
D300424:bin_000002.fa,98.42,6.88,4627487,44811
D300424:bin_000004.fa,91.76,4.33,2754669,11212
D300424:bin_000008.fa,79.87,1.68,2130396,5042
D300425:bin_000002.fa,98.93,0.29,1930826,30853
D300425:bin_000005.fa,80.7,0.58,2174102,7177
D300425:bin_000008.fa,89.0,2.8,3012930,31442
D300425:bin_000010.fa,94.53,9.09,2723721,12016
D300426:bin_000013.fa,82.84,5.07,2836925,17023
D300426:bin_000021.fa,74.37,4.46,2203251,10018
D300427:bin_000003.fa,95.32,0.08,2046104,11919
D300430:bin_000003.fa,93.5,1.11,1885446,20867
D300431:bin_000005.fa,92.23,2.76,2991723,28986
D300432:bin_000006.fa,96.15,2.87,4499600,8530
D300433:bin_000003.fa,99.86,1.55,2968519,31043
D300433:bin_000004.fa,100.0,4.68,2444077,19065
D300433:bin_000005.fa,98.06,5.28,4869608,19793
D300433:bin_000010.fa,82.21,8.14,2778637,5132
D300436:bin_000011.fa,85.23,2.94,1805353,10529
D300437:bin_000010.fa,76.07,4.43,2003490,6757
D300438:bin_000019.fa,60.25,10.27,2375260,2466
D300440:bin_000004.fa,94.26,5.0,3639048,43926
D300440:bin_000005.fa,87.11,2.3,2984069,20389
D300441:bin_000005.fa,87.14,1.91,2359521,11606
D300443:bin_000007.fa,90.9,5.45,2326296,6985
D300443:bin_000010.fa,89.4,4.39,2239351,7705
