genome,domain,phylum,class,order,family,genus,species,completeness,contamination,coding_density,length,N50_length,circularity,length_ratio
GPB:bin_000056,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp905200945,100,0,0.882,2811384,2811384,1,0.9528041693977107
D300462:bin_000001,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes excrementavium,99.8,0.09,0.846,2821488,57160,0,0.9562285089143312
GPB:bin_000009,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,100,0,0.878,5231987,5231987,1,1.7731690255883297
GPB:bin_000051,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,100,0,0.872,4632364,4632364,1,1.5699512173960786
GPB:bin_000010,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,100,0,0.876,4759851,4759851,1,1.6131577466869922
GPB:bin_000002,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,Proteus mirabilis,100,0,0.847,3812602,3812602,1,1.29212625591312
GPB:bin_000200,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium globosum,92.62,1.74,0.881,2050765,499356,0,0.6950233203485885
GEXTRA:bin_000001,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,99.98,0.35,0.865,2144878,2136170,0,0.7269190908283689
GPB:bin_000087,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Rubneribacter,Rubneribacter badeniensis,100,0,0.83,3553873,3553873,1,1.2044405929285897
GPB:bin_000078,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Gordonibacter urolithinfaciens,100,0,0.869,3524118,3524118,1,1.19435634685604
GPB:bin_000178,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus sp900604335,83.54,0.13,0.88,2769368,191061,0,0.9385645564592383
GPB:bin_000074,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp900557315,100,0,0.864,3757461,3757461,1,1.27343845847785
GPB:bin_000111,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum intestinigallinarum,100,0,0.866,3112005,3112005,1,1.054687420568134
GPB:bin_000192,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp900291975,94.94,5.18,0.87,3032106,386114,0,1.0276089068074
D300506:bin_000004,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum stercoravium,96.19,0.51,0.876,2563225,22858,0,0.8687007776612683
D300442:bin_000015,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum merdipullorum,78.79,7.07,0.886,2858118,11246,0,0.9686427563899653
GPB:bin_000173,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Pseudobutyricicoccus,Pseudobutyricicoccus lothianensis,97.34,3.68,0.868,3965444,2120242,0,1.343925830378609
GPB:bin_000112,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor avicola,100,0,0.881,3563294,3563294,1,1.2076334573967293
GPB:bin_000140,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,99.99,1.48,0.881,3981591,2322641,0,1.3493981987648789
GPB:bin_000197,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor avistercoris,99.99,1.61,0.873,4150567,2121798,0,1.406665735795803
GPB:bin_000019,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,HGM12998,HGM12998 sp900756495,100,0,0.877,3013577,3013577,1,1.0213292564804541
GPB:bin_000027,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Galloscillospira_A,Galloscillospira_A stercoripullorum,100,0,0.873,2666572,2666572,1,0.9037260365710242
